,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,song_popularity_2025,image_url_song,followers,popularity_artist_2025,image_url_artist
0,Arctic Monkeys,I Wanna Be Yours,5XeFesFbtLpXzIVDNQP22n,91,2013,garage,0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528,183956,4,False,91,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163,32116566.0,85.0,https://i.scdn.co/image/ab6761610000e5eb7da39dea0a72f581535fb11f
1,Arctic Monkeys,Do I Wanna Know?,5FVd6KXrgO9B3JPmC8OPst,86,2013,garage,0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,272394,4,False,86,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163,32116566.0,85.0,https://i.scdn.co/image/ab6761610000e5eb7da39dea0a72f581535fb11f
2,Arctic Monkeys,Why'd You Only Call Me When You're High?,086myS9r57YsLbJpU0TgK9,85,2013,garage,0.691,0.631,2,-6.478,1,0.0368,0.0483,1.13e-05,0.104,0.8,92.004,161124,4,False,84,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163,32116566.0,85.0,https://i.scdn.co/image/ab6761610000e5eb7da39dea0a72f581535fb11f
3,Avicii,Wake Me Up,0nrRP2bk19rLc0orkWPQk2,84,2013,dance,0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,247427,4,False,85,https://i.scdn.co/image/ab67616d0000b273e14f11f796cef9f9a82691a7,23437935.0,79.0,https://i.scdn.co/image/ab6761610000e5ebae07171f989fb39736674113
4,John Legend,All of Me,3U4isOIWM3VvDubwSI3y7a,83,2013,pop,0.422,0.264,8,-7.064,1,0.0322,0.922,0.0,0.132,0.331,119.93,269560,4,False,85,https://i.scdn.co/image/ab67616d0000b27394c9217a398f5174757c0c78,8086999.0,74.0,https://i.scdn.co/image/ab6761610000e5eb01784e44ffd1a339350f4417
5,PARTYNEXTDOOR,Break from Toronto,5fEB6ZmVkg63GZg9qO86jh,81,2013,pop,0.595,0.678,9,-5.18,1,0.0335,0.0199,0.00389,0.418,0.259,117.067,99213,4,True,82,https://i.scdn.co/image/ab67616d0000b273090b1f9557a6d23c0817bd88,10140350.0,83.0,https://i.scdn.co/image/ab6761610000e5eb957320981e31e862bc2fb844
6,Lana Del Rey,Young And Beautiful,2nMeu6UenVvwUktBCpLMK9,81,2013,pop,0.324,0.416,11,-8.92,0,0.0368,0.262,3.69e-05,0.11,0.151,113.986,236053,4,False,87,https://i.scdn.co/image/ab67616d0000b273d7fb3e4c63020039d1cff6b2,51922313.0,88.0,https://i.scdn.co/image/ab6761610000e5ebb99cacf8acd5378206767261
7,One Direction,Story of My Life,4nVBt6MZDDP6tRVdQTgxJg,81,2013,pop,0.6,0.663,3,-5.802,1,0.0477,0.225,0.0,0.119,0.286,121.07,245493,4,False,84,https://i.scdn.co/image/ab67616d0000b2732f76b797c382bedcafdf45e1,40288722.0,83.0,https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8
8,Capital Cities,Safe And Sound,6Z8R6UsFuGXGtiIxiD8ISb,81,2013,rock,0.655,0.819,0,-4.852,1,0.0316,0.000176,0.00374,0.104,0.766,117.956,192790,5,False,13,https://i.scdn.co/image/ab67616d0000b27313c6cb6a81c8db4dbc8b9924,997547.0,65.0,https://i.scdn.co/image/ab6761610000e5ebbd88e9240bca1b3dd261b6e3
9,Daft Punk,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,2Foc5Q5nqNiosCNqttzHof,80,2013,electro,0.794,0.811,6,-8.966,0,0.038,0.0426,1.07e-06,0.101,0.862,116.047,248413,4,False,80,https://i.scdn.co/image/ab67616d0000b2731d5cf960a92bb8b03fc2be7f,10889134.0,82.0,https://i.scdn.co/image/ab6761610000e5ebd3aa7cc0e419b6c459b08e8e
10,Jogja Hip Hop Foundation,Cintamu Sepahit Topi Miring,1ixNEKbIZTTZ5LIz3rr9jD,80,2013,hip-hop,0.741,0.801,11,-4.84,1,0.275,0.147,2.73e-05,0.0821,0.561,193.911,294053,4,False,63,https://i.scdn.co/image/ab67616d0000b273c241587a96e12beb78d5bb4f,1591735.0,50.0,https://i.scdn.co/image/ab67616d0000b273de748fd3eed32d64ee85fce8
11,Miley Cyrus,Wrecking Ball,2vwlzO0Qp8kfEtzTsCXfyE,80,2013,pop,0.53,0.422,5,-6.262,1,0.0342,0.407,0.0,0.107,0.349,119.964,221360,4,False,80,https://i.scdn.co/image/ab67616d0000b2736b18d0490878750cd69abf2c,26580169.0,81.0,https://i.scdn.co/image/ab6761610000e5ebf4cccd14ec026038d713e353
12,One Direction,Right Now,1dQQ2QlnvXUehsRUrukKmf,80,2013,pop,0.645,0.78,8,-5.165,1,0.0319,0.218,0.0,0.0919,0.372,120.008,200400,4,False,76,https://i.scdn.co/image/ab67616d0000b2732f76b797c382bedcafdf45e1,40288722.0,83.0,https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8
13,Lil Wayne,Love Me,2XHzzp1j4IfTNp1FTn7YFg,79,2013,hip-hop,0.669,0.634,11,-6.476,1,0.0327,0.0125,0.0,0.0946,0.496,124.906,255053,4,True,85,https://i.scdn.co/image/ab67616d0000b27380c64a084164867806ea617a,17962062.0,86.0,https://i.scdn.co/image/ab6761610000e5eb998010cd1075921b5faf16b2
14,Kodaline,All I Want,0NlGoUyOJSuSHmngoibVAs,79,2013,pop,0.188,0.411,0,-9.733,1,0.0484,0.174,0.153,0.0843,0.159,187.376,305747,3,False,79,https://i.scdn.co/image/ab67616d0000b2733e42854096da9a3b1ca901c9,3184665.0,66.0,https://i.scdn.co/image/ab6761610000e5eb0b99560e4162fe239ac6d3ba
15,Katy Perry,Dark Horse,4jbmgIyjGoXjY01XxatOx6,78,2013,dance,0.647,0.585,6,-6.123,1,0.0512,0.00314,0.0,0.165,0.353,131.934,215672,4,False,81,https://i.scdn.co/image/ab67616d0000b2731e9a057052d59004caf47e22,38435979.0,83.0,https://i.scdn.co/image/ab6761610000e5eb0988562f78810e47a6e3325f
16,Arctic Monkeys,Snap Out Of It,0NdTUS4UiNYCNn5FgVqKQY,78,2013,garage,0.728,0.638,5,-6.455,0,0.0336,0.249,0.0,0.116,0.872,130.014,193030,4,False,78,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163,32116566.0,85.0,https://i.scdn.co/image/ab6761610000e5eb7da39dea0a72f581535fb11f
17,J. Cole,She Knows (feat. Amber Coffman & Cults),0Fs9cdPDhptWEDJmiCbkEW,78,2013,hip-hop,0.766,0.74,1,-10.363,1,0.0807,0.0193,0.0784,0.229,0.183,118.008,296520,4,True,73,https://i.scdn.co/image/ab67616d0000b273c1bb124f993488cf21b269fc,27095108.0,82.0,https://i.scdn.co/image/ab6761610000e5eb4b053c29fd4b317ff825f0dc
18,Eminem,The Monster,48RrDBpOSSl1aLVCalGl5C,78,2013,hip-hop,0.781,0.853,1,-3.68,0,0.0715,0.0525,0.0,0.12,0.624,110.049,250189,4,True,82,https://i.scdn.co/image/ab67616d0000b2733c65085a58aae2cccd892cbe,104653602.0,88.0,https://i.scdn.co/image/ab6761610000e5eba00b11c129b27a88fc72f36b
19,Cults,Always Forever,2enPRFda84VE2wtI8c86Uf,78,2013,indie-pop,0.174,0.742,8,-5.93,1,0.0485,0.00181,0.281,0.198,0.36,163.378,223747,4,False,79,https://i.scdn.co/image/ab67616d0000b273bb2c501e91fd02780cd332c6,1258995.0,67.0,https://i.scdn.co/image/ab6761610000e5eb92ec52fb43fbd4d2511a9d1d
20,Bring Me The Horizon,Can You Feel My Heart,0WSa1sucoNRcEeULlZVQXj,78,2013,metal,0.15,0.859,4,-2.827,0,0.0595,0.00201,0.194,0.387,0.354,170.527,228147,5,True,78,https://i.scdn.co/image/ab67616d0000b27360cf7c8dd93815ccd6cb4830,6638322.0,77.0,https://i.scdn.co/image/ab6761610000e5ebe7c9399d0b5d813c20cbec65
