Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,song_popularity_2025,image_url_song,followers,popularity_artist_2025,image_url_artist
0,Arctic Monkeys,I Wanna Be Yours,5XeFesFbtLpXzIVDNQP22n,91,2013,garage,0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528,183956,4,False,91,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163,32116566.0,85.0,https://i.scdn.co/image/ab6761610000e5eb7da39dea0a72f581535fb11f
1,Arctic Monkeys,Do I Wanna Know?,5FVd6KXrgO9B3JPmC8OPst,86,2013,garage,0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,272394,4,False,86,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163,32116566.0,85.0,https://i.scdn.co/image/ab6761610000e5eb7da39dea0a72f581535fb11f
2,Arctic Monkeys,Why'd You Only Call Me When You're High?,086myS9r57YsLbJpU0TgK9,85,2013,garage,0.691,0.631,2,-6.478,1,0.0368,0.0483,1.13e-05,0.104,0.8,92.004,161124,4,False,84,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163,32116566.0,85.0,https://i.scdn.co/image/ab6761610000e5eb7da39dea0a72f581535fb11f
16,Arctic Monkeys,Snap Out Of It,0NdTUS4UiNYCNn5FgVqKQY,78,2013,garage,0.728,0.638,5,-6.455,0,0.0336,0.249,0.0,0.116,0.872,130.014,193030,4,False,78,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163,32116566.0,85.0,https://i.scdn.co/image/ab6761610000e5eb7da39dea0a72f581535fb11f
37,Arctic Monkeys,Arabella,7nzsY8vlnKdvGOEE0rjAXZ,76,2013,garage,0.579,0.558,2,-6.986,1,0.0895,0.0202,1.26e-06,0.212,0.506,179.949,207357,4,False,75,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163,32116566.0,85.0,https://i.scdn.co/image/ab6761610000e5eb7da39dea0a72f581535fb11f
50,Arctic Monkeys,Knee Socks,2LGdO5MtFdyphi2EihANZG,74,2013,garage,0.665,0.542,11,-8.323,0,0.033,0.123,0.00291,0.342,0.587,97.975,257563,4,False,75,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163,32116566.0,85.0,https://i.scdn.co/image/ab6761610000e5eb7da39dea0a72f581535fb11f
95,Arctic Monkeys,No. 1 Party Anthem,5TTGoX70AFrTvuEtqHK37S,69,2013,garage,0.505,0.698,0,-5.563,1,0.0297,0.33,0.0887,0.0966,0.599,115.013,243132,4,False,86,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163,32116566.0,85.0,https://i.scdn.co/image/ab6761610000e5eb7da39dea0a72f581535fb11f
96,Arctic Monkeys,Stop The World I Wanna Get Off With You,2QUlMbvD9bL8wHqfsoqoet,69,2013,garage,0.661,0.73,6,-6.779,0,0.0574,0.0537,3.44e-05,0.14,0.53,95.027,191040,4,False,69,https://i.scdn.co/image/ab67616d0000b27317997aeea63f3135e3c07e09,32116566.0,85.0,https://i.scdn.co/image/ab6761610000e5eb7da39dea0a72f581535fb11f
115,Arctic Monkeys,One For The Road,6wNUBZNWFxdUGof6vkaykE,68,2013,garage,0.415,0.668,0,-6.849,1,0.036,0.212,0.0615,0.27,0.842,180.048,206052,4,False,68,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163,32116566.0,85.0,https://i.scdn.co/image/ab6761610000e5eb7da39dea0a72f581535fb11f
134,Arctic Monkeys,Fireside,4atMrAadB7dS8xn9vfk9PQ,67,2013,garage,0.538,0.953,9,-5.611,0,0.056,0.0234,0.00126,0.113,0.74,100.033,181049,4,False,67,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163,32116566.0,85.0,https://i.scdn.co/image/ab6761610000e5eb7da39dea0a72f581535fb11f
182,Arctic Monkeys,I Want It All,1j9rezdE3YeC7yktZXC1em,65,2013,garage,0.499,0.81,5,-5.579,1,0.0347,0.000637,0.0748,0.0625,0.288,131.052,185406,4,False,64,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163,32116566.0,85.0,https://i.scdn.co/image/ab6761610000e5eb7da39dea0a72f581535fb11f
252,Arctic Monkeys,Mad Sounds,75n7mraeMycQOl2sDGYaTe,63,2013,garage,0.532,0.462,10,-10.71,1,0.03,0.279,0.196,0.101,0.485,80.001,215012,4,False,63,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163,32116566.0,85.0,https://i.scdn.co/image/ab6761610000e5eb7da39dea0a72f581535fb11f
396,Arctic Monkeys,You're So Dark,40DwUg5zPX8H23WpTdD2iW,60,2013,garage,0.484,0.649,11,-7.479,0,0.0561,0.258,0.0116,0.0898,0.838,151.537,182751,4,False,58,https://i.scdn.co/image/ab67616d0000b2732c384839c0db88884f0b8037,32116566.0,85.0,https://i.scdn.co/image/ab6761610000e5eb7da39dea0a72f581535fb11f
