Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,song_popularity_2025,image_url_song,followers,popularity_artist_2025,image_url_artist
21,Lorde,Royals,2dLLR6qlu5UJ5gk0dKz0h3,78,2013,pop,0.674,0.428,7,-9.504,1,0.122,0.121,0.0,0.132,0.337,84.878,190185,4,False,79,https://i.scdn.co/image/ab67616d0000b273187331e276c898d39764cc98,10546347.0,80.0,https://i.scdn.co/image/ab6761610000e5ebaa69380a8d5203257611662d
31,Lorde,Ribs,2MvvoeRt8NcOXWESkxWn3g,77,2013,pop,0.511,0.472,4,-9.277,1,0.091,0.534,0.614,0.11,0.0399,127.978,258969,4,False,83,https://i.scdn.co/image/ab67616d0000b273187331e276c898d39764cc98,10546347.0,80.0,https://i.scdn.co/image/ab6761610000e5ebaa69380a8d5203257611662d
42,Lorde,Team,3G6hD9B2ZHOsgf4WfNu7X1,75,2013,pop,0.69,0.578,6,-7.436,1,0.0929,0.167,0.0,0.305,0.416,99.961,193059,4,False,80,https://i.scdn.co/image/ab67616d0000b273187331e276c898d39764cc98,10546347.0,80.0,https://i.scdn.co/image/ab6761610000e5ebaa69380a8d5203257611662d
91,Lorde,Buzzcut Season,51QEyJI5M7uyd8DOh9tqQY,70,2013,pop,0.733,0.62,1,-10.525,1,0.075,0.606,0.305,0.117,0.247,111.039,246755,4,False,77,https://i.scdn.co/image/ab67616d0000b273187331e276c898d39764cc98,10546347.0,80.0,https://i.scdn.co/image/ab6761610000e5ebaa69380a8d5203257611662d
159,Lorde,Tennis Court,74fpNVAJrKGQuqHETi4WSt,66,2013,pop,0.764,0.567,0,-8.585,1,0.0609,0.0126,9.51e-05,0.257,0.428,89.988,198907,4,True,69,https://i.scdn.co/image/ab67616d0000b273187331e276c898d39764cc98,10546347.0,80.0,https://i.scdn.co/image/ab6761610000e5ebaa69380a8d5203257611662d
262,Lorde,The Love Club,2HotTAoFiOYTeMZkNs1Ces,63,2013,pop,0.799,0.501,0,-7.244,1,0.0465,0.211,0.0123,0.118,0.635,92.032,201434,4,False,69,https://i.scdn.co/image/ab67616d0000b273244fb8bb9594476ab5cb39b9,10546347.0,80.0,https://i.scdn.co/image/ab6761610000e5ebaa69380a8d5203257611662d
265,Lorde,Everybody Wants To Rule The World - From “The Hunger Games: Catching Fire” Soundtrack,3S1tTwSKIZgf4QGltFyCxM,63,2013,pop,0.575,0.571,11,-9.291,0,0.101,0.597,0.000159,0.108,0.0614,110.993,155587,4,False,65,https://i.scdn.co/image/ab67616d0000b2735dbef303a70a810f2e946e61,10546347.0,80.0,https://i.scdn.co/image/ab6761610000e5ebaa69380a8d5203257611662d
308,Lorde,Glory And Gore,60jI0JgMLLj1VggHJVhtRs,62,2013,pop,0.689,0.377,1,-8.761,1,0.0397,0.285,0.0,0.268,0.294,143.946,210738,4,False,63,https://i.scdn.co/image/ab67616d0000b273187331e276c898d39764cc98,10546347.0,80.0,https://i.scdn.co/image/ab6761610000e5ebaa69380a8d5203257611662d
465,Lorde,400 Lux,6rjtB7KSIiJ6v9vrACMlqF,59,2013,pop,0.512,0.474,2,-8.36,1,0.0371,0.0787,0.00345,0.134,0.194,183.991,234286,4,False,65,https://i.scdn.co/image/ab67616d0000b273187331e276c898d39764cc98,10546347.0,80.0,https://i.scdn.co/image/ab6761610000e5ebaa69380a8d5203257611662d
466,Lorde,A World Alone,55N0YHhO55Q1lWsc4dDPcI,59,2013,pop,0.561,0.485,1,-8.343,0,0.0362,0.289,0.00164,0.194,0.0663,118.017,294222,4,False,70,https://i.scdn.co/image/ab67616d0000b273187331e276c898d39764cc98,10546347.0,80.0,https://i.scdn.co/image/ab6761610000e5ebaa69380a8d5203257611662d
