Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,song_popularity_2025,image_url_song,followers,popularity_artist_2025,image_url_artist
513,Lana Del Rey,West Coast,5Y6nVaayzitvsD5F7nr3DV,81,2014,pop,0.527,0.591,6,-7.664,0,0.0396,0.194,0.0194,0.0907,0.461,123.167,256760,4,False,82,https://i.scdn.co/image/ab67616d0000b2731624590458126fc8b8c64c2f,51922313.0,88.0,https://i.scdn.co/image/ab6761610000e5ebb99cacf8acd5378206767261
516,Lana Del Rey,Brooklyn Baby,1NZs6n6hl8UuMaX0UC0YTz,80,2014,pop,0.404,0.664,1,-6.698,1,0.0407,0.542,0.00402,0.11,0.0949,107.747,351640,4,True,83,https://i.scdn.co/image/ab67616d0000b2731624590458126fc8b8c64c2f,51922313.0,88.0,https://i.scdn.co/image/ab6761610000e5ebb99cacf8acd5378206767261
545,Lana Del Rey,Sad Girl,11MyiSGZSYSmhhqwGUTtAq,75,2014,pop,0.345,0.587,5,-8.346,1,0.0364,0.539,0.0731,0.119,0.258,119.479,317760,4,False,78,https://i.scdn.co/image/ab67616d0000b2731624590458126fc8b8c64c2f,51922313.0,88.0,https://i.scdn.co/image/ab6761610000e5ebb99cacf8acd5378206767261
553,Lana Del Rey,The Other Woman,1KuVEZR4xuQVNr1KkanAV4,74,2014,pop,0.255,0.468,7,-6.43,0,0.0317,0.822,0.248,0.339,0.175,111.67,181960,4,False,75,https://i.scdn.co/image/ab67616d0000b2731624590458126fc8b8c64c2f,51922313.0,88.0,https://i.scdn.co/image/ab6761610000e5ebb99cacf8acd5378206767261
554,Lana Del Rey,Pretty When You Cry,6PnluwP0fjGnpIBsqTdUTq,74,2014,pop,0.509,0.547,10,-6.548,0,0.0417,0.399,0.0,0.215,0.197,109.436,234147,4,True,75,https://i.scdn.co/image/ab67616d0000b2731624590458126fc8b8c64c2f,51922313.0,88.0,https://i.scdn.co/image/ab6761610000e5ebb99cacf8acd5378206767261
564,Lana Del Rey,Ultraviolence,1y3r6RXiJZNBV1EI0NggpS,73,2014,pop,0.144,0.541,0,-7.076,1,0.038,0.278,1.01e-05,0.101,0.0899,79.262,251480,3,False,78,https://i.scdn.co/image/ab67616d0000b2731624590458126fc8b8c64c2f,51922313.0,88.0,https://i.scdn.co/image/ab6761610000e5ebb99cacf8acd5378206767261
630,Lana Del Rey,Shades Of Cool,4VSg5K1hnbmIg4PwRdY6wV,68,2014,pop,0.262,0.482,2,-6.863,0,0.0302,0.554,0.0161,0.244,0.0878,137.918,342093,3,False,67,https://i.scdn.co/image/ab67616d0000b2731624590458126fc8b8c64c2f,51922313.0,88.0,https://i.scdn.co/image/ab6761610000e5ebb99cacf8acd5378206767261
631,Lana Del Rey,Old Money,6IfPyMb0Sxptpx6jBUATOS,68,2014,pop,0.312,0.168,10,-12.476,0,0.0332,0.888,6.59e-06,0.147,0.154,108.115,271480,1,False,67,https://i.scdn.co/image/ab67616d0000b2731624590458126fc8b8c64c2f,51922313.0,88.0,https://i.scdn.co/image/ab6761610000e5ebb99cacf8acd5378206767261
679,Lana Del Rey,Money Power Glory,7Ms58r8G6Y0r1XLtpwoGxN,66,2014,pop,0.349,0.525,8,-6.829,0,0.0451,0.583,0.0,0.35,0.288,136.762,270680,5,False,64,https://i.scdn.co/image/ab67616d0000b2731624590458126fc8b8c64c2f,51922313.0,88.0,https://i.scdn.co/image/ab6761610000e5ebb99cacf8acd5378206767261
681,Lana Del Rey,Black Beauty,63hHlajVLQnlFMAqSyePxO,66,2014,pop,0.32,0.529,5,-7.595,1,0.0436,0.27,0.0136,0.0942,0.103,119.898,314533,4,False,69,https://i.scdn.co/image/ab67616d0000b2731624590458126fc8b8c64c2f,51922313.0,88.0,https://i.scdn.co/image/ab6761610000e5ebb99cacf8acd5378206767261
765,Lana Del Rey,"Once Upon a Dream - From ""Maleficent"" / Pop Version",3liiZRlJxa8GeLUgWMoIeu,64,2014,pop,0.289,0.274,5,-16.574,1,0.0353,0.659,0.0166,0.109,0.167,119.997,203080,3,False,70,https://i.scdn.co/image/ab67616d0000b273fa644aeb3f0226b4f81f45e6,51922313.0,88.0,https://i.scdn.co/image/ab6761610000e5ebb99cacf8acd5378206767261
766,Lana Del Rey,Florida Kilos,0iQPnK3bi7O27c5T2HBTdr,64,2014,pop,0.266,0.513,0,-7.852,1,0.0388,0.28,5.98e-05,0.11,0.579,200.781,256040,4,False,64,https://i.scdn.co/image/ab67616d0000b2731624590458126fc8b8c64c2f,51922313.0,88.0,https://i.scdn.co/image/ab6761610000e5ebb99cacf8acd5378206767261
808,Lana Del Rey,Cruel World,6ayKgleoMF26lvU1Z7wVm7,63,2014,pop,0.33,0.507,5,-6.368,0,0.0339,0.274,4.65e-06,0.122,0.177,122.164,399084,4,True,62,https://i.scdn.co/image/ab67616d0000b2731624590458126fc8b8c64c2f,51922313.0,88.0,https://i.scdn.co/image/ab6761610000e5ebb99cacf8acd5378206767261
809,Lana Del Rey,Fucked My Way Up To The Top,70Laus6ozJIHDpfTtUSmAZ,63,2014,pop,0.52,0.69,5,-5.919,1,0.0554,0.601,0.201,0.137,0.182,129.839,212227,4,True,63,https://i.scdn.co/image/ab67616d0000b2731624590458126fc8b8c64c2f,51922313.0,88.0,https://i.scdn.co/image/ab6761610000e5ebb99cacf8acd5378206767261
