Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,song_popularity_2025,image_url_song,followers,popularity_artist_2025,image_url_artist
501,One Direction,Night Changes,5O2P9iiztwhomNh8xkR9lJ,86,2014,pop,0.672,0.52,8,-7.747,1,0.0353,0.859,0.0,0.115,0.37,120.001,226600,4,False,87,https://i.scdn.co/image/ab67616d0000b273d304ba2d71de306812eebaf4,40288722.0,83.0,https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8
518,One Direction,18,3JjnGLK8IxkNLvo8Lb3KOM,80,2014,pop,0.681,0.582,6,-7.76,0,0.0313,0.22,0.0,0.119,0.221,124.038,248360,4,False,79,https://i.scdn.co/image/ab67616d0000b273d304ba2d71de306812eebaf4,40288722.0,83.0,https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8
528,One Direction,Steal My Girl,2Bs4jQEGMycglOfWPBqrVG,78,2014,pop,0.536,0.768,10,-5.948,0,0.0347,0.00433,0.0,0.114,0.545,77.217,228133,4,False,82,https://i.scdn.co/image/ab67616d0000b273d304ba2d71de306812eebaf4,40288722.0,83.0,https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8
606,One Direction,No Control,4JaLkM90MJutDAl5jD9BZX,69,2014,pop,0.558,0.916,1,-3.145,0,0.0839,0.0278,0.0,0.0296,0.85,142.984,199720,4,False,68,https://i.scdn.co/image/ab67616d0000b273d304ba2d71de306812eebaf4,40288722.0,83.0,https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8
655,One Direction,Fool's Gold,0L5gFNrzHyh4OhMwEz6DGS,67,2014,pop,0.515,0.773,6,-4.848,1,0.0479,0.23,1.29e-06,0.0938,0.379,128.001,210893,4,False,65,https://i.scdn.co/image/ab67616d0000b273d304ba2d71de306812eebaf4,40288722.0,83.0,https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8
680,One Direction,Stockholm Syndrome,6AzCBeiDuUXGXjznBufswB,66,2014,pop,0.678,0.933,2,-4.959,1,0.14,0.0734,0.0,0.0863,0.336,120.572,214720,4,False,67,https://i.scdn.co/image/ab67616d0000b273d304ba2d71de306812eebaf4,40288722.0,83.0,https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8
682,One Direction,Fireproof,34aYkYrY3sXhEU9O4VQgtB,66,2014,pop,0.681,0.864,3,-3.276,1,0.0301,0.00477,0.0,0.122,0.921,132.929,174080,4,False,66,https://i.scdn.co/image/ab67616d0000b273d304ba2d71de306812eebaf4,40288722.0,83.0,https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8
722,One Direction,Where Do Broken Hearts Go,6HFywc5eQYRRYHYTatCb5Y,65,2014,pop,0.565,0.862,4,-3.715,1,0.0326,0.0014,0.0,0.105,0.647,122.994,229040,4,False,67,https://i.scdn.co/image/ab67616d0000b273d304ba2d71de306812eebaf4,40288722.0,83.0,https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8
767,One Direction,Ready to Run,7GtGeeChOx4NS77bqK8SUx,64,2014,pop,0.524,0.831,2,-4.174,1,0.036,0.00229,0.0,0.171,0.299,115.067,196053,4,False,64,https://i.scdn.co/image/ab67616d0000b273d304ba2d71de306812eebaf4,40288722.0,83.0,https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8
810,One Direction,Girl Almighty,5UgsZiYk1lkEobuPHmRtWm,63,2014,pop,0.508,0.895,9,-3.745,1,0.0414,0.0424,0.0,0.198,0.495,168.941,201853,4,False,62,https://i.scdn.co/image/ab67616d0000b273d304ba2d71de306812eebaf4,40288722.0,83.0,https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8
