Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,song_popularity_2025,image_url_song,followers,popularity_artist_2025,image_url_artist
1510,Sia,Unstoppable,1yvMUkIOTeUNtNWlWRgANS,81,2016,dance,0.468,0.779,9,-4.839,1,0.0779,0.112,0.000373,0.101,0.26,173.799,217747,4,False,78,https://i.scdn.co/image/ab67616d0000b273754b2fddebe7039fdb912837,30569437.0,83.0,https://i.scdn.co/image/ab6761610000e5eb91c19888fe2fa3d5066199d1
1569,Sia,The Greatest,6bLopGnirdrilrpdVB6Um1,72,2016,dance,0.639,0.785,10,-6.167,0,0.174,0.0174,0.00107,0.0512,0.686,191.95,210920,4,False,76,https://i.scdn.co/image/ab67616d0000b273754b2fddebe7039fdb912837,30569437.0,83.0,https://i.scdn.co/image/ab6761610000e5eb91c19888fe2fa3d5066199d1
1608,Sia,Cheap Thrills,3S4px9f4lceWdKf0gWciFu,69,2016,dance,0.628,0.698,6,-5.608,0,0.105,0.0472,0.00143,0.0907,0.732,89.976,211667,4,False,68,https://i.scdn.co/image/ab67616d0000b273754b2fddebe7039fdb912837,30569437.0,83.0,https://i.scdn.co/image/ab6761610000e5eb91c19888fe2fa3d5066199d1
1636,Sia,The Greatest (feat. Kendrick Lamar),7xHWNBFm6ObGEQPaUxHuKO,68,2016,dance,0.668,0.725,1,-6.127,1,0.266,0.0102,0.000479,0.0561,0.729,191.944,210227,4,False,65,https://i.scdn.co/image/ab67616d0000b273754b2fddebe7039fdb912837,30569437.0,83.0,https://i.scdn.co/image/ab6761610000e5eb91c19888fe2fa3d5066199d1
1720,Sia,Move Your Body - Alan Walker Remix,6LUOMjoORvAkdhBYvESO46,65,2016,dance,0.636,0.789,10,-4.905,0,0.0892,0.0834,0.000896,0.391,0.4,128.028,217907,4,False,62,https://i.scdn.co/image/ab67616d0000b273754b2fddebe7039fdb912837,30569437.0,83.0,https://i.scdn.co/image/ab6761610000e5eb91c19888fe2fa3d5066199d1
1773,Sia,Angel By The Wings,4OLVK3kktkdLPp8dDgoCtb,64,2016,dance,0.522,0.53,4,-4.812,1,0.033,0.294,5.19e-05,0.0997,0.157,104.039,319200,4,False,66,https://i.scdn.co/image/ab67616d0000b273284f626dbc22e2d48ea4b60f,30569437.0,83.0,https://i.scdn.co/image/ab6761610000e5eb91c19888fe2fa3d5066199d1
1774,Sia,Never Give Up,1ssmjAYSU5PbmsjLq5yrNH,64,2016,dance,0.568,0.936,6,-2.961,0,0.053,0.00497,0.0138,0.12,0.605,91.009,221987,4,False,63,https://i.scdn.co/image/ab67616d0000b273e839740212c6dbd8d559a709,30569437.0,83.0,https://i.scdn.co/image/ab6761610000e5eb91c19888fe2fa3d5066199d1
1817,Sia,Cheap Thrills (feat. Sean Paul),2ONIJ40u0Attbm3miIIpNO,63,2016,dance,0.592,0.788,6,-4.924,0,0.201,0.0599,2.54e-06,0.125,0.755,89.949,224493,4,False,66,https://i.scdn.co/image/ab67616d0000b273754b2fddebe7039fdb912837,30569437.0,83.0,https://i.scdn.co/image/ab6761610000e5eb91c19888fe2fa3d5066199d1
1823,Sia,Bird Set Free,6MowG7MRVgPfGlCMsXKMJ2,63,2016,dance,0.438,0.805,5,-4.284,0,0.0728,0.0115,0.000667,0.133,0.31,150.174,252440,4,False,62,https://i.scdn.co/image/ab67616d0000b273754b2fddebe7039fdb912837,30569437.0,83.0,https://i.scdn.co/image/ab6761610000e5eb91c19888fe2fa3d5066199d1
1999,Sia,Alive,25R5Tdr4K7ENb6umHzdCXn,60,2016,dance,0.508,0.762,6,-4.217,0,0.0489,0.254,0.000122,0.108,0.444,99.963,263520,4,False,59,https://i.scdn.co/image/ab67616d0000b273754b2fddebe7039fdb912837,30569437.0,83.0,https://i.scdn.co/image/ab6761610000e5eb91c19888fe2fa3d5066199d1
