Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,song_popularity_2025,image_url_song,followers,popularity_artist_2025,image_url_artist
3005,Billie Eilish,everything i wanted,3ZCTVFBt2Brf31RLEnCkWJ,83,2019,electro,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,245426,4,False,83,https://i.scdn.co/image/ab67616d0000b273f2248cf6dad1d6c062587249,118901772.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
3014,Billie Eilish,bad guy,2Fxmhks0bxGSBdJ92vM42m,81,2019,electro,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088,4,False,83,https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce,118901772.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
3017,Billie Eilish,when the party's over,43zdsphuZLzwA9k4DJhU0I,81,2019,pop,0.367,0.111,4,-14.084,1,0.0972,0.978,3.97e-05,0.0897,0.198,82.642,196077,4,False,85,https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce,118901772.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
3051,Billie Eilish,i love you,6CcJMwBtXByIz4zQLzFkKc,78,2019,pop,0.421,0.131,0,-18.435,1,0.0382,0.952,0.00453,0.109,0.12,137.446,291796,4,False,82,https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce,118901772.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
3099,Billie Eilish,you should see me in a crown,3XF5xLJHOQQRbWya6hBp7d,75,2019,electro,0.678,0.533,4,-10.485,1,0.186,0.462,0.219,0.139,0.323,150.455,180953,4,False,75,https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce,118901772.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
3105,Billie Eilish,listen before i go,0tMSssfxAL2oV8Vri0mFHE,75,2019,pop,0.319,0.0561,0,-23.023,1,0.045,0.935,0.00384,0.388,0.082,79.764,242652,3,False,76,https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce,118901772.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
3145,Billie Eilish,wish you were gay,3Fj47GNK2kUF0uaEDgXLaD,73,2019,electro,0.853,0.351,7,-10.198,1,0.241,0.39,9.38e-06,0.752,0.282,118.028,221543,4,False,73,https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce,118901772.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
3146,Billie Eilish,bury a friend,4SSnFejRGlZikf02HLewEF,73,2019,electro,0.905,0.389,8,-14.505,1,0.332,0.74,0.162,0.106,0.196,120.046,193143,4,False,75,https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce,118901772.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
3147,Billie Eilish,all the good girls go to hell,6IRdLKIyS4p7XNiP8r6rsx,73,2019,electro,0.726,0.444,8,-8.922,0,0.372,0.283,0.143,0.177,0.569,185.044,168840,4,False,73,https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce,118901772.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
3277,Billie Eilish,ilomilo,7qEKqBCD2vE5vIBsrUitpD,70,2019,pop,0.855,0.423,5,-15.044,0,0.0585,0.724,0.469,0.0896,0.572,120.02,156371,4,False,74,https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce,118901772.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
3335,Billie Eilish,xanny,4QIo4oxwzzafcBWkKjDpXY,69,2019,pop,0.521,0.125,9,-17.832,1,0.239,0.751,0.00207,0.265,0.0528,111.554,243725,4,False,70,https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce,118901772.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
3383,Billie Eilish,goodbye,3LgWsmilsrWXiPYQFRD0T7,68,2019,pop,0.153,0.138,6,-21.877,0,0.0503,0.837,0.55,0.254,0.0503,74.318,119410,3,False,67,https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce,118901772.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
3487,Billie Eilish,8,6X29iaaazwho3ab7GNue5r,66,2019,electro,0.735,0.235,3,-13.239,1,0.315,0.698,0.00604,0.107,0.462,62.446,173202,4,False,66,https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce,118901772.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
