Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,song_popularity_2025,image_url_song,followers,popularity_artist_2025,image_url_artist
5129,Hamza,Nocif,4BZZTXcd5ROagKhynqj61X,75,2023,french,0.844,0.55,11,-7.903,0,0.0882,0.0318,0.00117,0.107,0.788,121.971,229387,4,True,56,https://i.scdn.co/image/ab67616d0000b273d37df871cb99477000dfe4d5,1791765.0,73.0,https://i.scdn.co/image/ab6761610000e5eb78aad18b8890189a46286aa4
5170,Hamza,Sadio (feat. Offset),5eGid3rXirJcCoROMnTqg0,73,2023,french,0.769,0.559,0,-9.111,1,0.467,0.0708,0.0,0.0937,0.559,151.938,162480,4,True,47,https://i.scdn.co/image/ab67616d0000b273d37df871cb99477000dfe4d5,1791765.0,73.0,https://i.scdn.co/image/ab6761610000e5eb78aad18b8890189a46286aa4
5194,Hamza,Free YSL,0cFS3AMF9Lhj3CNoFvwjvY,72,2023,french,0.907,0.577,0,-8.146,0,0.0574,0.0634,1.03e-05,0.158,0.459,125.981,186253,4,True,53,https://i.scdn.co/image/ab67616d0000b273d37df871cb99477000dfe4d5,1791765.0,73.0,https://i.scdn.co/image/ab6761610000e5eb78aad18b8890189a46286aa4
5222,Hamza,Codéine 19,3Q8qW4OUBQWLZaNLR9TxFr,71,2023,french,0.812,0.525,5,-6.906,0,0.0942,0.162,0.0,0.132,0.698,76.977,143280,4,True,57,https://i.scdn.co/image/ab67616d0000b273d37df871cb99477000dfe4d5,1791765.0,73.0,https://i.scdn.co/image/ab6761610000e5eb78aad18b8890189a46286aa4
5223,Hamza,Ma Réalité,1IMgLV6uQ1mzc1XzfhLRQt,71,2023,french,0.721,0.409,4,-8.709,0,0.109,0.714,0.000233,0.108,0.189,91.949,170880,4,True,56,https://i.scdn.co/image/ab67616d0000b273d37df871cb99477000dfe4d5,1791765.0,73.0,https://i.scdn.co/image/ab6761610000e5eb78aad18b8890189a46286aa4
5252,Hamza,Au Bout De La Nuit,2r6L78L65TyGirzPgJvYEy,70,2023,french,0.825,0.611,2,-7.175,0,0.179,0.551,0.0,0.0866,0.343,100.968,181240,4,True,57,https://i.scdn.co/image/ab67616d0000b273d37df871cb99477000dfe4d5,1791765.0,73.0,https://i.scdn.co/image/ab6761610000e5eb78aad18b8890189a46286aa4
5329,Hamza,Atasanté Part.2,64rFW9zxAIeH6dLuiB56Tz,68,2023,french,0.689,0.626,1,-7.883,1,0.428,0.327,6.34e-06,0.0807,0.712,75.087,194093,4,True,51,https://i.scdn.co/image/ab67616d0000b273d37df871cb99477000dfe4d5,1791765.0,73.0,https://i.scdn.co/image/ab6761610000e5eb78aad18b8890189a46286aa4
5387,Hamza,Tsunami,5nPUi1FjzXA2Ur35LIS0X3,67,2023,french,0.937,0.571,1,-8.123,0,0.287,0.058,6.98e-05,0.109,0.563,136.01,217933,4,True,50,https://i.scdn.co/image/ab67616d0000b273d37df871cb99477000dfe4d5,1791765.0,73.0,https://i.scdn.co/image/ab6761610000e5eb78aad18b8890189a46286aa4
5388,Hamza,Introduction,48doyYB1i3Yyv3B13R1rZ3,67,2023,french,0.695,0.581,4,-10.546,0,0.371,0.595,0.0,0.105,0.0995,134.658,94253,4,True,44,https://i.scdn.co/image/ab67616d0000b273d37df871cb99477000dfe4d5,1791765.0,73.0,https://i.scdn.co/image/ab6761610000e5eb78aad18b8890189a46286aa4
5389,Hamza,Only U,6mq2UNgparrHZkswdKEPdX,67,2023,french,0.548,0.475,3,-9.574,0,0.588,0.497,0.0,0.104,0.468,154.699,194027,4,True,47,https://i.scdn.co/image/ab67616d0000b273d37df871cb99477000dfe4d5,1791765.0,73.0,https://i.scdn.co/image/ab6761610000e5eb78aad18b8890189a46286aa4
5448,Hamza,Cocoro,6kjNnf3xoreZJHvZ1oSARR,66,2023,french,0.716,0.677,7,-5.82,0,0.251,0.0115,3.22e-05,0.178,0.552,172.145,229920,4,True,42,https://i.scdn.co/image/ab67616d0000b273d37df871cb99477000dfe4d5,1791765.0,73.0,https://i.scdn.co/image/ab6761610000e5eb78aad18b8890189a46286aa4
5450,Hamza,Nasa,6kjLacoo31Ehp4pTHIJhq0,66,2023,french,0.464,0.571,6,-6.76,0,0.164,0.166,1.89e-06,0.107,0.465,105.169,184747,4,True,43,https://i.scdn.co/image/ab67616d0000b273d37df871cb99477000dfe4d5,1791765.0,73.0,https://i.scdn.co/image/ab6761610000e5eb78aad18b8890189a46286aa4
5451,Hamza,Murder,3LK81r3yptHlliNgLBo1UC,66,2023,french,0.902,0.472,7,-8.826,1,0.337,0.0323,5.7e-06,0.0564,0.47,94.017,164987,4,True,68,https://i.scdn.co/image/ab67616d0000b273d37df871cb99477000dfe4d5,1791765.0,73.0,https://i.scdn.co/image/ab6761610000e5eb78aad18b8890189a46286aa4
