Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,song_popularity_2025,image_url_song,followers,popularity_artist_2025,image_url_artist
5077,Kali Uchis,Moonlight,2i2gDpKKWjvnRTOZRhaPh2,78,2023,pop,0.639,0.723,7,-6.462,0,0.0532,0.511,0.0,0.167,0.878,136.872,187558,4,False,74,https://i.scdn.co/image/ab67616d0000b273b13b4a434585f484548e42c9,9490194.0,83.0,https://i.scdn.co/image/ab6761610000e5eb6a5bff9f9278d4eea13bb67e
5089,Kali Uchis,I Wish you Roses,6BQrmjAgPfPTwILoFEK3Hd,77,2023,pop,0.467,0.624,10,-8.511,0,0.0508,0.143,0.000899,0.145,0.31,141.889,225947,4,False,54,https://i.scdn.co/image/ab67616d0000b273f531e2357a930219f20849f6,9490194.0,83.0,https://i.scdn.co/image/ab6761610000e5eb6a5bff9f9278d4eea13bb67e
5136,Kali Uchis,Fantasy (feat. Don Toliver),1dvqHhLNccePPBHq11TW7v,75,2023,pop,0.641,0.684,10,-6.119,0,0.0476,0.129,0.000288,0.141,0.188,104.036,178275,4,False,66,https://i.scdn.co/image/ab67616d0000b27381fccd758776d16b87721b17,9490194.0,83.0,https://i.scdn.co/image/ab6761610000e5eb6a5bff9f9278d4eea13bb67e
5205,Kali Uchis,Hasta Cuando,4ipzXe2jmoeN7zm2VMb4eX,72,2023,pop,0.648,0.651,10,-8.269,0,0.143,0.128,0.0,0.121,0.401,90.952,129448,4,True,65,https://i.scdn.co/image/ab67616d0000b27381fccd758776d16b87721b17,9490194.0,83.0,https://i.scdn.co/image/ab6761610000e5eb6a5bff9f9278d4eea13bb67e
5206,Kali Uchis,Worth the Wait (feat. Omar Apollo),6V91Cctseyb8yz67YQMDw3,72,2023,pop,0.583,0.544,0,-11.024,1,0.228,0.725,0.0,0.585,0.211,155.9,150700,4,False,55,https://i.scdn.co/image/ab67616d0000b27381fccd758776d16b87721b17,9490194.0,83.0,https://i.scdn.co/image/ab6761610000e5eb6a5bff9f9278d4eea13bb67e
5234,Kali Uchis,Deserve Me (with Summer Walker),0vQffWKfl0JyRqtdoZINEM,71,2023,pop,0.639,0.641,8,-6.798,0,0.0344,0.0649,1.58e-05,0.137,0.419,111.017,265889,4,True,56,https://i.scdn.co/image/ab67616d0000b27381fccd758776d16b87721b17,9490194.0,83.0,https://i.scdn.co/image/ab6761610000e5eb6a5bff9f9278d4eea13bb67e
5235,Kali Uchis,All Mine,6TRjT37UyRUVrGg3gTlIqb,71,2023,pop,0.632,0.469,10,-8.683,0,0.0313,0.442,0.000132,0.124,0.541,94.347,209063,4,False,59,https://i.scdn.co/image/ab67616d0000b27381fccd758776d16b87721b17,9490194.0,83.0,https://i.scdn.co/image/ab6761610000e5eb6a5bff9f9278d4eea13bb67e
5236,Kali Uchis,Love Between...,128I36bDgYHU9l2QcgEGcd,71,2023,pop,0.56,0.395,2,-11.236,0,0.0542,0.805,0.00264,0.102,0.414,130.782,155083,4,False,61,https://i.scdn.co/image/ab67616d0000b27381fccd758776d16b87721b17,9490194.0,83.0,https://i.scdn.co/image/ab6761610000e5eb6a5bff9f9278d4eea13bb67e
5237,Kali Uchis,Endlessly,0wzCQjc8JRa39ej1TFkAFt,71,2023,pop,0.635,0.748,2,-5.458,0,0.0597,0.0362,3.33e-06,0.0755,0.629,82.016,155407,4,False,58,https://i.scdn.co/image/ab67616d0000b27381fccd758776d16b87721b17,9490194.0,83.0,https://i.scdn.co/image/ab6761610000e5eb6a5bff9f9278d4eea13bb67e
5272,Kali Uchis,Moral Conscience,5lrG8pjDvOJA8MdZB4YcfY,70,2023,pop,0.397,0.537,6,-6.107,0,0.0327,0.027,9.51e-06,0.276,0.132,141.502,212967,4,False,62,https://i.scdn.co/image/ab67616d0000b27381fccd758776d16b87721b17,9490194.0,83.0,https://i.scdn.co/image/ab6761610000e5eb6a5bff9f9278d4eea13bb67e
5305,Kali Uchis,Como Te Quiero Yo,2VxQqF52M7IPkiLd4XmTNi,69,2023,pop,0.501,0.427,0,-8.715,1,0.0312,0.675,4.22e-06,0.297,0.32,88.872,134861,4,True,54,https://i.scdn.co/image/ab67616d0000b27381fccd758776d16b87721b17,9490194.0,83.0,https://i.scdn.co/image/ab6761610000e5eb6a5bff9f9278d4eea13bb67e
5306,Kali Uchis,Blue,0PfurdlOZRYJ6pkrvHOkUh,69,2023,pop,0.708,0.574,11,-6.111,0,0.0493,0.539,7.12e-05,0.21,0.563,94.004,192611,4,False,56,https://i.scdn.co/image/ab67616d0000b27381fccd758776d16b87721b17,9490194.0,83.0,https://i.scdn.co/image/ab6761610000e5eb6a5bff9f9278d4eea13bb67e
5352,Kali Uchis,Not Too Late (interlude),7oeUBKNIiiYjoasR9pTiu4,68,2023,pop,0.412,0.429,6,-12.403,0,0.188,0.31,0.0,0.142,0.463,149.171,155468,4,True,52,https://i.scdn.co/image/ab67616d0000b27381fccd758776d16b87721b17,9490194.0,83.0,https://i.scdn.co/image/ab6761610000e5eb6a5bff9f9278d4eea13bb67e
5353,Kali Uchis,Happy Now,7xS1vBqvD0Otk09SCpZd8y,68,2023,pop,0.577,0.609,6,-7.011,0,0.0725,0.501,4.55e-06,0.723,0.714,125.112,229844,4,False,52,https://i.scdn.co/image/ab67616d0000b27381fccd758776d16b87721b17,9490194.0,83.0,https://i.scdn.co/image/ab6761610000e5eb6a5bff9f9278d4eea13bb67e
