Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,song_popularity_2025,image_url_song,followers,popularity_artist_2025,image_url_artist
5006,Morgan Wallen,Last Night,59uQI0PADDKeE6UZDTJEe8,88,2023,country,0.517,0.675,6,-5.382,1,0.0357,0.459,0.0,0.151,0.518,203.853,163855,4,True,31,https://i.scdn.co/image/ab67616d0000b273fc1df8423733f6f3c9e8dea2,14033969.0,88.0,https://i.scdn.co/image/ab6761610000e5eb4245b1652fcc23f2b76ccd07
5023,Morgan Wallen,Thinkin’ Bout Me,0PAcdVzhPO4gq1Iym9ESnK,82,2023,country,0.656,0.757,3,-5.775,0,0.0308,0.492,0.0,0.117,0.429,139.971,177388,4,False,34,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9,14033969.0,88.0,https://i.scdn.co/image/ab6761610000e5eb4245b1652fcc23f2b76ccd07
5024,Morgan Wallen,Ain’t That Some,2YVlDlk2zRceefo6XlC6DX,82,2023,country,0.641,0.803,6,-5.781,0,0.0286,0.00232,3.86e-06,0.361,0.671,121.086,158004,4,True,29,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9,14033969.0,88.0,https://i.scdn.co/image/ab6761610000e5eb4245b1652fcc23f2b76ccd07
5042,Morgan Wallen,Man Made A Bar (feat. Eric Church),73zawW1ttszLRgT9By826D,80,2023,country,0.498,0.764,4,-5.006,1,0.0309,0.123,3.07e-05,0.119,0.489,147.984,191231,4,False,29,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9,14033969.0,88.0,https://i.scdn.co/image/ab6761610000e5eb4245b1652fcc23f2b76ccd07
5054,Morgan Wallen,’98 Braves,3oZ6dlSfCE9gZ55MGPJctc,79,2023,country,0.488,0.67,2,-5.759,1,0.0268,0.0969,0.00022,0.257,0.484,142.139,178704,4,False,22,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9,14033969.0,88.0,https://i.scdn.co/image/ab6761610000e5eb4245b1652fcc23f2b76ccd07
5055,Morgan Wallen,Everything I Love,03fs6oV5JAlbytRYf3371S,79,2023,country,0.568,0.841,8,-3.802,1,0.0261,0.00514,0.000503,0.147,0.668,103.983,187047,4,False,23,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9,14033969.0,88.0,https://i.scdn.co/image/ab6761610000e5eb4245b1652fcc23f2b76ccd07
5056,Morgan Wallen,Sunrise,0JtgoDDf0ggWaoXCGhcOoT,79,2023,country,0.613,0.765,2,-5.058,0,0.0318,0.259,4.28e-06,0.0832,0.343,139.993,182522,4,False,23,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9,14033969.0,88.0,https://i.scdn.co/image/ab6761610000e5eb4245b1652fcc23f2b76ccd07
5057,Morgan Wallen,I Wrote The Book,7phmBo7bB9I9YifAXqnlqV,79,2023,country,0.692,0.808,2,-3.757,1,0.0396,0.0834,3.75e-05,0.0913,0.802,143.977,181767,4,False,20,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9,14033969.0,88.0,https://i.scdn.co/image/ab6761610000e5eb4245b1652fcc23f2b76ccd07
5066,Morgan Wallen,Whiskey Friends,2ewSCWOL7EAjgmgqfI1UlS,78,2023,country,0.544,0.826,1,-3.848,1,0.0288,0.0631,1.46e-05,0.113,0.596,142.029,205579,4,False,19,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9,14033969.0,88.0,https://i.scdn.co/image/ab6761610000e5eb4245b1652fcc23f2b76ccd07
5067,Morgan Wallen,Born With A Beer In My Hand,1BAU6v0fuAV914qMUEESR1,78,2023,country,0.531,0.81,0,-5.475,1,0.0401,0.0502,3.95e-05,0.357,0.608,148.026,188524,4,False,14,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9,14033969.0,88.0,https://i.scdn.co/image/ab6761610000e5eb4245b1652fcc23f2b76ccd07
5068,Morgan Wallen,Devil Don’t Know,2PsbT927UanvyH9VprlNOu,78,2023,country,0.53,0.664,0,-5.648,1,0.0272,0.377,3.76e-05,0.0937,0.323,125.002,205183,4,False,14,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9,14033969.0,88.0,https://i.scdn.co/image/ab6761610000e5eb4245b1652fcc23f2b76ccd07
5069,Morgan Wallen,Cowgirls (feat. ERNEST),7fveJ3pk1eSfxBdVkzdXZ0,78,2023,country,0.624,0.766,8,-3.805,1,0.0359,0.199,8.62e-06,0.156,0.37,172.08,181621,4,False,37,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9,14033969.0,88.0,https://i.scdn.co/image/ab6761610000e5eb4245b1652fcc23f2b76ccd07
5070,Morgan Wallen,Dying Man,4kvjThnfQIsPOKjxx0aZDu,78,2023,country,0.415,0.573,1,-6.567,1,0.0286,0.28,0.00449,0.0966,0.322,80.95,183466,4,False,14,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9,14033969.0,88.0,https://i.scdn.co/image/ab6761610000e5eb4245b1652fcc23f2b76ccd07
