Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,followers,popularity_artist_2025,image_url_artist,explicit,song_popularity_2025,album_image_url,album_name,album_release_date
57,Billie Eilish,lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4,87,2018,pop,0.351,0.296,4,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.284,200186,4,118692183.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da,False,87.0,https://i.scdn.co/image/ab67616d0000b2738a3f0a3ca7929dea23cd274c,lovely (with Khalid),2018-04-19
105,Billie Eilish,TV,3GYlZ7tbxLOxe6ewMNVTkw,84,2022,pop,0.412,0.236,4,-15.159,0,0.0379,0.83,0.00653,0.147,0.119,140.214,281381,4,118692183.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da,False,83.0,https://i.scdn.co/image/ab67616d0000b2737a4781629469bb83356cd318,Guitar Songs,2022-07-21
121,Billie Eilish,Happier Than Ever,4RVwu0g32PAqgUiJoXsdF8,84,2021,pop,0.332,0.225,0,-8.697,1,0.0348,0.767,0.00349,0.128,0.297,81.055,298899,3,118692183.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da,True,84.0,https://i.scdn.co/image/ab67616d0000b2732a038d3bf875d23e4aeaa84e,Happier Than Ever,2021-07-30
168,Billie Eilish,everything i wanted,3ZCTVFBt2Brf31RLEnCkWJ,83,2019,electro,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,245426,4,118692183.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da,False,83.0,https://i.scdn.co/image/ab67616d0000b273f2248cf6dad1d6c062587249,everything i wanted,2019-11-13
237,Billie Eilish,Bored,04sN26COy28wTXYj3dMoiZ,82,2017,electro,0.614,0.318,7,-12.695,1,0.0478,0.896,0.00239,0.0795,0.112,119.959,180933,4,118692183.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da,False,79.0,https://i.scdn.co/image/ab67616d0000b273e0f2af91be409aad81bba98c,Bored,2017-03-30
280,Billie Eilish,bad guy,2Fxmhks0bxGSBdJ92vM42m,81,2019,electro,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088,4,118692183.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da,False,82.0,https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29
332,Billie Eilish,when the party's over,43zdsphuZLzwA9k4DJhU0I,81,2019,pop,0.367,0.111,4,-14.084,1,0.0972,0.978,3.97e-05,0.0897,0.198,82.642,196077,4,118692183.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da,False,85.0,https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29
558,Billie Eilish,idontwannabeyouanymore,41zXlQxzTi6cGAjpOXyLYH,79,2017,electro,0.483,0.412,7,-8.461,1,0.0402,0.737,0.0,0.116,0.247,170.163,203569,3,118692183.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da,False,78.0,https://i.scdn.co/image/ab67616d0000b273a9f6c04ba168640b48aa5795,dont smile at me,2017-12-22
670,Billie Eilish,Happier Than Ever - Edit,32BeYxKPrig1LefHsC0Xuo,78,2021,electro,0.334,0.599,0,-5.742,1,0.0365,0.0468,0.000392,0.205,0.127,161.74,151444,3,118692183.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da,True,70.0,https://i.scdn.co/image/ab67616d0000b27331aa3ebe23f59778bff800c9,Happier Than Ever (Edit),2021-07-28
731,Billie Eilish,i love you,6CcJMwBtXByIz4zQLzFkKc,78,2019,pop,0.421,0.131,0,-18.435,1,0.0382,0.952,0.00453,0.109,0.12,137.446,291796,4,118692183.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da,False,82.0,https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29
762,Billie Eilish,watch,7eB1V5LvAdxCc7brfGhRRo,77,2017,electro,0.441,0.599,0,-8.985,1,0.225,0.333,0.00198,0.103,0.35,165.212,177523,4,118692183.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da,False,79.0,https://i.scdn.co/image/ab67616d0000b273a9f6c04ba168640b48aa5795,dont smile at me,2017-12-22
950,Billie Eilish,bellyache,51NFxnQvaosfDDutk0tams,76,2017,electro,0.695,0.573,4,-8.597,0,0.106,0.46,0.0734,0.482,0.408,99.939,179172,4,118692183.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da,False,76.0,https://i.scdn.co/image/ab67616d0000b2734adbeb26299adca766cec2c5,Bellyache,2017-02-24
