Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,followers,popularity_artist_2025,image_url_artist,explicit,song_popularity_2025,album_image_url,album_name,album_release_date
19,Drake,Rich Flex,1bDbXMyjaUIooNwFE9wn0N,90,2022,hip-hop,0.561,0.52,11,-9.342,0,0.244,0.0503,1.86e-06,0.355,0.424,153.15,239360,3,103039388.0,95.0,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9,True,75.0,https://i.scdn.co/image/ab67616d0000b27302854a7060fccc1a66a4b5ad,Her Loss,2022-11-04
70,Drake,Jimmy Cooks (feat. 21 Savage),3F5CgOj3wFlRv51JsHbxhe,86,2022,hip-hop,0.529,0.673,0,-4.711,1,0.175,0.000307,2.41e-06,0.093,0.366,165.921,218365,4,103039388.0,95.0,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9,True,80.0,https://i.scdn.co/image/ab67616d0000b2738dc0d801766a5aa6a33cbe37,"Honestly, Nevermind",2022-06-17
131,Drake,One Dance,1zi7xx7UVEFkmKfv06H8x0,84,2016,hip-hop,0.792,0.625,1,-5.609,1,0.0536,0.00776,0.0018,0.329,0.37,103.967,173987,4,103039388.0,95.0,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9,False,88.0,https://i.scdn.co/image/ab67616d0000b2739416ed64daf84936d89e671c,Views,2016-05-06
170,Drake,God's Plan,6DCZcSspjsKoFjzjrWoCdn,83,2018,hip-hop,0.754,0.449,7,-9.211,1,0.109,0.0332,8.29e-05,0.552,0.357,77.169,198973,4,103039388.0,95.0,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9,True,83.0,https://i.scdn.co/image/ab67616d0000b273f907de96b9a4fbc04accc0d5,Scorpion,2018-06-29
187,Drake,Spin Bout U,2ZL7WZcjuYKi1KUDtp4kCC,82,2022,hip-hop,0.773,0.701,7,-6.386,1,0.0512,0.01,0.0,0.163,0.203,129.963,214589,4,103039388.0,95.0,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9,True,75.0,https://i.scdn.co/image/ab67616d0000b27302854a7060fccc1a66a4b5ad,Her Loss,2022-11-04
274,Drake,Passionfruit,5mCPDVBb16L4XQwDdbRUpz,81,2017,hip-hop,0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,298941,4,103039388.0,95.0,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9,True,85.0,https://i.scdn.co/image/ab67616d0000b2734f0fd9dad63977146e685700,More Life,2017-03-18
301,Drake,Pussy & Millions (feat. Travis Scott),2KLwPaRDOB87XOYAT2fgxh,81,2022,hip-hop,0.749,0.63,4,-6.652,0,0.116,0.0623,0.0,0.353,0.445,122.03,242027,4,103039388.0,95.0,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9,True,69.0,https://i.scdn.co/image/ab67616d0000b27302854a7060fccc1a66a4b5ad,Her Loss,2022-11-04
310,Drake,Knife Talk (with 21 Savage ft. Project Pat),2BcMwX1MPV6ZHP4tUT9uq6,81,2021,hip-hop,0.849,0.424,5,-9.579,0,0.324,0.0635,0.0,0.0834,0.153,145.887,242966,4,103039388.0,95.0,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9,True,74.0,https://i.scdn.co/image/ab67616d0000b273cd945b4e3de57edd28481a3f,Certified Lover Boy,2021-09-03
374,Drake,Wants and Needs (feat. Lil Baby),65OVbaJR5O1RmwOQx0875b,80,2021,hip-hop,0.578,0.449,1,-6.349,1,0.286,0.0618,2.17e-06,0.119,0.1,136.006,192956,4,103039388.0,95.0,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9,True,76.0,https://i.scdn.co/image/ab67616d0000b2738b20e4631fa15d3953528bbc,Scary Hours 2,2021-03-05
379,Drake,Fair Trade (with Travis Scott),40iJIUlhi6renaREYGeIDS,80,2021,hip-hop,0.666,0.465,1,-8.545,1,0.26,0.0503,0.0,0.215,0.292,167.937,291175,4,103039388.0,95.0,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9,True,79.0,https://i.scdn.co/image/ab67616d0000b273cd945b4e3de57edd28481a3f,Certified Lover Boy,2021-09-03
387,Drake,On BS,34tz0eDhGuFErIuW3q4mPX,80,2022,hip-hop,0.841,0.358,9,-8.368,1,0.591,0.0201,0.0,0.39,0.329,158.014,261544,4,103039388.0,95.0,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9,True,69.0,https://i.scdn.co/image/ab67616d0000b27302854a7060fccc1a66a4b5ad,Her Loss,2022-11-04
403,Drake,Chicago Freestyle (feat. Giveon),4wVOKKEHUJxHCFFNUWDn0B,80,2020,hip-hop,0.735,0.449,10,-7.507,1,0.347,0.629,0.0,0.113,0.0397,122.947,220488,4,103039388.0,95.0,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9,True,78.0,https://i.scdn.co/image/ab67616d0000b273bba7cfaf7c59ff0898acba1f,Dark Lane Demo Tapes,2020-05-01
615,Drake,Teenage Fever,6n3HGiq4v35D6eFOSwqYuo,79,2017,hip-hop,0.766,0.283,8,-10.33,0,0.0846,0.111,0.0172,0.115,0.144,97.04,219692,4,103039388.0,95.0,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9,True,81.0,https://i.scdn.co/image/ab67616d0000b2734f0fd9dad63977146e685700,More Life,2017-03-18
623,Drake,Major Distribution,46s57QULU02Voy0Kup6UEb,78,2022,hip-hop,0.908,0.546,8,-10.491,0,0.323,0.0127,0.0,0.0707,0.225,131.016,170502,4,103039388.0,95.0,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9,True,65.0,https://i.scdn.co/image/ab67616d0000b27302854a7060fccc1a66a4b5ad,Her Loss,2022-11-04
625,Drake,Circo Loco,7GeTsDIc5ykNB6lORO6Cee,78,2022,hip-hop,0.734,0.605,1,-8.476,1,0.0699,0.0102,0.0,0.317,0.252,103.976,236795,4,103039388.0,95.0,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9,True,68.0,https://i.scdn.co/image/ab67616d0000b27302854a7060fccc1a66a4b5ad,Her Loss,2022-11-04
650,Drake,Trust Issues,4Wjhj0WjkyECccfHVIgaTq,78,2019,hip-hop,0.421,0.539,11,-5.456,0,0.274,0.779,0.0,0.111,0.523,89.177,281519,3,103039388.0,95.0,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9,True,78.0,https://i.scdn.co/image/ab67616d0000b2739c1e02d4becb7c5bbca01e2a,Care Package,2019-08-02
752,Drake,Nonstop,0TlLq3lA83rQOYtrqBqSct,77,2018,hip-hop,0.912,0.412,7,-8.074,1,0.123,0.0165,0.0126,0.104,0.423,154.983,238614,4,103039388.0,95.0,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9,True,76.0,https://i.scdn.co/image/ab67616d0000b273f907de96b9a4fbc04accc0d5,Scorpion,2018-06-29
824,Drake,Laugh Now Cry Later (feat. Lil Durk),2SAqBLGA283SUiwJ3xOUVI,77,2020,hip-hop,0.761,0.518,0,-8.871,1,0.134,0.244,3.47e-05,0.107,0.522,133.976,261493,4,103039388.0,95.0,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9,True,75.0,https://i.scdn.co/image/ab67616d0000b27352c75ed37313b889447011ef,Laugh Now Cry Later (feat. Lil Durk),2020-08-14
937,Drake,Money In The Grave (Drake ft. Rick Ross),5ry2OE6R2zPQFDO85XkgRb,76,2019,hip-hop,0.831,0.502,10,-4.045,0,0.046,0.101,0.0,0.122,0.101,100.541,205427,4,103039388.0,95.0,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9,True,73.0,https://i.scdn.co/image/ab67616d0000b2733f3b653b0a7b9e889a712c3d,The Best In The World Pack,2019-06-15
