Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,followers,popularity_artist_2025,image_url_artist,explicit,song_popularity_2025,album_image_url,album_name,album_release_date
24,Eminem,Mockingbird,561jH07mF1jHuk7KlaeF0s,90,2004,hip-hop,0.637,0.678,0,-3.798,1,0.266,0.209,0.0,0.156,0.254,84.039,250760,4,104517308.0,88.0,https://i.scdn.co/image/ab6761610000e5eba00b11c129b27a88fc72f36b,True,85.0,https://i.scdn.co/image/ab67616d0000b273726d48d93d02e1271774f023,Encore (Deluxe Version),2004-11-12
44,Eminem,Without Me,7lQ8MOhq6IN2w8EYcFNSUk,87,2002,hip-hop,0.908,0.669,7,-2.827,1,0.0738,0.00286,0.0,0.237,0.662,112.238,290320,4,104517308.0,88.0,https://i.scdn.co/image/ab6761610000e5eba00b11c129b27a88fc72f36b,True,87.0,https://i.scdn.co/image/ab67616d0000b2736ca5c90113b30c3c43ffb8f4,The Eminem Show,2002-05-26
67,Eminem,The Real Slim Shady,3yfqSUWxFvZELEM4PmlwIR,86,2000,hip-hop,0.949,0.661,5,-4.244,0,0.0572,0.0302,0.0,0.0454,0.76,104.504,284200,4,104517308.0,88.0,https://i.scdn.co/image/ab6761610000e5eba00b11c129b27a88fc72f36b,True,84.0,https://i.scdn.co/image/ab67616d0000b273dbb3dd82da45b7d7f31b1b42,The Marshall Mathers LP,2000-05-23
71,Eminem,Superman,4woTEX1wYOTGDqNXuavlRC,86,2002,hip-hop,0.802,0.755,4,-3.138,0,0.0564,0.0215,0.0,0.295,0.58,130.027,350320,4,104517308.0,88.0,https://i.scdn.co/image/ab6761610000e5eba00b11c129b27a88fc72f36b,True,82.0,https://i.scdn.co/image/ab67616d0000b2736ca5c90113b30c3c43ffb8f4,The Eminem Show,2002-05-26
132,Eminem,Till I Collapse,4xkOaSrkexMciUUogZKVTS,84,2002,hip-hop,0.548,0.847,1,-3.237,1,0.186,0.0622,0.0,0.0816,0.1,171.447,297787,4,104517308.0,88.0,https://i.scdn.co/image/ab6761610000e5eba00b11c129b27a88fc72f36b,True,83.0,https://i.scdn.co/image/ab67616d0000b2736ca5c90113b30c3c43ffb8f4,The Eminem Show,2002-05-26
218,Eminem,Love The Way You Lie,15JINEqzVMv3SvJTAXAKED,82,2010,hip-hop,0.749,0.925,10,-5.034,1,0.227,0.241,0.0,0.52,0.641,86.989,263373,4,104517308.0,88.0,https://i.scdn.co/image/ab6761610000e5eba00b11c129b27a88fc72f36b,True,85.0,https://i.scdn.co/image/ab67616d0000b273c08d5fa5c0f1a834acef5100,Recovery,2010-06-18
226,Eminem,Stan,3UmaczJpikHgJFyBTAJVoz,82,2000,hip-hop,0.78,0.768,6,-4.325,0,0.238,0.0371,2.34e-06,0.518,0.507,80.063,404107,4,104517308.0,88.0,https://i.scdn.co/image/ab6761610000e5eba00b11c129b27a88fc72f36b,True,80.0,https://i.scdn.co/image/ab67616d0000b273dbb3dd82da45b7d7f31b1b42,The Marshall Mathers LP,2000-05-23
326,Eminem,Godzilla (feat. Juice WRLD),7FIWs0pqAYbP91WWM0vlTQ,81,2020,hip-hop,0.808,0.745,10,-5.26,0,0.342,0.145,0.0,0.292,0.829,165.995,210800,4,104517308.0,88.0,https://i.scdn.co/image/ab6761610000e5eba00b11c129b27a88fc72f36b,True,80.0,https://i.scdn.co/image/ab67616d0000b2732f44aec83b20e40f3baef73c,Music To Be Murdered By,2020-01-17
536,Eminem,Not Afraid,7Ie9W94M7OjPoZVV216Xus,79,2010,hip-hop,0.855,0.954,0,-1.19,0,0.264,0.529,0.0,0.205,0.668,114.635,248133,5,104517308.0,88.0,https://i.scdn.co/image/ab6761610000e5eba00b11c129b27a88fc72f36b,True,79.0,https://i.scdn.co/image/ab67616d0000b273c08d5fa5c0f1a834acef5100,Recovery,2010-06-18
555,Eminem,Sing For The Moment,3CpoeW0cZSDzIRv5z34F87,79,2002,hip-hop,0.668,0.824,5,-4.164,0,0.137,0.0017,3.05e-06,0.0426,0.185,163.961,339547,4,104517308.0,88.0,https://i.scdn.co/image/ab6761610000e5eba00b11c129b27a88fc72f36b,True,75.0,https://i.scdn.co/image/ab67616d0000b2736ca5c90113b30c3c43ffb8f4,The Eminem Show,2002-05-26
672,Eminem,The Monster,48RrDBpOSSl1aLVCalGl5C,78,2013,hip-hop,0.781,0.853,1,-3.68,0,0.0715,0.0525,0.0,0.12,0.624,110.049,250189,4,104517308.0,88.0,https://i.scdn.co/image/ab6761610000e5eba00b11c129b27a88fc72f36b,True,81.0,https://i.scdn.co/image/ab67616d0000b2733c65085a58aae2cccd892cbe,The Marshall Mathers LP2,2013-11-05
993,Eminem,Rap God,6or1bKJiZ06IlK0vFvY75k,76,2013,hip-hop,0.708,0.843,7,-2.66,1,0.314,0.397,0.0,0.799,0.625,148.14,363521,4,104517308.0,88.0,https://i.scdn.co/image/ab6761610000e5eba00b11c129b27a88fc72f36b,True,74.0,https://i.scdn.co/image/ab67616d0000b273c6338d684995af10c2bf0533,The Marshall Mathers LP2 (Deluxe),2013-11-05
