Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,followers,popularity_artist_2025,image_url_artist,explicit,song_popularity_2025,album_image_url,album_name,album_release_date
17,Harry Styles,As It Was,4LRPiXqCikLlN15c3yImP7,90,2022,pop,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,167303,4,34130771.0,80.0,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb,False,13.0,,,
53,Harry Styles,Late Night Talking,1qEmFfgcLObUfQm0j1W2CK,87,2022,pop,0.714,0.728,10,-4.595,1,0.0468,0.298,0.0,0.106,0.901,114.996,177955,4,34130771.0,80.0,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb,False,75.0,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,Harry's House,2022-05-20
56,Harry Styles,Watermelon Sugar,6UelLqGlWMcVH1E5c4H7lY,87,2019,pop,0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,174000,4,34130771.0,80.0,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb,False,82.0,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a,Fine Line,2019-12-13
136,Harry Styles,Adore You,3jjujdWJ72nww5eGnfs2E7,84,2019,pop,0.676,0.771,8,-3.675,1,0.0483,0.0237,7e-06,0.102,0.569,99.048,207133,4,34130771.0,80.0,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb,False,78.0,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a,Fine Line,2019-12-13
161,Harry Styles,Sign of the Times,5Ohxk2dO5COHF1krpoPigN,83,2017,pop,0.516,0.595,5,-4.63,1,0.0313,0.0275,0.0,0.109,0.222,119.972,340707,4,34130771.0,80.0,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb,False,85.0,https://i.scdn.co/image/ab67616d0000b2736c619c39c853f8b1d67b7859,Harry Styles,2017-05-12
221,Harry Styles,Falling,1ZMiCix7XSAbfAJlEZWMCp,82,2019,pop,0.567,0.267,4,-6.502,1,0.0299,0.839,1.46e-06,0.089,0.0592,110.011,240133,4,34130771.0,80.0,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb,False,78.0,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a,Fine Line,2019-12-13
346,Harry Styles,Music For a Sushi Restaurant,5LYMamLv12UPbemOaTPyeV,81,2022,pop,0.72,0.715,11,-4.652,1,0.04,0.258,0.0568,0.107,0.357,107.041,193813,4,34130771.0,80.0,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb,False,69.0,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,Harry's House,2022-05-20
358,Harry Styles,Matilda,6uvh0In7u1Xn4HgxOfAn8O,81,2022,pop,0.507,0.294,2,-10.0,1,0.04,0.896,1.97e-05,0.0966,0.386,114.199,245964,4,34130771.0,80.0,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb,False,77.0,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,Harry's House,2022-05-20
381,Harry Styles,Daylight,51Zw1cKDgkad0CXv23HCMU,80,2022,pop,0.686,0.445,0,-7.189,1,0.0398,0.484,0.00144,0.175,0.626,145.5,164533,3,34130771.0,80.0,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb,False,68.0,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,Harry's House,2022-05-20
394,Harry Styles,Satellite,0rzaRSujxA0bKyjJl6vHYq,80,2022,pop,0.576,0.457,0,-6.473,1,0.0304,0.143,3.05e-05,0.0917,0.301,138.984,218577,4,34130771.0,80.0,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb,False,72.0,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,Harry's House,2022-05-20
