Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,followers,popularity_artist_2025,image_url_artist,explicit,song_popularity_2025,album_image_url,album_name,album_release_date
0,Miley Cyrus,Flowers,0yLdNVWF3Srea0uzk55zFn,100,2023,pop,0.707,0.681,0,-4.325,1,0.0668,0.0632,5.15e-06,0.0322,0.646,117.999,200455,4,26558356.0,81.0,https://i.scdn.co/image/ab6761610000e5ebf4cccd14ec026038d713e353,,,,,
84,Miley Cyrus,River,04CqLjewJiSAqM210vZAmT,85,2023,pop,0.613,0.803,9,-5.171,1,0.0367,0.000525,0.000333,0.189,0.461,127.989,162973,4,26558356.0,81.0,https://i.scdn.co/image/ab6761610000e5ebf4cccd14ec026038d713e353,False,1.0,,,
229,Miley Cyrus,Jaded,3AAY8YicetRPlDAkibHLiS,82,2023,pop,0.496,0.593,4,-5.154,1,0.0285,0.0476,0.0,0.0909,0.177,91.038,185933,4,26558356.0,81.0,https://i.scdn.co/image/ab6761610000e5ebf4cccd14ec026038d713e353,True,1.0,,,
384,Miley Cyrus,Prisoner (feat. Dua Lipa),2Oycxb8QbPkpHTo8ZrmG0B,80,2020,pop,0.781,0.67,3,-3.912,0,0.0452,0.0103,0.0,0.0761,0.595,127.99,169333,4,26558356.0,81.0,https://i.scdn.co/image/ab6761610000e5ebf4cccd14ec026038d713e353,False,70.0,https://i.scdn.co/image/ab67616d0000b2738cffb7c6c40759eaf8a5a142,Plastic Hearts,2020-11-27
390,Miley Cyrus,Angels Like You,1daDRI9ahBonbWD8YcxOIB,80,2020,pop,0.672,0.642,5,-4.035,1,0.0313,0.0981,0.0,0.1,0.494,121.981,196453,4,26558356.0,81.0,https://i.scdn.co/image/ab6761610000e5ebf4cccd14ec026038d713e353,False,81.0,https://i.scdn.co/image/ab67616d0000b2738cffb7c6c40759eaf8a5a142,Plastic Hearts,2020-11-27
439,Miley Cyrus,Wrecking Ball,2vwlzO0Qp8kfEtzTsCXfyE,80,2013,pop,0.53,0.422,5,-6.262,1,0.0342,0.407,0.0,0.107,0.349,119.964,221360,4,26558356.0,81.0,https://i.scdn.co/image/ab6761610000e5ebf4cccd14ec026038d713e353,False,80.0,https://i.scdn.co/image/ab67616d0000b2736b18d0490878750cd69abf2c,Bangerz (Deluxe Version),2013-10-04
617,Miley Cyrus,Rose Colored Lenses,3wH4eUkJ1rL5xTU8PZZyOy,79,2023,pop,0.539,0.503,2,-5.338,1,0.0385,0.0574,2.34e-05,0.0847,0.836,174.068,223787,4,26558356.0,81.0,https://i.scdn.co/image/ab6761610000e5ebf4cccd14ec026038d713e353,False,0.0,,,
632,Miley Cyrus,We Can't Stop,2y4lAQpi5VTNLu2ldeTdUH,78,2013,pop,0.613,0.622,1,-5.794,0,0.0334,0.00882,0.0,0.37,0.484,80.003,231240,4,26558356.0,81.0,https://i.scdn.co/image/ab6761610000e5ebf4cccd14ec026038d713e353,False,79.0,https://i.scdn.co/image/ab67616d0000b2736b18d0490878750cd69abf2c,Bangerz (Deluxe Version),2013-10-04
657,Miley Cyrus,Midnight Sky,4i2qxFEVVUi8yOYoxB8TCX,78,2020,pop,0.699,0.805,4,-5.535,0,0.0345,0.00161,0.00177,0.249,0.232,109.976,223280,4,26558356.0,81.0,https://i.scdn.co/image/ab6761610000e5ebf4cccd14ec026038d713e353,False,69.0,https://i.scdn.co/image/ab67616d0000b2738cffb7c6c40759eaf8a5a142,Plastic Hearts,2020-11-27
674,Miley Cyrus,Thousand Miles (feat. Brandi Carlile),1GN6qqehnqUfUHH1gfK81v,78,2023,pop,0.503,0.722,9,-7.595,1,0.103,0.205,3.52e-05,0.0845,0.354,172.006,231000,4,26558356.0,81.0,https://i.scdn.co/image/ab6761610000e5ebf4cccd14ec026038d713e353,False,0.0,,,
837,Miley Cyrus,Muddy Feet (feat. Sia),1S1WWTuydW6zljNeHOpZXe,77,2023,pop,0.548,0.779,7,-4.737,1,0.109,0.076,0.000494,0.19,0.524,172.083,136947,4,26558356.0,81.0,https://i.scdn.co/image/ab6761610000e5ebf4cccd14ec026038d713e353,True,0.0,,,
839,Miley Cyrus,Violet Chemistry,00Ga884hbpVvCNyeQdle1U,77,2023,pop,0.642,0.715,8,-5.711,1,0.0385,0.00265,0.0,0.094,0.588,119.938,246307,4,26558356.0,81.0,https://i.scdn.co/image/ab6761610000e5ebf4cccd14ec026038d713e353,False,0.0,,,
842,Miley Cyrus,You,6FAsJDkg4y5JSWP9ZMKlDj,77,2023,pop,0.625,0.568,11,-5.663,1,0.0324,0.288,0.0,0.674,0.348,85.545,179427,3,26558356.0,81.0,https://i.scdn.co/image/ab6761610000e5ebf4cccd14ec026038d713e353,False,0.0,,,
