Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,followers,popularity_artist_2025,image_url_artist,explicit,song_popularity_2025,album_image_url,album_name,album_release_date
3,SZA,Kill Bill,1Qrg8KqiBpW07V7PNxwwwL,94,2022,pop,0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98,153947,4,33029522.0,87.0,https://i.scdn.co/image/ab6761610000e5ebfd0a9fb6c252a3ba44079acf,False,81.0,https://i.scdn.co/image/ab67616d0000b2730c471c36970b9406233842a5,SOS,2022-12-08
23,SZA,Snooze,4iZ4pt7kvcaH6Yo8UoZ4s2,90,2022,pop,0.559,0.551,5,-7.231,1,0.132,0.141,0.0,0.11,0.392,143.008,201800,4,33029522.0,87.0,https://i.scdn.co/image/ab6761610000e5ebfd0a9fb6c252a3ba44079acf,True,85.0,https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1,SOS,2022-12-09
52,SZA,Low,2GAhgAjOhEmItWLfgisyOn,87,2022,pop,0.698,0.546,0,-7.234,0,0.0559,0.425,0.00314,0.16,0.335,145.044,181080,4,33029522.0,87.0,https://i.scdn.co/image/ab6761610000e5ebfd0a9fb6c252a3ba44079acf,True,75.0,https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1,SOS,2022-12-09
162,SZA,Shirt,2wSTnntOPRi7aQneobFtU4,83,2022,pop,0.848,0.512,3,-7.72,0,0.102,0.228,0.00232,0.0879,0.572,120.009,181840,4,33029522.0,87.0,https://i.scdn.co/image/ab6761610000e5ebfd0a9fb6c252a3ba44079acf,True,68.0,https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1,SOS,2022-12-09
468,SZA,Ghost in the Machine (feat. Phoebe Bridgers),4h5x3XHLVYFJaItKuO2rhy,80,2022,pop,0.624,0.433,6,-9.572,1,0.0467,0.837,0.0294,0.113,0.589,124.979,218587,4,33029522.0,87.0,https://i.scdn.co/image/ab6761610000e5ebfd0a9fb6c252a3ba44079acf,True,68.0,https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1,SOS,2022-12-09
494,SZA,Kill Bill - Sped Up Version,2ty6DmPnxVPpEFuB23XM0x,80,2023,pop,0.678,0.798,10,-5.195,1,0.0316,0.0383,0.269,0.126,0.509,99.941,137528,4,33029522.0,87.0,https://i.scdn.co/image/ab6761610000e5ebfd0a9fb6c252a3ba44079acf,False,56.0,https://i.scdn.co/image/ab67616d0000b273ecbed2e314e559d78413d8d5,Kill Bill,2023-01-13
528,SZA,Good Days,3YJJjQPAbDT7mGpX3WtQ9A,79,2020,pop,0.436,0.655,1,-8.37,0,0.0583,0.499,8.1e-06,0.688,0.412,121.002,279204,4,33029522.0,87.0,https://i.scdn.co/image/ab6761610000e5ebfd0a9fb6c252a3ba44079acf,True,72.0,https://i.scdn.co/image/ab67616d0000b2733097b1375ab17ae5bf302a0a,Good Days,2020-12-25
542,SZA,Broken Clocks,2fXwCWkh6YG5zU1IyvQrbs,79,2017,pop,0.692,0.684,6,-7.364,1,0.155,0.131,0.0,0.156,0.406,112.912,231253,4,33029522.0,87.0,https://i.scdn.co/image/ab6761610000e5ebfd0a9fb6c252a3ba44079acf,True,77.0,https://i.scdn.co/image/ab67616d0000b2734c79d5ec52a6d0302f3add25,Ctrl,2017-06-09
596,SZA,Love Language,1eIXYZWEfJO3Na2LCCnIJE,79,2022,pop,0.707,0.261,9,-10.139,0,0.0784,0.853,0.0,0.127,0.545,65.038,183893,4,33029522.0,87.0,https://i.scdn.co/image/ab6761610000e5ebfd0a9fb6c252a3ba44079acf,True,67.0,https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1,SOS,2022-12-09
614,SZA,Seek & Destroy,6eT2V7nKXyMf47TwPbtgAD,79,2022,pop,0.651,0.647,1,-5.415,1,0.0654,0.437,0.175,0.205,0.345,152.069,203733,4,33029522.0,87.0,https://i.scdn.co/image/ab6761610000e5ebfd0a9fb6c252a3ba44079acf,True,65.0,https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1,SOS,2022-12-09
660,SZA,Open Arms (feat. Travis Scott),0xaFw2zDYf1rIJWl2dXiSF,78,2022,pop,0.665,0.59,9,-7.608,1,0.161,0.763,0.0132,0.147,0.216,77.559,239613,4,33029522.0,87.0,https://i.scdn.co/image/ab6761610000e5ebfd0a9fb6c252a3ba44079acf,False,74.0,https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1,SOS,2022-12-09
661,SZA,Special,6RQ5IwG7uADz9LDWliJGjU,78,2022,pop,0.604,0.199,0,-11.831,1,0.05,0.777,0.0,0.109,0.191,76.134,158840,4,33029522.0,87.0,https://i.scdn.co/image/ab6761610000e5ebfd0a9fb6c252a3ba44079acf,True,67.0,https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1,SOS,2022-12-09
875,SZA,Awkward,2xZ0zfuDTv5LxLhEgD82PG,77,2022,pop,0.618,0.474,5,-12.097,1,0.0789,0.182,0.000122,0.108,0.397,119.999,178000,4,33029522.0,87.0,https://i.scdn.co/image/ab6761610000e5ebfd0a9fb6c252a3ba44079acf,True,71.0,https://i.scdn.co/image/ab67616d0000b2731882add8fd275c04e322027d,Ctrl (Deluxe),2022-06-09
994,SZA,F2F,2e2AXpIiJpet5b4qg85Gh6,76,2022,pop,0.533,0.74,2,-5.767,1,0.0359,0.089,2.95e-06,0.337,0.465,89.934,185040,4,33029522.0,87.0,https://i.scdn.co/image/ab6761610000e5ebfd0a9fb6c252a3ba44079acf,True,67.0,https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1,SOS,2022-12-09
