Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,followers,popularity_artist_2025,image_url_artist,explicit,song_popularity_2025,album_image_url,album_name,album_release_date
11,Taylor Swift,Anti-Hero,0V3wPSX9ygBnCm8psDIegu,92,2022,pop,0.637,0.643,4,-6.571,1,0.0519,0.13,1.8e-06,0.142,0.533,97.008,200690,4,145396321.0,100.0,https://i.scdn.co/image/ab6761610000e5ebe2e8e7ff002a4afda1c7147e,False,79.0,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,Midnights,2022-10-21
72,Taylor Swift,Lavender Haze,5jQI2r1RdgtuT8S3iG8zFC,86,2022,pop,0.733,0.436,10,-10.489,1,0.08,0.258,0.000573,0.157,0.0976,96.985,202396,4,145396321.0,100.0,https://i.scdn.co/image/ab6761610000e5ebe2e8e7ff002a4afda1c7147e,True,72.0,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,Midnights,2022-10-21
104,Taylor Swift,Don’t Blame Me,1R0a2iXumgCiFb7HEZ7gUE,85,2017,pop,0.615,0.534,9,-6.719,0,0.0386,0.106,1.76e-05,0.0607,0.193,135.917,236413,4,145396321.0,100.0,https://i.scdn.co/image/ab6761610000e5ebe2e8e7ff002a4afda1c7147e,False,82.0,https://i.scdn.co/image/ab67616d0000b273da5d5aeeabacacc1263c0f4b,reputation,2017-11-10
111,Taylor Swift,cardigan,4R2kfaDFhslZEMJqAFNpdd,84,2020,pop,0.613,0.581,0,-8.588,0,0.0424,0.537,0.000345,0.25,0.551,130.033,239560,4,145396321.0,100.0,https://i.scdn.co/image/ab6761610000e5ebe2e8e7ff002a4afda1c7147e,False,86.0,https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc,folklore,2020-07-24
156,Taylor Swift,Cruel Summer,1BxfuPKGuaTgP7aM0Bbdwr,83,2019,pop,0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994,178427,4,145396321.0,100.0,https://i.scdn.co/image/ab6761610000e5ebe2e8e7ff002a4afda1c7147e,False,87.0,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,Lover,2019-08-23
164,Taylor Swift,Midnight Rain,3rWDp9tBPQR9z6U5YyRSK4,83,2022,pop,0.643,0.363,0,-11.738,1,0.0767,0.69,5.17e-05,0.115,0.23,139.865,174783,4,145396321.0,100.0,https://i.scdn.co/image/ab6761610000e5ebe2e8e7ff002a4afda1c7147e,False,73.0,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,Midnights,2022-10-21
166,Taylor Swift,Lover,1dGr1c8CrMLDpV6mPbImSI,83,2019,pop,0.359,0.543,7,-7.582,1,0.0919,0.492,1.58e-05,0.118,0.453,68.534,221307,4,145396321.0,100.0,https://i.scdn.co/image/ab6761610000e5ebe2e8e7ff002a4afda1c7147e,False,84.0,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,Lover,2019-08-23
188,Taylor Swift,All Of The Girls You Loved Before,4P9Q0GojKVXpRTJCaL3kyy,82,2019,pop,0.718,0.467,2,-9.66,1,0.0398,0.707,6.92e-05,0.126,0.396,95.96,221407,3,145396321.0,100.0,https://i.scdn.co/image/ab6761610000e5ebe2e8e7ff002a4afda1c7147e,False,71.0,https://i.scdn.co/image/ab67616d0000b2738481d8f15859aa5bae75ee17,All Of The Girls You Loved Before,2019-08-23
287,Taylor Swift,august,3hUxzQpSfdDqwM3ZTFQY0K,81,2020,pop,0.532,0.623,5,-9.208,1,0.0331,0.538,7.28e-05,0.0925,0.403,89.937,261923,4,145396321.0,100.0,https://i.scdn.co/image/ab6761610000e5ebe2e8e7ff002a4afda1c7147e,False,85.0,https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc,folklore,2020-07-24
365,Taylor Swift,"You're On Your Own, Kid",4D7BCuvgdJlYvlX5WlN54t,81,2022,pop,0.696,0.396,2,-10.289,1,0.0656,0.401,5.2e-06,0.125,0.38,120.041,194207,4,145396321.0,100.0,https://i.scdn.co/image/ab6761610000e5ebe2e8e7ff002a4afda1c7147e,False,79.0,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,Midnights,2022-10-21
370,Taylor Swift,Snow On The Beach (feat. Lana Del Rey),1wtOxkiel43cVs0Yux5Q4h,80,2022,pop,0.663,0.319,9,-13.481,1,0.0375,0.69,0.000993,0.117,0.193,109.957,256124,4,145396321.0,100.0,https://i.scdn.co/image/ab6761610000e5ebe2e8e7ff002a4afda1c7147e,True,67.0,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,Midnights,2022-10-21
437,Taylor Swift,Paper Rings,4y5bvROuBDPr5fuwXbIBZR,80,2019,pop,0.811,0.719,9,-6.553,1,0.0497,0.0129,1.36e-05,0.0742,0.865,103.979,222400,4,145396321.0,100.0,https://i.scdn.co/image/ab6761610000e5ebe2e8e7ff002a4afda1c7147e,False,76.0,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,Lover,2019-08-23
447,Taylor Swift,Karma,7KokYm8cMIXCsGVmUvKtqf,80,2022,pop,0.642,0.62,8,-7.091,1,0.0666,0.0734,0.0,0.483,0.0969,90.02,204852,4,145396321.0,100.0,https://i.scdn.co/image/ab6761610000e5ebe2e8e7ff002a4afda1c7147e,True,75.0,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,Midnights,2022-10-21
452,Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),5enxwA8aAbwZbf5qCHORXi,80,2021,pop,0.631,0.518,0,-8.771,1,0.0303,0.274,0.0,0.088,0.205,93.023,613027,4,145396321.0,100.0,https://i.scdn.co/image/ab6761610000e5ebe2e8e7ff002a4afda1c7147e,True,80.0,https://i.scdn.co/image/ab67616d0000b273318443aab3531a0558e79a4d,Red (Taylor's Version),2021-11-12
483,Taylor Swift,Wildest Dreams (Taylor's Version),1Ov37jtRQ2YNAe8HzfczkL,80,2021,pop,0.583,0.67,8,-7.289,1,0.0646,0.0374,0.0001,0.126,0.498,140.061,220433,4,145396321.0,100.0,https://i.scdn.co/image/ab6761610000e5ebe2e8e7ff002a4afda1c7147e,False,72.0,https://i.scdn.co/image/ab67616d0000b273eb10050f6fe8e2783a91a4b1,Wildest Dreams (Taylor's Version),2021-09-17
493,Taylor Swift,Bejeweled,3qoftcUZaUOncvIYjFSPdE,80,2022,pop,0.696,0.559,7,-9.19,1,0.0693,0.0618,5.58e-05,0.0887,0.433,163.999,194166,4,145396321.0,100.0,https://i.scdn.co/image/ab6761610000e5ebe2e8e7ff002a4afda1c7147e,False,73.0,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,Midnights,2022-10-21
547,Taylor Swift,Getaway Car,0VE4kBnHJUgtMf0dy6DRmW,79,2017,pop,0.562,0.689,2,-6.745,1,0.127,0.00465,2.23e-06,0.0888,0.351,172.054,233627,4,145396321.0,100.0,https://i.scdn.co/image/ab6761610000e5ebe2e8e7ff002a4afda1c7147e,False,80.0,https://i.scdn.co/image/ab67616d0000b273da5d5aeeabacacc1263c0f4b,reputation,2017-11-10
577,Taylor Swift,Maroon,3eX0NZfLtGzoLUxPNvRfqm,79,2022,pop,0.637,0.398,7,-8.294,1,0.0564,0.0573,1.03e-06,0.101,0.0374,108.075,218271,4,145396321.0,100.0,https://i.scdn.co/image/ab6761610000e5ebe2e8e7ff002a4afda1c7147e,True,75.0,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,Midnights,2022-10-21
598,Taylor Swift,You Belong With Me (Taylor’s Version),1qrpoAMXodY6895hGKoUpA,79,2021,pop,0.632,0.773,6,-4.856,1,0.0346,0.0623,0.0,0.0885,0.474,130.033,231124,4,145396321.0,100.0,https://i.scdn.co/image/ab6761610000e5ebe2e8e7ff002a4afda1c7147e,False,82.0,https://i.scdn.co/image/ab67616d0000b273a48964b5d9a3d6968ae3e0de,Fearless (Taylor's Version),2021-04-09
631,Taylor Swift,The Way I Loved You (Taylor’s Version),22bPsP2jCgbLUvh82U0Z3M,78,2021,pop,0.402,0.732,5,-4.665,1,0.0484,0.0033,0.0,0.108,0.472,161.032,243137,4,145396321.0,100.0,https://i.scdn.co/image/ab6761610000e5ebe2e8e7ff002a4afda1c7147e,False,76.0,https://i.scdn.co/image/ab67616d0000b273a48964b5d9a3d6968ae3e0de,Fearless (Taylor's Version),2021-04-09
651,Taylor Swift,The Great War,3UMrglJeju5yWyYIW6o99b,78,2022,pop,0.573,0.741,5,-8.987,1,0.0353,0.219,2.23e-05,0.0842,0.554,96.016,240356,4,145396321.0,100.0,https://i.scdn.co/image/ab6761610000e5ebe2e8e7ff002a4afda1c7147e,False,65.0,https://i.scdn.co/image/ab67616d0000b273e0b60c608586d88252b8fbc0,Midnights (3am Edition),2022-10-22
711,Taylor Swift,Delicate,6NFyWDv5CjfwuzoCkw47Xf,78,2017,pop,0.75,0.404,9,-10.178,0,0.0682,0.216,0.000357,0.0911,0.0499,95.045,232253,4,145396321.0,100.0,https://i.scdn.co/image/ab6761610000e5ebe2e8e7ff002a4afda1c7147e,False,81.0,https://i.scdn.co/image/ab67616d0000b273da5d5aeeabacacc1263c0f4b,reputation,2017-11-10
716,Taylor Swift,Look What You Made Me Do,1P17dC1amhFzptugyAO7Il,78,2017,pop,0.766,0.709,9,-6.471,0,0.123,0.204,1.41e-05,0.126,0.506,128.07,211853,4,145396321.0,100.0,https://i.scdn.co/image/ab6761610000e5ebe2e8e7ff002a4afda1c7147e,False,78.0,https://i.scdn.co/image/ab67616d0000b273da5d5aeeabacacc1263c0f4b,reputation,2017-11-10
