Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,followers,popularity_artist_2025,image_url_artist,explicit,song_popularity_2025,album_image_url,album_name,album_release_date
2,The Weeknd,Die For You - Remix,7oDd86yk8itslrA9HRP2ki,95,2023,pop,0.531,0.525,1,-6.5,0,0.0671,0.232,0.0,0.441,0.502,66.9,232857,4,112918137.0,93.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae,False,72.0,https://i.scdn.co/image/ab67616d0000b2738de12a274f6e1df6634f57ec,Die For You (Remix),2023-02-24
26,The Weeknd,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,90,2020,pop,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,200040,4,112918137.0,93.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae,False,89.0,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36,After Hours,2020-03-20
41,The Weeknd,I Was Never There,1cKHdTo9u0ZymJdPGSh6nq,88,2018,pop,0.323,0.737,10,-4.008,1,0.0338,0.142,0.000162,0.163,0.155,113.26,241067,4,112918137.0,93.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae,False,82.0,https://i.scdn.co/image/ab67616d0000b2731f6a2a40bb692936879db730,"My Dear Melancholy,",2018-03-30
46,The Weeknd,Save Your Tears,5QO79kh1waicV47BqGRL3g,87,2020,pop,0.68,0.826,0,-5.487,1,0.0309,0.0212,1.24e-05,0.543,0.644,118.051,215627,4,112918137.0,93.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae,True,86.0,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36,After Hours,2020-03-20
58,The Weeknd,Call Out My Name,09mEdoA6zrmBPgTEN5qXmN,87,2018,pop,0.461,0.593,1,-4.954,1,0.0356,0.17,0.0,0.307,0.175,134.17,228373,3,112918137.0,93.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae,False,85.0,https://i.scdn.co/image/ab67616d0000b2731f6a2a40bb692936879db730,"My Dear Melancholy,",2018-03-30
64,The Weeknd,The Hills,7fBv7CLKzipRk6EC6TWHOB,86,2015,pop,0.585,0.564,0,-7.063,0,0.0515,0.0671,0.0,0.135,0.137,113.003,242253,4,112918137.0,93.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae,True,86.0,https://i.scdn.co/image/ab67616d0000b2737fcead687e99583072cc217b,Beauty Behind The Madness,2015-08-28
102,The Weeknd,After Hours,2p8IUWQDrpjuFltbdgLOag,85,2020,pop,0.664,0.572,5,-6.099,0,0.0305,0.0811,0.00604,0.121,0.143,108.959,361027,4,112918137.0,93.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae,False,81.0,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36,After Hours,2020-03-20
117,The Weeknd,Is There Someone Else?,0mL82sxCRjrs3br407IdJh,84,2022,pop,0.702,0.586,9,-7.83,0,0.0313,0.0388,7.27e-05,0.156,0.608,134.951,199111,4,112918137.0,93.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae,False,81.0,https://i.scdn.co/image/ab67616d0000b2734ab2520c2c77a1d66b9ee21d,Dawn FM,2022-01-06
122,The Weeknd,Heartless,6bnF93Rx87YqUBLSgjiMU8,84,2020,pop,0.537,0.746,10,-5.507,0,0.15,0.0236,1.01e-06,0.156,0.252,170.062,198267,4,112918137.0,93.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae,True,78.0,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36,After Hours,2020-03-20
268,The Weeknd,Can't Feel My Face,22VdIZQfgXJea34mQxlt81,81,2015,pop,0.705,0.769,9,-5.526,0,0.0425,0.113,0.0,0.105,0.583,107.949,213520,4,112918137.0,93.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae,False,83.0,https://i.scdn.co/image/ab67616d0000b2737fcead687e99583072cc217b,Beauty Behind The Madness,2015-08-28
