Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,followers,popularity_artist_2025,image_url_artist,explicit,song_popularity_2025,album_image_url,album_name,album_release_date
77,XXXTENTACION,Revenge,5TXDeTFVRVY7Cvt0Dw4vWW,85,2017,emo,0.746,0.251,11,-16.169,0,0.259,0.782,0.00203,0.106,0.18,139.999,120027,4,51710210.0,83.0,https://i.scdn.co/image/ab6761610000e5ebf0c20db5ef6c6fbe5135d2e4,True,81.0,https://i.scdn.co/image/ab67616d0000b273203c89bd4391468eea4cc3f5,17,2017-08-25
150,XXXTENTACION,Hope,2ZRo7axmMPeSVUvDbGkJah,83,2018,emo,0.592,0.457,9,-6.081,0,0.0603,0.661,0.000331,0.146,0.225,146.04,110886,4,51710210.0,83.0,https://i.scdn.co/image/ab6761610000e5ebf0c20db5ef6c6fbe5135d2e4,True,81.0,https://i.scdn.co/image/ab67616d0000b273806c160566580d6335d1f16c,?,2018-03-16
260,XXXTENTACION,Everybody Dies In Their Nightmares,3GVkPk8mqxz0itaAriG1L7,82,2017,emo,0.734,0.57,7,-7.066,0,0.133,0.847,2.14e-05,0.112,0.689,129.953,95467,4,51710210.0,83.0,https://i.scdn.co/image/ab6761610000e5ebf0c20db5ef6c6fbe5135d2e4,True,77.0,https://i.scdn.co/image/ab67616d0000b273203c89bd4391468eea4cc3f5,17,2017-08-25
261,XXXTENTACION,Jocelyn Flores,7m9OqQk4RVRkw9JJdeAw96,82,2017,emo,0.872,0.391,0,-9.144,0,0.242,0.469,4.13e-06,0.297,0.437,134.021,119133,4,51710210.0,83.0,https://i.scdn.co/image/ab6761610000e5ebf0c20db5ef6c6fbe5135d2e4,True,78.0,https://i.scdn.co/image/ab67616d0000b273203c89bd4391468eea4cc3f5,17,2017-08-25
352,XXXTENTACION,SAD!,3ee8Jmje8o58CHK66QrVC2,81,2018,emo,0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,166606,4,51710210.0,83.0,https://i.scdn.co/image/ab6761610000e5ebf0c20db5ef6c6fbe5135d2e4,True,79.0,https://i.scdn.co/image/ab67616d0000b273806c160566580d6335d1f16c,?,2018-03-16
353,XXXTENTACION,Moonlight,0JP9xo3adEtGSdUEISiszL,81,2018,emo,0.921,0.537,9,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,128.009,135090,4,51710210.0,83.0,https://i.scdn.co/image/ab6761610000e5ebf0c20db5ef6c6fbe5135d2e4,True,82.0,https://i.scdn.co/image/ab67616d0000b273806c160566580d6335d1f16c,?,2018-03-16
413,XXXTENTACION,Look At Me!,7floNISpH8VF4z4459Qo18,80,2017,emo,0.763,0.726,1,-6.405,1,0.282,0.259,0.0,0.0976,0.349,139.059,126346,4,51710210.0,83.0,https://i.scdn.co/image/ab6761610000e5ebf0c20db5ef6c6fbe5135d2e4,True,76.0,https://i.scdn.co/image/ab67616d0000b27371af28545729f60b3eca66f7,Look At Me!,2017-02-20
424,XXXTENTACION,Fuck Love (feat. Trippie Redd),7AQim7LbvFVZJE3O8TYgf2,80,2017,emo,0.797,0.533,0,-9.74,0,0.0412,0.0172,0.000152,0.103,0.329,131.036,146520,4,51710210.0,83.0,https://i.scdn.co/image/ab6761610000e5ebf0c20db5ef6c6fbe5135d2e4,True,82.0,https://i.scdn.co/image/ab67616d0000b273203c89bd4391468eea4cc3f5,17,2017-08-25
926,XXXTENTACION,changes,7AFASza1mXqntmGtbxXprO,77,2018,emo,0.669,0.308,11,-10.068,1,0.029,0.883,0.0,0.0984,0.52,64.934,121887,4,51710210.0,83.0,https://i.scdn.co/image/ab6761610000e5ebf0c20db5ef6c6fbe5135d2e4,False,73.0,https://i.scdn.co/image/ab67616d0000b273806c160566580d6335d1f16c,?,2018-03-16
943,XXXTENTACION,the remedy for a broken heart (why am I so in love),4UKCKdYiLN6IMA5ZESUTL7,76,2018,emo,0.699,0.304,1,-11.192,1,0.0993,0.779,0.000993,0.137,0.271,119.705,160184,4,51710210.0,83.0,https://i.scdn.co/image/ab6761610000e5ebf0c20db5ef6c6fbe5135d2e4,True,72.0,https://i.scdn.co/image/ab67616d0000b273806c160566580d6335d1f16c,?,2018-03-16
