Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,song_popularity_2025,image_url_song,followers,popularity_artist_2025,image_url_artist
576,Beyoncé,Drunk in Love (feat. Jay-Z),6jG2YzhxptolDzLHTGLt7S,71,2014,dance,0.583,0.621,5,-6.902,0,0.0479,0.00972,0.00106,0.181,0.399,140.036,323480,4,True,74,https://i.scdn.co/image/ab67616d0000b2730d1d6e9325275f104f8e33f3,41205513.0,84.0,https://i.scdn.co/image/ab6761610000e5eb7eaa373538359164b843f7c0
600,Beyoncé,Partition,5hgnY0mVcVetszbb85qeDg,69,2014,dance,0.418,0.441,11,-11.522,0,0.283,0.029,0.0707,0.306,0.172,175.928,319467,4,True,71,https://i.scdn.co/image/ab67616d0000b2730d1d6e9325275f104f8e33f3,41205513.0,84.0,https://i.scdn.co/image/ab6761610000e5eb7eaa373538359164b843f7c0
613,Beyoncé,7/11,02M6vucOvmRfMxTXDUwRXu,68,2014,dance,0.747,0.705,9,-5.137,0,0.126,0.0128,0.0,0.126,0.56,136.024,213507,4,False,70,https://i.scdn.co/image/ab67616d0000b2730d1d6e9325275f104f8e33f3,41205513.0,84.0,https://i.scdn.co/image/ab6761610000e5eb7eaa373538359164b843f7c0
696,Beyoncé,Drunk in Love Remix (feat. Jay-Z & Kanye West),0FZmAvivvifvtN3pZScbw1,65,2014,dance,0.508,0.763,8,-3.58,1,0.0516,0.16,0.0,0.118,0.476,139.653,395987,4,True,63,https://i.scdn.co/image/ab67616d0000b2730d1d6e9325275f104f8e33f3,41205513.0,84.0,https://i.scdn.co/image/ab6761610000e5eb7eaa373538359164b843f7c0
738,Beyoncé,Flawless Remix (feat. Nicki Minaj),0zVMzJ37VQNFUNvdxxat2E,64,2014,dance,0.64,0.659,8,-7.273,1,0.215,0.241,8.33e-06,0.484,0.457,136.804,234413,4,True,62,https://i.scdn.co/image/ab67616d0000b2730d1d6e9325275f104f8e33f3,41205513.0,84.0,https://i.scdn.co/image/ab6761610000e5eb7eaa373538359164b843f7c0
739,Beyoncé,XO,40xhyfAPDoMtv494MfPevP,64,2014,dance,0.47,0.793,0,-8.929,1,0.26,0.164,1.31e-06,0.313,0.216,170.1,215947,4,False,67,https://i.scdn.co/image/ab67616d0000b2730d1d6e9325275f104f8e33f3,41205513.0,84.0,https://i.scdn.co/image/ab6761610000e5eb7eaa373538359164b843f7c0
883,Beyoncé,Pretty Hurts,7lUA4P03AhwAw40JHkdyGr,61,2014,dance,0.512,0.624,11,-6.761,1,0.0509,0.00305,0.000172,0.346,0.2,129.932,257653,4,False,63,https://i.scdn.co/image/ab67616d0000b2730d1d6e9325275f104f8e33f3,41205513.0,84.0,https://i.scdn.co/image/ab6761610000e5eb7eaa373538359164b843f7c0
1582,Beyoncé,Formation,6g0Orsxv6glTJCt4cHsRsQ,71,2016,dance,0.896,0.621,5,-6.857,0,0.237,0.00532,0.0,0.196,0.818,121.966,206080,4,True,69,https://i.scdn.co/image/ab67616d0000b27389992f4d7d4ab94937bf9e23,41205513.0,84.0,https://i.scdn.co/image/ab6761610000e5eb7eaa373538359164b843f7c0
1716,Beyoncé,Sorry,0lnIJmgcUpEpe4AZACjayW,65,2016,dance,0.775,0.598,2,-7.274,1,0.0535,0.00175,4.44e-06,0.253,0.356,129.988,232560,4,True,64,https://i.scdn.co/image/ab67616d0000b27389992f4d7d4ab94937bf9e23,41205513.0,84.0,https://i.scdn.co/image/ab6761610000e5eb7eaa373538359164b843f7c0
1877,Beyoncé,All Night,7oAuqs6akGnPU3Tb00ZmyM,62,2016,dance,0.574,0.573,11,-7.079,1,0.085,0.392,2.16e-05,0.0933,0.626,136.304,322000,4,False,78,https://i.scdn.co/image/ab67616d0000b27389992f4d7d4ab94937bf9e23,41205513.0,84.0,https://i.scdn.co/image/ab6761610000e5eb7eaa373538359164b843f7c0
1879,Beyoncé,6 Inch (feat. The Weeknd),0pxNyJJiL2zZZ5GgJ4JhsQ,62,2016,dance,0.516,0.637,6,-8.832,1,0.0632,0.0433,3.89e-06,0.11,0.324,138.011,260440,4,True,61,https://i.scdn.co/image/ab67616d0000b27389992f4d7d4ab94937bf9e23,41205513.0,84.0,https://i.scdn.co/image/ab6761610000e5eb7eaa373538359164b843f7c0
