Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,song_popularity_2025,image_url_song,followers,popularity_artist_2025,image_url_artist
1570,Billie Eilish,Six Feet Under,2VlLbhGLVJgdOW7kKdWWFc,72,2016,electro,0.576,0.307,11,-12.732,0,0.0428,0.807,0.000355,0.0792,0.157,67.513,189613,4,False,73,https://i.scdn.co/image/ab67616d0000b273fae80fc6c7f60e75cfc519c7,118901772.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
1661,Billie Eilish,ocean eyes,2uIX8YMNjGMD7441kqyyNU,67,2016,electro,0.475,0.37,4,-7.725,0,0.0361,0.819,0.0577,0.0841,0.157,144.828,200560,4,False,83,https://i.scdn.co/image/ab67616d0000b2732cafcdd985630d72594ecc49,118901772.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
2016,Billie Eilish,Bored,04sN26COy28wTXYj3dMoiZ,82,2017,electro,0.614,0.318,7,-12.695,1,0.0478,0.896,0.00239,0.0795,0.112,119.959,180933,4,False,79,https://i.scdn.co/image/ab67616d0000b273e0f2af91be409aad81bba98c,118901772.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
2039,Billie Eilish,idontwannabeyouanymore,41zXlQxzTi6cGAjpOXyLYH,79,2017,electro,0.483,0.412,7,-8.461,1,0.0402,0.737,0.0,0.116,0.247,170.163,203569,3,False,78,https://i.scdn.co/image/ab67616d0000b273a9f6c04ba168640b48aa5795,118901772.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
2062,Billie Eilish,watch,7eB1V5LvAdxCc7brfGhRRo,77,2017,electro,0.441,0.599,0,-8.985,1,0.225,0.333,0.00198,0.103,0.35,165.212,177523,4,False,80,https://i.scdn.co/image/ab67616d0000b273a9f6c04ba168640b48aa5795,118901772.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
2071,Billie Eilish,bellyache,51NFxnQvaosfDDutk0tams,76,2017,electro,0.695,0.573,4,-8.597,0,0.106,0.46,0.0734,0.482,0.408,99.939,179172,4,False,77,https://i.scdn.co/image/ab67616d0000b2734adbeb26299adca766cec2c5,118901772.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
2168,Billie Eilish,my boy,1RGasjWLZ4qMN7wbtkLa3u,72,2017,electro,0.692,0.394,11,-8.745,0,0.207,0.472,0.000191,0.117,0.324,89.936,170852,4,False,71,https://i.scdn.co/image/ab67616d0000b273a9f6c04ba168640b48aa5795,118901772.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
2190,Billie Eilish,hostage,1WsEgieHsWWndAzLkmV105,72,2017,pop,0.427,0.123,9,-15.228,0,0.0497,0.868,3.12e-05,0.0732,0.0394,129.565,229426,5,False,75,https://i.scdn.co/image/ab67616d0000b273a9f6c04ba168640b48aa5795,118901772.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
2209,Billie Eilish,COPYCAT,5w7wuzMzsDer96KqxafeRK,71,2017,electro,0.679,0.388,4,-10.977,0,0.0932,0.353,9.25e-05,0.341,0.234,124.909,194711,4,False,71,https://i.scdn.co/image/ab67616d0000b273a9f6c04ba168640b48aa5795,118901772.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
2425,Billie Eilish,party favor,3WxmlTZ85sCYFnuIXmUAEe,66,2017,electro,0.826,0.188,0,-12.181,1,0.0883,0.882,2.83e-06,0.103,0.205,130.022,204770,4,False,67,https://i.scdn.co/image/ab67616d0000b273a9f6c04ba168640b48aa5795,118901772.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
2502,Billie Eilish,lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4,87,2018,pop,0.351,0.296,4,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.284,200186,4,False,87,https://i.scdn.co/image/ab67616d0000b2738a3f0a3ca7929dea23cd274c,118901772.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
2671,Billie Eilish,bitches broken hearts,5t3Vk8bRKylx4fjj7qlbib,72,2018,electro,0.778,0.422,0,-10.114,1,0.0482,0.921,0.00924,0.0958,0.187,120.033,176472,4,True,74,https://i.scdn.co/image/ab67616d0000b273408b5dbd24ad9f44bb1af72f,118901772.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
2976,Billie Eilish,come out and play,7wC5eZcFS1Q1BsQ35DU6H4,66,2018,electro,0.64,0.321,0,-14.604,1,0.0931,0.693,0.0307,0.114,0.177,145.045,210376,4,False,68,https://i.scdn.co/image/ab67616d0000b27348a98a5a97b2cc7963016888,118901772.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
3005,Billie Eilish,everything i wanted,3ZCTVFBt2Brf31RLEnCkWJ,83,2019,electro,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,245426,4,False,83,https://i.scdn.co/image/ab67616d0000b273f2248cf6dad1d6c062587249,118901772.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
3014,Billie Eilish,bad guy,2Fxmhks0bxGSBdJ92vM42m,81,2019,electro,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088,4,False,83,https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce,118901772.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
3017,Billie Eilish,when the party's over,43zdsphuZLzwA9k4DJhU0I,81,2019,pop,0.367,0.111,4,-14.084,1,0.0972,0.978,3.97e-05,0.0897,0.198,82.642,196077,4,False,85,https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce,118901772.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
3051,Billie Eilish,i love you,6CcJMwBtXByIz4zQLzFkKc,78,2019,pop,0.421,0.131,0,-18.435,1,0.0382,0.952,0.00453,0.109,0.12,137.446,291796,4,False,82,https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce,118901772.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
3099,Billie Eilish,you should see me in a crown,3XF5xLJHOQQRbWya6hBp7d,75,2019,electro,0.678,0.533,4,-10.485,1,0.186,0.462,0.219,0.139,0.323,150.455,180953,4,False,75,https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce,118901772.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
3105,Billie Eilish,listen before i go,0tMSssfxAL2oV8Vri0mFHE,75,2019,pop,0.319,0.0561,0,-23.023,1,0.045,0.935,0.00384,0.388,0.082,79.764,242652,3,False,76,https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce,118901772.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
3145,Billie Eilish,wish you were gay,3Fj47GNK2kUF0uaEDgXLaD,73,2019,electro,0.853,0.351,7,-10.198,1,0.241,0.39,9.38e-06,0.752,0.282,118.028,221543,4,False,73,https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce,118901772.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
3146,Billie Eilish,bury a friend,4SSnFejRGlZikf02HLewEF,73,2019,electro,0.905,0.389,8,-14.505,1,0.332,0.74,0.162,0.106,0.196,120.046,193143,4,False,75,https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce,118901772.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
3147,Billie Eilish,all the good girls go to hell,6IRdLKIyS4p7XNiP8r6rsx,73,2019,electro,0.726,0.444,8,-8.922,0,0.372,0.283,0.143,0.177,0.569,185.044,168840,4,False,73,https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce,118901772.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
3277,Billie Eilish,ilomilo,7qEKqBCD2vE5vIBsrUitpD,70,2019,pop,0.855,0.423,5,-15.044,0,0.0585,0.724,0.469,0.0896,0.572,120.02,156371,4,False,74,https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce,118901772.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
3335,Billie Eilish,xanny,4QIo4oxwzzafcBWkKjDpXY,69,2019,pop,0.521,0.125,9,-17.832,1,0.239,0.751,0.00207,0.265,0.0528,111.554,243725,4,False,70,https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce,118901772.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
3383,Billie Eilish,goodbye,3LgWsmilsrWXiPYQFRD0T7,68,2019,pop,0.153,0.138,6,-21.877,0,0.0503,0.837,0.55,0.254,0.0503,74.318,119410,3,False,67,https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce,118901772.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
3487,Billie Eilish,8,6X29iaaazwho3ab7GNue5r,66,2019,electro,0.735,0.235,3,-13.239,1,0.315,0.698,0.00604,0.107,0.462,62.446,173202,4,False,66,https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce,118901772.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
3579,Billie Eilish,No Time To Die,73SpzrcaHk0RQPFP73vqVR,75,2020,pop,0.38,0.219,4,-13.273,0,0.0358,0.917,0.0104,0.0827,0.0517,73.537,242265,4,False,76,https://i.scdn.co/image/ab67616d0000b273f7b7174bef6f3fbfda3a0bb7,118901772.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
3644,Billie Eilish,Therefore I Am,54bFM56PmE4YLRnqpW6Tha,72,2020,electro,0.889,0.34,11,-7.773,0,0.0697,0.218,0.13,0.055,0.716,94.009,174321,4,False,68,https://i.scdn.co/image/ab67616d0000b2737a152619a7b55bc621d07901,118901772.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
3773,Billie Eilish,my future,2ygvZOXrIeVL4xZmAWJT2C,69,2020,electro,0.444,0.309,8,-10.956,1,0.062,0.795,0.132,0.352,0.0875,104.745,208155,4,False,67,https://i.scdn.co/image/ab67616d0000b273954fe13f7c5f4b2f18d066b8,118901772.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
4011,Billie Eilish,Happier Than Ever,4RVwu0g32PAqgUiJoXsdF8,84,2021,pop,0.332,0.225,0,-8.697,1,0.0348,0.767,0.00349,0.128,0.297,81.055,298899,3,True,84,https://i.scdn.co/image/ab67616d0000b2732a038d3bf875d23e4aeaa84e,118901772.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
4065,Billie Eilish,Happier Than Ever - Edit,32BeYxKPrig1LefHsC0Xuo,78,2021,electro,0.334,0.599,0,-5.742,1,0.0365,0.0468,0.000392,0.205,0.127,161.74,151444,3,True,70,https://i.scdn.co/image/ab67616d0000b27331aa3ebe23f59778bff800c9,118901772.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
4167,Billie Eilish,Billie Bossa Nova,2KnuaZYoGzDoHiBTNYOTXG,73,2021,electro,0.895,0.389,7,-11.036,0,0.11,0.222,0.0346,0.105,0.549,110.023,196731,4,False,76,https://i.scdn.co/image/ab67616d0000b2732a038d3bf875d23e4aeaa84e,118901772.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
4168,Billie Eilish,Your Power,042Sl6Mn83JHyLEqdK7uI0,73,2021,electro,0.632,0.284,9,-14.025,0,0.0801,0.932,0.000476,0.233,0.208,129.642,245897,4,False,73,https://i.scdn.co/image/ab67616d0000b2732a038d3bf875d23e4aeaa84e,118901772.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
4169,Billie Eilish,NDA,38GBNKZUhfBkk3oNlWzRYd,73,2021,electro,0.765,0.373,8,-9.921,1,0.0713,0.341,0.525,0.112,0.554,85.016,195777,4,True,75,https://i.scdn.co/image/ab67616d0000b2732a038d3bf875d23e4aeaa84e,118901772.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
4185,Billie Eilish,Halley's Comet,5XsAal7ZcWg1I5T4NcRjkv,73,2021,pop,0.403,0.159,1,-16.728,0,0.104,0.961,0.0121,0.34,0.0381,72.38,234761,4,False,78,https://i.scdn.co/image/ab67616d0000b2732a038d3bf875d23e4aeaa84e,118901772.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
4246,Billie Eilish,I Didn't Change My Number,7bcy34fBT2ap1L4bfPsl9q,71,2021,electro,0.849,0.48,9,-5.835,1,0.226,0.612,0.269,0.295,0.677,142.021,158463,4,True,72,https://i.scdn.co/image/ab67616d0000b2732a038d3bf875d23e4aeaa84e,118901772.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
4367,Billie Eilish,Male Fantasy,4ak9GGe6afmi2HbxEjvhIC,69,2021,electro,0.687,0.288,2,-10.415,1,0.045,0.863,0.0,0.0986,0.308,110.927,194887,4,False,72,https://i.scdn.co/image/ab67616d0000b2732a038d3bf875d23e4aeaa84e,118901772.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
4368,Billie Eilish,Lost Cause,4191RXFPa7Ge9XkA4cWlna,69,2021,electro,0.526,0.334,10,-8.491,0,0.251,0.702,0.00782,0.0586,0.522,74.966,212496,4,True,69,https://i.scdn.co/image/ab67616d0000b2732a038d3bf875d23e4aeaa84e,118901772.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
4400,Billie Eilish,Getting Older,4HOryCnbme0zBnF8LWij3f,69,2021,pop,0.599,0.128,10,-17.261,1,0.109,0.974,0.121,0.115,0.367,159.679,244221,4,False,72,https://i.scdn.co/image/ab67616d0000b2732a038d3bf875d23e4aeaa84e,118901772.0,90.0,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
