Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,song_popularity_2025,image_url_song,followers,popularity_artist_2025,image_url_artist
572,Cartel De Santa,Si Te Vienen a Contar,1qNUhmx3rGjiMRThz7Eruv,72,2014,hip-hop,0.734,0.663,10,-6.279,1,0.309,0.341,0.0,0.649,0.845,166.846,219573,4,True,72,https://i.scdn.co/image/ab67616d0000b27386a61fa9352b4722862ccdf1,19506030.0,77.0,https://i.scdn.co/image/ab6761610000e5eb72d02b5f21c6364c3d1928d7
589,Cartel De Santa,Los Mensajes del Whatsapp,2MJVc9F85EPNiSfD1KKhC9,70,2014,hip-hop,0.813,0.783,1,-5.347,1,0.215,0.707,0.0,0.219,0.927,129.208,213480,4,True,70,https://i.scdn.co/image/ab67616d0000b27386a61fa9352b4722862ccdf1,19506030.0,77.0,https://i.scdn.co/image/ab6761610000e5eb72d02b5f21c6364c3d1928d7
647,Cartel De Santa,Es de Ley,6BtJgy7K98DgzCO8tRvEbw,67,2014,hip-hop,0.807,0.698,7,-4.555,1,0.217,0.64,0.0,0.0927,0.96,144.031,234200,4,True,68,https://i.scdn.co/image/ab67616d0000b27386a61fa9352b4722862ccdf1,19506030.0,77.0,https://i.scdn.co/image/ab6761610000e5eb72d02b5f21c6364c3d1928d7
677,Cartel De Santa,Suena Mamal***,3qTatqQ0vzzztgYdaQGEmV,66,2014,hip-hop,0.661,0.766,7,-4.263,1,0.194,0.0477,0.000229,0.624,0.722,164.791,285013,4,True,65,https://i.scdn.co/image/ab67616d0000b27386a61fa9352b4722862ccdf1,19506030.0,77.0,https://i.scdn.co/image/ab6761610000e5eb72d02b5f21c6364c3d1928d7
711,Cartel De Santa,A Ti Te da Besitos,5128c82TGs88ump3YwCBdc,65,2014,hip-hop,0.534,0.89,1,-4.787,1,0.245,0.245,0.0,0.278,0.956,84.466,194787,4,True,65,https://i.scdn.co/image/ab67616d0000b27386a61fa9352b4722862ccdf1,19506030.0,77.0,https://i.scdn.co/image/ab6761610000e5eb72d02b5f21c6364c3d1928d7
799,Cartel De Santa,Doctor Marihuana,4jzUIyAeosr1rNU9vlBDOv,63,2014,hip-hop,0.81,0.931,11,-3.596,1,0.0359,0.106,0.00561,0.0704,0.963,133.209,266467,4,True,64,https://i.scdn.co/image/ab67616d0000b27386a61fa9352b4722862ccdf1,19506030.0,77.0,https://i.scdn.co/image/ab6761610000e5eb72d02b5f21c6364c3d1928d7
952,Cartel De Santa,Para Cada Loco,0cPaCXKb22AW2iaTPHQ4qV,60,2014,hip-hop,0.742,0.811,8,-3.145,1,0.0912,0.227,6.67e-05,0.0582,0.927,174.036,214800,4,True,58,https://i.scdn.co/image/ab67616d0000b27386a61fa9352b4722862ccdf1,19506030.0,77.0,https://i.scdn.co/image/ab6761610000e5eb72d02b5f21c6364c3d1928d7
1560,Cartel De Santa,Leve,00jpfco62YfQj1BBYCCuKH,73,2016,hip-hop,0.663,0.802,0,-4.086,1,0.246,0.188,0.0,0.166,0.679,177.842,225240,4,True,71,https://i.scdn.co/image/ab67616d0000b2731c30988545dcde2ee3e1ed17,19506030.0,77.0,https://i.scdn.co/image/ab6761610000e5eb72d02b5f21c6364c3d1928d7
1599,Cartel De Santa,Culón Culito,2JNqLKnqJejNzrmRLNFNFL,70,2016,hip-hop,0.762,0.862,6,-3.706,1,0.0996,0.373,0.0,0.836,0.95,102.84,223560,4,True,68,https://i.scdn.co/image/ab67616d0000b2731c30988545dcde2ee3e1ed17,19506030.0,77.0,https://i.scdn.co/image/ab6761610000e5eb72d02b5f21c6364c3d1928d7
1749,Cartel De Santa,Mucha Marihuana,3FrQ1OJwWcusCyP5NS2bnD,65,2016,hip-hop,0.724,0.637,9,-4.721,0,0.0343,0.107,0.0,0.078,0.622,92.67,228827,4,True,65,https://i.scdn.co/image/ab67616d0000b2731c30988545dcde2ee3e1ed17,19506030.0,77.0,https://i.scdn.co/image/ab6761610000e5eb72d02b5f21c6364c3d1928d7
