Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,song_popularity_2025,image_url_song,followers,popularity_artist_2025,image_url_artist
611,Doja Cat,So High,1yvSMyZn27M4wEslpSvB0D,68,2014,dance,0.621,0.585,10,-5.632,0,0.0457,0.12,1.91e-06,0.05,0.668,132.004,199747,4,True,71,https://i.scdn.co/image/ab67616d0000b273de5205ea928d5dc91feee2f9,34790440.0,86.0,https://i.scdn.co/image/ab6761610000e5eb8a0644455ebfa7d3976f5101
2554,Doja Cat,Wine Pon You (feat. Konshens),2s4AcE9n80mSHl87lp4gIm,77,2018,dance,0.797,0.444,9,-7.738,0,0.0411,0.304,0.00126,0.107,0.138,95.035,219000,4,True,77,https://i.scdn.co/image/ab67616d0000b2730f4f19f09818756f25916e45,34790440.0,86.0,https://i.scdn.co/image/ab6761610000e5eb8a0644455ebfa7d3976f5101
2785,Doja Cat,Candy,1VJwtWR6z7SpZRwipI12be,69,2018,dance,0.689,0.516,8,-5.857,1,0.0444,0.513,0.0,0.163,0.209,124.876,190920,4,True,80,https://i.scdn.co/image/ab67616d0000b2730f4f19f09818756f25916e45,34790440.0,86.0,https://i.scdn.co/image/ab6761610000e5eb8a0644455ebfa7d3976f5101
3013,Doja Cat,Streets,60ynsPSSKe6O3sfwRnIBRf,81,2019,dance,0.749,0.463,11,-8.433,1,0.0842,0.21,0.0382,0.338,0.189,90.035,226987,4,True,83,https://i.scdn.co/image/ab67616d0000b273f14aa81116510d3a6df8432b,34790440.0,86.0,https://i.scdn.co/image/ab6761610000e5eb8a0644455ebfa7d3976f5101
3066,Doja Cat,Say So,3Dv1eDb0MEgF93GpLXlucZ,76,2019,dance,0.787,0.673,11,-4.583,0,0.159,0.264,3.35e-06,0.0904,0.779,110.962,237893,4,True,77,https://i.scdn.co/image/ab67616d0000b273f14aa81116510d3a6df8432b,34790440.0,86.0,https://i.scdn.co/image/ab6761610000e5eb8a0644455ebfa7d3976f5101
3116,Doja Cat,Rules,1TMWcbxL5YF8rKsFHv5hAP,74,2019,dance,0.651,0.724,7,-5.457,1,0.166,0.172,0.0,0.13,0.686,144.146,187040,4,True,71,https://i.scdn.co/image/ab67616d0000b273f14aa81116510d3a6df8432b,34790440.0,86.0,https://i.scdn.co/image/ab6761610000e5eb8a0644455ebfa7d3976f5101
3173,Doja Cat,Tia Tamera (feat. Rico Nasty),1uNePI826aqh9uC9pgbeHU,72,2019,dance,0.822,0.654,0,-4.623,1,0.132,0.019,0.0,0.233,0.421,119.884,211013,4,True,70,https://i.scdn.co/image/ab67616d0000b273e0c9d69f356c8b8a378a4d3c,34790440.0,86.0,https://i.scdn.co/image/ab6761610000e5eb8a0644455ebfa7d3976f5101
3174,Doja Cat,Like That (feat. Gucci Mane),4EivmOT13NMpNSfTKn9p4s,72,2019,dance,0.879,0.498,4,-6.027,0,0.18,0.239,0.0,0.0967,0.405,106.044,163173,4,True,71,https://i.scdn.co/image/ab67616d0000b273f14aa81116510d3a6df8432b,34790440.0,86.0,https://i.scdn.co/image/ab6761610000e5eb8a0644455ebfa7d3976f5101
3294,Doja Cat,Juicy,7f5trao56t7sB7f14QDTmp,69,2019,dance,0.785,0.652,0,-2.607,1,0.0668,0.102,0.0,0.0697,0.484,170.024,203093,4,True,68,https://i.scdn.co/image/ab67616d0000b273f14aa81116510d3a6df8432b,34790440.0,86.0,https://i.scdn.co/image/ab6761610000e5eb8a0644455ebfa7d3976f5101
3408,Doja Cat,Cyber Sex,1ghvzmzpx2nnrbx7wtpMgo,67,2019,dance,0.917,0.657,8,-5.716,1,0.0921,0.318,3.62e-06,0.0754,0.818,131.03,165733,4,True,65,https://i.scdn.co/image/ab67616d0000b273f14aa81116510d3a6df8432b,34790440.0,86.0,https://i.scdn.co/image/ab6761610000e5eb8a0644455ebfa7d3976f5101
3548,Doja Cat,Boss Bitch,78qd8dvwea0Gosb6Fe6j3k,77,2020,dance,0.707,0.955,10,-4.593,0,0.222,0.127,0.0,0.202,0.575,125.989,134240,4,False,74,https://i.scdn.co/image/ab67616d0000b27310356a0e81371e6644cb1371,34790440.0,86.0,https://i.scdn.co/image/ab6761610000e5eb8a0644455ebfa7d3976f5101
