Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,song_popularity_2025,image_url_song,followers,popularity_artist_2025,image_url_artist
73,Drake,"Hold On, We're Going Home",2aSC2xhRxOLiiZZVjhbylH,71,2013,hip-hop,0.777,0.414,6,-7.44,0,0.0946,0.00421,2.73e-05,0.0724,0.287,100.002,227880,4,False,73,https://i.scdn.co/image/ab67616d0000b273a90d170c61fb7d063d47161d,103219624.0,95.0,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9
99,Drake,0 To 100 / The Catch Up,4jtyUzZm9WLc2AdaJ1dso7,69,2013,hip-hop,0.559,0.716,11,-3.964,0,0.39,0.737,0.0,0.252,0.504,176.618,275227,4,True,68,https://i.scdn.co/image/ab67616d0000b2732b83df1b3ca78269f49fa89f,103219624.0,95.0,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9
116,Drake,From Time,0GaBIpyHvytM1UBYmqXu08,68,2013,hip-hop,0.739,0.491,1,-9.726,0,0.413,0.626,0.0,0.126,0.448,94.391,322160,4,True,67,https://i.scdn.co/image/ab67616d0000b273a90d170c61fb7d063d47161d,103219624.0,95.0,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9
185,Drake,Started From the Bottom,5DI9jxTHrEiFAhStG7VA8E,65,2013,hip-hop,0.793,0.524,8,-7.827,1,0.156,0.0319,0.0,0.156,0.579,86.325,174133,4,True,63,https://i.scdn.co/image/ab67616d0000b273a90d170c61fb7d063d47161d,103219624.0,95.0,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9
214,Drake,All Me,7y911sqgHGHcyU4ivapjwi,64,2013,hip-hop,0.67,0.515,1,-6.977,1,0.397,0.0705,0.0,0.25,0.422,122.006,270867,4,True,63,https://i.scdn.co/image/ab67616d0000b273a4dfa7122ec07fe3a1af22e7,103219624.0,95.0,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9
338,Drake,Come Thru,3eN46sMTppXYMAyWi37wn1,61,2013,hip-hop,0.558,0.468,3,-5.812,1,0.173,0.159,0.0,0.586,0.405,81.977,236360,4,True,66,https://i.scdn.co/image/ab67616d0000b273a4dfa7122ec07fe3a1af22e7,103219624.0,95.0,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9
339,Drake,Pound Cake / Paris Morton Music 2,4NVNapccSX7E5JLiW0uQEy,61,2013,hip-hop,0.52,0.761,2,-6.75,1,0.536,0.139,1.13e-05,0.114,0.264,164.083,432853,4,True,60,https://i.scdn.co/image/ab67616d0000b273a90d170c61fb7d063d47161d,103219624.0,95.0,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9
454,Drake,Too Much,6UgxOrbHWJeqHvh0ost7Aa,59,2013,hip-hop,0.681,0.569,6,-5.859,1,0.546,0.173,0.0,0.18,0.147,140.532,261853,4,True,61,https://i.scdn.co/image/ab67616d0000b273a90d170c61fb7d063d47161d,103219624.0,95.0,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9
1071,Drake,Jungle,7JXZq0JgG2zTrSOAgY8VMC,73,2015,hip-hop,0.697,0.235,7,-8.651,1,0.0534,0.62,0.000144,0.107,0.378,99.947,320400,4,True,74,https://i.scdn.co/image/ab67616d0000b2732090f4f6cc406e6d3c306733,103219624.0,95.0,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9
1122,Drake,Energy,79XrkTOfV1AqySNjVlygpW,70,2015,hip-hop,0.747,0.571,11,-7.916,1,0.478,0.38,0.0,0.534,0.553,172.104,181933,4,True,69,https://i.scdn.co/image/ab67616d0000b2732090f4f6cc406e6d3c306733,103219624.0,95.0,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9
