Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,song_popularity_2025,image_url_song,followers,popularity_artist_2025,image_url_artist
2014,Harry Styles,Sign of the Times,5Ohxk2dO5COHF1krpoPigN,83,2017,pop,0.516,0.595,5,-4.63,1,0.0313,0.0275,0.0,0.109,0.222,119.972,340707,4,False,85,https://i.scdn.co/image/ab67616d0000b2736c619c39c853f8b1d67b7859,34149182.0,80.0,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb
2095,Harry Styles,Kiwi,33SNO8AaciGbNaQFkxvPrW,75,2017,pop,0.375,0.93,2,-2.631,1,0.0561,0.00064,0.0,0.318,0.491,147.124,176387,4,False,68,https://i.scdn.co/image/ab67616d0000b2736c619c39c853f8b1d67b7859,34149182.0,80.0,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb
2127,Harry Styles,Sweet Creature,5kRPPEWFJIMox5qIkQkiz5,74,2017,pop,0.427,0.262,7,-8.541,1,0.0276,0.746,0.0,0.068,0.228,104.085,224867,4,False,70,https://i.scdn.co/image/ab67616d0000b2736c619c39c853f8b1d67b7859,34149182.0,80.0,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb
2258,Harry Styles,Two Ghosts,4B1rpPmQXwj78wk6aIGwwU,70,2017,pop,0.386,0.407,6,-7.095,0,0.0268,0.234,1.86e-06,0.0999,0.456,69.387,229813,4,False,66,https://i.scdn.co/image/ab67616d0000b2736c619c39c853f8b1d67b7859,34149182.0,80.0,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb
2259,Harry Styles,Woman,33bURv895AN4FkBvgFo2dx,70,2017,pop,0.624,0.647,3,-4.68,0,0.0335,0.0169,0.0038,0.221,0.379,136.022,278800,4,False,62,https://i.scdn.co/image/ab67616d0000b2736c619c39c853f8b1d67b7859,34149182.0,80.0,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb
2293,Harry Styles,Carolina,3Dwq1oiOFys6Sxr5SslmXw,69,2017,pop,0.624,0.673,4,-4.017,0,0.0268,0.000569,1.54e-06,0.104,0.458,121.986,189613,4,False,62,https://i.scdn.co/image/ab67616d0000b2736c619c39c853f8b1d67b7859,34149182.0,80.0,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb
2295,Harry Styles,Meet Me in the Hallway,4u9Y4Z9i9VaAbBK7rW1Rha,69,2017,pop,0.537,0.383,2,-6.528,1,0.0247,0.747,0.00025,0.356,0.339,104.252,227200,4,False,64,https://i.scdn.co/image/ab67616d0000b2736c619c39c853f8b1d67b7859,34149182.0,80.0,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb
2296,Harry Styles,Only Angel,5Lbsc65org0b85kNsPkluY,69,2017,pop,0.554,0.842,5,-4.113,1,0.0397,0.287,0.0,0.106,0.348,114.036,291080,4,False,63,https://i.scdn.co/image/ab67616d0000b2736c619c39c853f8b1d67b7859,34149182.0,80.0,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb
2297,Harry Styles,"Girl Crush - Recorded at Metropolis Studios, London",4YutJsNwBBInE8vemufpQ8,69,2017,pop,0.468,0.197,4,-11.727,1,0.033,0.658,0.0,0.109,0.249,144.212,243805,3,False,64,https://i.scdn.co/image/ab67616d0000b273828f29c88bf2b2ac07cfd3a7,34149182.0,80.0,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb
2342,Harry Styles,Ever Since New York,5LABCxgmP7DATATIJXOh6n,68,2017,pop,0.389,0.537,10,-6.761,1,0.0309,0.2,3.13e-06,0.125,0.383,127.964,253387,5,False,63,https://i.scdn.co/image/ab67616d0000b2736c619c39c853f8b1d67b7859,34149182.0,80.0,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb
3002,Harry Styles,Watermelon Sugar,6UelLqGlWMcVH1E5c4H7lY,87,2019,pop,0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,174000,4,False,82,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a,34149182.0,80.0,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb
3003,Harry Styles,Adore You,3jjujdWJ72nww5eGnfs2E7,84,2019,pop,0.676,0.771,8,-3.675,1,0.0483,0.0237,7e-06,0.102,0.569,99.048,207133,4,False,78,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a,34149182.0,80.0,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb
3012,Harry Styles,Falling,1ZMiCix7XSAbfAJlEZWMCp,82,2019,pop,0.567,0.267,4,-6.502,1,0.0299,0.839,1.46e-06,0.089,0.0592,110.011,240133,4,False,78,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a,34149182.0,80.0,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb
3028,Harry Styles,Golden,45S5WTQEGOB1VHr1Q4FuPl,80,2019,pop,0.448,0.838,4,-5.257,0,0.0557,0.21,0.000131,0.131,0.254,139.863,208907,4,False,73,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a,34149182.0,80.0,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb
3086,Harry Styles,Fine Line,6VzcQuzTNTMFnJ6rBSaLH9,76,2019,pop,0.306,0.347,2,-8.5,1,0.0334,0.172,0.00013,0.0485,0.0511,120.996,377960,4,False,76,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a,34149182.0,80.0,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb
3130,Harry Styles,Lights Up,4jAIqgrPjKLTY9Gbez25Qb,74,2019,pop,0.575,0.621,10,-8.165,0,0.032,0.0392,0.0045,0.141,0.27,101.987,172213,4,False,67,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a,34149182.0,80.0,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb
3195,Harry Styles,Cherry,2IOFZdYYkFxEHVz1w34PoL,72,2019,pop,0.53,0.512,7,-9.261,1,0.0259,0.615,0.00453,0.129,0.411,95.946,259187,4,False,71,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a,34149182.0,80.0,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb
3196,Harry Styles,She,6SQLk9HSNketfgs2AyIiMs,72,2019,pop,0.535,0.521,0,-5.942,1,0.0272,0.000532,0.371,0.19,0.457,140.026,362653,3,False,66,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a,34149182.0,80.0,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb
3238,Harry Styles,"Sunflower, Vol. 6",6iYMfxznTBlcVOgRHab2W0,71,2019,pop,0.566,0.846,7,-6.904,0,0.035,0.000564,0.000795,0.121,0.86,160.02,221827,4,False,64,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a,34149182.0,80.0,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb
3242,Harry Styles,Treat People With Kindness,03mMSLEJCPoGJwQhHpN5y0,71,2019,pop,0.653,0.869,5,-3.725,1,0.0382,0.128,2.2e-05,0.046,0.697,122.017,197347,4,False,60,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a,34149182.0,80.0,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb
