Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,song_popularity_2025,image_url_song,followers,popularity_artist_2025,image_url_artist
916,Imagine Dragons,I’m So Sorry,4o74y4XY1ypNZkZtZkK8Wi,61,2014,rock,0.524,0.679,2,-6.01,0,0.0565,0.131,0.0,0.201,0.37,142.588,230200,4,False,62,https://i.scdn.co/image/ab67616d0000b2736a6a889eef62af7b190ec713,58404429.0,85.0,https://i.scdn.co/image/ab6761610000e5ebab47d8dae2b24f5afe7f9d38
973,Imagine Dragons,I Bet My Life,15DrrIod12Tc2IoMaHiwlQ,60,2014,rock,0.553,0.657,1,-8.219,1,0.0405,0.335,0.000648,0.228,0.555,107.889,192707,4,False,58,https://i.scdn.co/image/ab67616d0000b2736a6a889eef62af7b190ec713,58404429.0,85.0,https://i.scdn.co/image/ab6761610000e5ebab47d8dae2b24f5afe7f9d38
1229,Imagine Dragons,Warriors,1lgN0A2Vki2FTON5PYq42m,67,2015,rock,0.365,0.851,4,-6.238,0,0.065,0.0964,0.003,0.238,0.309,78.068,170067,4,False,64,https://i.scdn.co/image/ab67616d0000b2731551c93dfa33ea4f30ef4eea,58404429.0,85.0,https://i.scdn.co/image/ab6761610000e5ebab47d8dae2b24f5afe7f9d38
1420,Imagine Dragons,Roots,4GITtbZtRCQXhWLMXrWXHt,63,2015,rock,0.637,0.887,7,-5.444,0,0.227,0.707,0.00188,0.326,0.596,157.759,174507,4,False,63,https://i.scdn.co/image/ab67616d0000b273dab51e542681251e026302b9,58404429.0,85.0,https://i.scdn.co/image/ab6761610000e5ebab47d8dae2b24f5afe7f9d38
1493,Imagine Dragons,Blank Space/Stand By Me - Live From Spotify London,3Dbgo1HE3DErIBNDIO4Hyd,62,2015,rock,0.774,0.553,9,-6.815,1,0.0823,0.379,0.0,0.739,0.514,102.055,303434,4,False,64,https://i.scdn.co/image/ab67616d0000b273d934d10b3cdbe79852c87f69,58404429.0,85.0,https://i.scdn.co/image/ab6761610000e5ebab47d8dae2b24f5afe7f9d38
2003,Imagine Dragons,Believer,0pqnGHJpmpxLKifKRmU6WP,86,2017,rock,0.776,0.78,10,-4.374,0,0.128,0.0622,0.0,0.081,0.666,124.949,204347,4,False,87,https://i.scdn.co/image/ab67616d0000b2735675e83f707f1d7271e5cf8a,58404429.0,85.0,https://i.scdn.co/image/ab6761610000e5ebab47d8dae2b24f5afe7f9d38
2015,Imagine Dragons,Thunder,1zB4vmk8tFRmM9UULNzbLB,83,2017,rock,0.605,0.822,0,-4.833,1,0.0438,0.00671,0.134,0.147,0.288,167.997,187147,4,False,84,https://i.scdn.co/image/ab67616d0000b2735675e83f707f1d7271e5cf8a,58404429.0,85.0,https://i.scdn.co/image/ab6761610000e5ebab47d8dae2b24f5afe7f9d38
2034,Imagine Dragons,Whatever It Takes,6Qn5zhYkTa37e91HC1D7lb,80,2017,rock,0.672,0.655,10,-5.021,0,0.0311,0.0362,0.0,0.117,0.556,134.945,201240,4,False,83,https://i.scdn.co/image/ab67616d0000b2735675e83f707f1d7271e5cf8a,58404429.0,85.0,https://i.scdn.co/image/ab6761610000e5ebab47d8dae2b24f5afe7f9d38
2355,Imagine Dragons,Walking The Wire,1y3bE5i57eUm3hfLAc7h08,68,2017,rock,0.54,0.761,4,-5.339,1,0.0372,0.0163,0.0,0.0941,0.147,100.008,232907,4,False,72,https://i.scdn.co/image/ab67616d0000b2735675e83f707f1d7271e5cf8a,58404429.0,85.0,https://i.scdn.co/image/ab6761610000e5ebab47d8dae2b24f5afe7f9d38
2356,Imagine Dragons,Next To Me,31VOknKjFrEX47bZXzqcoF,68,2017,rock,0.301,0.672,2,-4.497,1,0.0623,0.28,3.1e-05,0.0609,0.384,169.497,230289,3,False,73,https://i.scdn.co/image/ab67616d0000b2735675e83f707f1d7271e5cf8a,58404429.0,85.0,https://i.scdn.co/image/ab6761610000e5ebab47d8dae2b24f5afe7f9d38
2468,Imagine Dragons,Rise Up,3zT2616WcD9Df5m21OsCX0,66,2017,rock,0.447,0.74,3,-6.607,1,0.0475,0.0122,0.000228,0.0958,0.102,93.759,231720,4,False,67,https://i.scdn.co/image/ab67616d0000b2735675e83f707f1d7271e5cf8a,58404429.0,85.0,https://i.scdn.co/image/ab6761610000e5ebab47d8dae2b24f5afe7f9d38
2532,Imagine Dragons,Natural,2FY7b99s15jUprqC0M5NCT,80,2018,rock,0.704,0.611,2,-6.112,1,0.0409,0.217,0.0,0.0812,0.22,100.0,189467,4,False,81,https://i.scdn.co/image/ab67616d0000b273da6f73a25f4c79d0e6b4a8bd,58404429.0,85.0,https://i.scdn.co/image/ab6761610000e5ebab47d8dae2b24f5afe7f9d38
2550,Imagine Dragons,Bad Liar,2RSHsoi04658QL5xgQVov3,78,2018,rock,0.383,0.637,3,-6.993,1,0.0703,0.0722,0.0,0.368,0.0827,177.913,260773,4,False,81,https://i.scdn.co/image/ab67616d0000b273da6f73a25f4c79d0e6b4a8bd,58404429.0,85.0,https://i.scdn.co/image/ab6761610000e5ebab47d8dae2b24f5afe7f9d38
2774,Imagine Dragons,Birds,6Tvzf3VEi16JMhAgOwdt2y,70,2018,rock,0.649,0.517,1,-7.428,0,0.0297,0.0146,1.63e-06,0.145,0.35,119.997,219440,4,False,74,https://i.scdn.co/image/ab67616d0000b273da6f73a25f4c79d0e6b4a8bd,58404429.0,85.0,https://i.scdn.co/image/ab6761610000e5ebab47d8dae2b24f5afe7f9d38
