Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,song_popularity_2025,image_url_song,followers,popularity_artist_2025,image_url_artist
17,J. Cole,She Knows (feat. Amber Coffman & Cults),0Fs9cdPDhptWEDJmiCbkEW,78,2013,hip-hop,0.766,0.74,1,-10.363,1,0.0807,0.0193,0.0784,0.229,0.183,118.008,296520,4,True,73,https://i.scdn.co/image/ab67616d0000b273c1bb124f993488cf21b269fc,27095108.0,82.0,https://i.scdn.co/image/ab6761610000e5eb4b053c29fd4b317ff825f0dc
38,J. Cole,Power Trip (feat. Miguel),2uwnP6tZVVmTovzX5ELooy,76,2013,hip-hop,0.667,0.608,1,-7.054,1,0.216,0.324,0.000198,0.426,0.475,99.992,241160,4,True,79,https://i.scdn.co/image/ab67616d0000b273c1bb124f993488cf21b269fc,27095108.0,82.0,https://i.scdn.co/image/ab6761610000e5eb4b053c29fd4b317ff825f0dc
97,J. Cole,Crooked Smile (feat. TLC),5gFoAVTN9YlM9uJCrFZtgl,69,2013,hip-hop,0.606,0.784,7,-6.293,1,0.268,0.435,0.0,0.689,0.48,80.985,278573,4,True,67,https://i.scdn.co/image/ab67616d0000b273c1bb124f993488cf21b269fc,27095108.0,82.0,https://i.scdn.co/image/ab6761610000e5eb4b053c29fd4b317ff825f0dc
151,J. Cole,Forbidden Fruit (feat. Kendrick Lamar),1mvDFqbbmgmMmU6U4dIq5m,66,2013,hip-hop,0.84,0.504,1,-9.354,1,0.383,0.546,0.00131,0.211,0.406,110.027,268667,4,True,61,https://i.scdn.co/image/ab67616d0000b273c1bb124f993488cf21b269fc,27095108.0,82.0,https://i.scdn.co/image/ab6761610000e5eb4b053c29fd4b317ff825f0dc
215,J. Cole,Land Of The Snakes,0hW72l6tZgSY7Od2OUVDIC,64,2013,hip-hop,0.774,0.729,2,-7.806,1,0.293,0.228,0.0,0.257,0.475,104.009,254453,4,True,62,https://i.scdn.co/image/ab67616d0000b273c1bb124f993488cf21b269fc,27095108.0,82.0,https://i.scdn.co/image/ab6761610000e5eb4b053c29fd4b317ff825f0dc
300,J. Cole,Rich Niggaz,6lKCaafKm88sVfYz2u7S4B,62,2013,hip-hop,0.586,0.717,8,-8.546,0,0.196,0.472,0.00239,0.104,0.306,125.014,276093,4,True,62,https://i.scdn.co/image/ab67616d0000b273c1bb124f993488cf21b269fc,27095108.0,82.0,https://i.scdn.co/image/ab6761610000e5eb4b053c29fd4b317ff825f0dc
398,J. Cole,Sparks Will Fly (feat. Jhené Aiko),5fBoh0hqi7shM8a8nfPnDB,60,2013,hip-hop,0.502,0.821,1,-6.904,0,0.23,0.0674,0.0,0.15,0.683,122.835,252053,5,True,61,https://i.scdn.co/image/ab67616d0000b273c1bb124f993488cf21b269fc,27095108.0,82.0,https://i.scdn.co/image/ab6761610000e5eb4b053c29fd4b317ff825f0dc
500,J. Cole,No Role Modelz,68Dni7IE4VyPkTOH9mRWHr,87,2014,hip-hop,0.69,0.521,10,-8.492,0,0.339,0.324,0.0,0.0534,0.494,100.028,292799,4,True,85,https://i.scdn.co/image/ab67616d0000b273c6e0948bbb0681ff29cdbae8,27095108.0,82.0,https://i.scdn.co/image/ab6761610000e5eb4b053c29fd4b317ff825f0dc
505,J. Cole,Wet Dreamz,4tqcoej1zPvwePZCzuAjJd,83,2014,hip-hop,0.495,0.722,6,-8.108,0,0.357,0.0697,0.0,0.113,0.539,175.627,239267,4,True,80,https://i.scdn.co/image/ab67616d0000b273c6e0948bbb0681ff29cdbae8,27095108.0,82.0,https://i.scdn.co/image/ab6761610000e5eb4b053c29fd4b317ff825f0dc
540,J. Cole,Love Yourz,2e3Ea0o24lReQFR4FA7yXH,75,2014,hip-hop,0.677,0.638,8,-8.631,1,0.333,0.589,0.0,0.193,0.435,82.81,211497,4,True,74,https://i.scdn.co/image/ab67616d0000b273c6e0948bbb0681ff29cdbae8,27095108.0,82.0,https://i.scdn.co/image/ab6761610000e5eb4b053c29fd4b317ff825f0dc
571,J. Cole,G.O.M.D,0Thqjtu54vKMP06pwZkAWp,72,2014,hip-hop,0.889,0.4,4,-10.586,0,0.26,0.322,1.32e-05,0.331,0.336,128.073,301064,4,True,69,https://i.scdn.co/image/ab67616d0000b273c6e0948bbb0681ff29cdbae8,27095108.0,82.0,https://i.scdn.co/image/ab6761610000e5eb4b053c29fd4b317ff825f0dc
602,J. Cole,Apparently,5O59s7bCgTFsXDXlWecyQ1,69,2014,hip-hop,0.802,0.544,5,-9.212,1,0.0686,0.605,0.0,0.102,0.57,133.992,292865,4,True,68,https://i.scdn.co/image/ab67616d0000b273c6e0948bbb0681ff29cdbae8,27095108.0,82.0,https://i.scdn.co/image/ab6761610000e5eb4b053c29fd4b317ff825f0dc
645,J. Cole,A Tale Of 2 Citiez,52A8OAP8lTQKZCj4Rce92B,67,2014,hip-hop,0.771,0.536,11,-8.534,1,0.323,0.553,1.05e-06,0.294,0.343,94.995,269721,4,True,64,https://i.scdn.co/image/ab67616d0000b273c6e0948bbb0681ff29cdbae8,27095108.0,82.0,https://i.scdn.co/image/ab6761610000e5eb4b053c29fd4b317ff825f0dc
675,J. Cole,January 28th,6LBpGdlukUARutol7VgWIS,66,2014,hip-hop,0.597,0.568,5,-8.559,1,0.342,0.242,0.0,0.0838,0.342,84.052,242698,4,True,66,https://i.scdn.co/image/ab67616d0000b273c6e0948bbb0681ff29cdbae8,27095108.0,82.0,https://i.scdn.co/image/ab6761610000e5eb4b053c29fd4b317ff825f0dc
707,J. Cole,Fire Squad,6sf35vqrEAN8fOFzrKmv9A,65,2014,hip-hop,0.551,0.755,11,-7.053,1,0.419,0.279,0.0,0.508,0.574,175.895,288123,4,True,63,https://i.scdn.co/image/ab67616d0000b273c6e0948bbb0681ff29cdbae8,27095108.0,82.0,https://i.scdn.co/image/ab6761610000e5eb4b053c29fd4b317ff825f0dc
795,J. Cole,03’ Adolescence,11qa6plS660rrrkf6VJ3cX,63,2014,hip-hop,0.528,0.811,1,-6.181,1,0.59,0.395,0.0,0.274,0.26,70.58,264213,4,True,63,https://i.scdn.co/image/ab67616d0000b273c6e0948bbb0681ff29cdbae8,27095108.0,82.0,https://i.scdn.co/image/ab6761610000e5eb4b053c29fd4b317ff825f0dc
1555,J. Cole,Neighbors,0utlOiJy2weVl9WTkcEWHy,73,2016,hip-hop,0.898,0.283,6,-12.335,0,0.356,0.319,0.000383,0.11,0.469,138.97,216520,4,True,70,https://i.scdn.co/image/ab67616d0000b273f4ca75192df162f78a24023e,27095108.0,82.0,https://i.scdn.co/image/ab6761610000e5eb4b053c29fd4b317ff825f0dc
1596,J. Cole,Deja Vu,6I6NX6tjGsxFAsIfGzY9lJ,70,2016,hip-hop,0.657,0.421,9,-11.378,1,0.412,0.352,0.000218,0.187,0.181,174.063,264747,4,True,67,https://i.scdn.co/image/ab67616d0000b273f4ca75192df162f78a24023e,27095108.0,82.0,https://i.scdn.co/image/ab6761610000e5eb4b053c29fd4b317ff825f0dc
1670,J. Cole,4 Your Eyez Only,1vvnYpYEMVB4aq9I6tHIEB,67,2016,hip-hop,0.701,0.485,11,-10.305,0,0.364,0.367,6.31e-05,0.0852,0.496,78.863,530253,4,True,64,https://i.scdn.co/image/ab67616d0000b273f4ca75192df162f78a24023e,27095108.0,82.0,https://i.scdn.co/image/ab6761610000e5eb4b053c29fd4b317ff825f0dc
1698,J. Cole,Change,3pjUyVbFmM96tYhSaKJwTt,66,2016,hip-hop,0.74,0.523,11,-10.753,0,0.233,0.666,0.00142,0.0968,0.235,97.063,331480,4,True,67,https://i.scdn.co/image/ab67616d0000b273f4ca75192df162f78a24023e,27095108.0,82.0,https://i.scdn.co/image/ab6761610000e5eb4b053c29fd4b317ff825f0dc
1786,J. Cole,Immortal,6AGON2BGdPmPMJGiiNuuwl,64,2016,hip-hop,0.744,0.43,3,-10.604,0,0.309,0.455,2.73e-06,0.126,0.266,92.039,201667,4,True,61,https://i.scdn.co/image/ab67616d0000b273f4ca75192df162f78a24023e,27095108.0,82.0,https://i.scdn.co/image/ab6761610000e5eb4b053c29fd4b317ff825f0dc
1837,J. Cole,Ville Mentality,2z3joGXrdGL2iEjIKQTiN1,63,2016,hip-hop,0.87,0.386,7,-7.843,0,0.0684,0.745,0.00013,0.122,0.642,119.91,194347,3,True,60,https://i.scdn.co/image/ab67616d0000b273f4ca75192df162f78a24023e,27095108.0,82.0,https://i.scdn.co/image/ab6761610000e5eb4b053c29fd4b317ff825f0dc
1893,J. Cole,everybody dies,1wIQtB3UQ1TfjNMZZqO6eh,62,2016,hip-hop,0.779,0.694,9,-9.376,1,0.2,0.281,1.36e-05,0.109,0.569,82.861,161827,4,True,56,https://i.scdn.co/image/ab67616d0000b273584608cf669525dbdc2c8981,27095108.0,82.0,https://i.scdn.co/image/ab6761610000e5eb4b053c29fd4b317ff825f0dc
2639,J. Cole,Kevin’s Heart,6tZ3b7ik1QDXFAZlXib0YZ,73,2018,hip-hop,0.829,0.527,6,-6.644,0,0.367,0.482,0.0,0.631,0.475,116.079,200310,4,True,68,https://i.scdn.co/image/ab67616d0000b273cf0f0affd0138a7442f13706,27095108.0,82.0,https://i.scdn.co/image/ab6761610000e5eb4b053c29fd4b317ff825f0dc
2910,J. Cole,KOD,7yotKA30dwTKNEGomV9ZsI,67,2018,hip-hop,0.823,0.783,0,-6.274,1,0.154,0.21,0.0,0.113,0.199,141.882,191437,4,True,60,https://i.scdn.co/image/ab67616d0000b273cf0f0affd0138a7442f13706,27095108.0,82.0,https://i.scdn.co/image/ab6761610000e5eb4b053c29fd4b317ff825f0dc
3022,J. Cole,MIDDLE CHILD,2JvzF1RMd7lE3KmFlsyZD8,80,2019,hip-hop,0.837,0.364,8,-11.713,1,0.276,0.149,0.0,0.271,0.463,123.984,213594,4,True,76,https://i.scdn.co/image/ab67616d0000b2737f37a4001ae7d8be430bd91b,27095108.0,82.0,https://i.scdn.co/image/ab6761610000e5eb4b053c29fd4b317ff825f0dc
4078,J. Cole,m y . l i f e (with 21 Savage & Morray),1D3z6HTiQsNmZxjl7F7eoG,77,2021,hip-hop,0.597,0.587,7,-7.026,0,0.137,0.0622,0.0,0.214,0.0753,140.021,218802,4,True,71,https://i.scdn.co/image/ab67616d0000b27310e6745bb2f179dd3616b85f,27095108.0,82.0,https://i.scdn.co/image/ab6761610000e5eb4b053c29fd4b317ff825f0dc
4116,J. Cole,p r i d e . i s . t h e . d e v i l (with Lil Baby),5W8jRrZ6tWrTrqnKRtIQBf,75,2021,hip-hop,0.861,0.656,4,-7.867,0,0.425,0.104,0.0,0.0986,0.331,88.967,218210,4,True,67,https://i.scdn.co/image/ab67616d0000b27310e6745bb2f179dd3616b85f,27095108.0,82.0,https://i.scdn.co/image/ab6761610000e5eb4b053c29fd4b317ff825f0dc
4208,J. Cole,a m a r i,2cnKST6T9qUo2i907lm8zX,72,2021,hip-hop,0.725,0.713,4,-6.173,0,0.187,0.127,0.0,0.617,0.207,65.988,148421,4,True,64,https://i.scdn.co/image/ab67616d0000b27310e6745bb2f179dd3616b85f,27095108.0,82.0,https://i.scdn.co/image/ab6761610000e5eb4b053c29fd4b317ff825f0dc
4443,J. Cole,i n t e r l u d e,08LwMWf5Tcfsd752EPzFV0,68,2021,hip-hop,0.77,0.574,1,-5.525,1,0.106,0.0617,0.0,0.104,0.104,98.962,133022,3,True,58,https://i.scdn.co/image/ab67616d0000b27310e6745bb2f179dd3616b85f,27095108.0,82.0,https://i.scdn.co/image/ab6761610000e5eb4b053c29fd4b317ff825f0dc
