Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,song_popularity_2025,image_url_song,followers,popularity_artist_2025,image_url_artist
473,Justin Bieber,Nothing Like Us,30Co9eN7JHPf1i2wEyVSMJ,59,2013,pop,0.546,0.155,0,-14.378,1,0.0428,0.987,6.02e-05,0.18,0.512,72.331,199800,4,False,55,https://i.scdn.co/image/ab67616d0000b273892e9f9e3ad986310334a3d7,85092610.0,91.0,https://i.scdn.co/image/ab6761610000e5ebaf20f7db5288bce9beede034
556,Justin Bieber,Confident,3JsydWaf2Ev4ehaLUjj3SY,74,2014,pop,0.741,0.565,5,-5.448,0,0.108,0.114,0.0,0.205,0.892,134.122,248133,4,False,85,https://i.scdn.co/image/ab67616d0000b27358ae8fddecbd2630005409c9,85092610.0,91.0,https://i.scdn.co/image/ab6761610000e5ebaf20f7db5288bce9beede034
723,Justin Bieber,All That Matters,6CLVh9sekZ1p2G8Tfhhj8h,65,2014,pop,0.698,0.509,1,-5.798,1,0.0503,0.00535,0.0,0.0703,0.143,129.865,191173,4,False,72,https://i.scdn.co/image/ab67616d0000b27358ae8fddecbd2630005409c9,85092610.0,91.0,https://i.scdn.co/image/ab6761610000e5ebaf20f7db5288bce9beede034
1004,Justin Bieber,Love Yourself,50kpGaPAhYJ3sGmk6vplg0,82,2015,pop,0.609,0.378,4,-9.828,1,0.438,0.835,0.0,0.28,0.515,100.418,233720,4,False,85,https://i.scdn.co/image/ab67616d0000b273f46b9d202509a8f7384b90de,85092610.0,91.0,https://i.scdn.co/image/ab6761610000e5ebaf20f7db5288bce9beede034
1016,Justin Bieber,Sorry,09CtPGIpYB4BrO8qb1RGsF,80,2015,pop,0.654,0.76,0,-3.669,0,0.045,0.0797,0.0,0.299,0.41,99.945,200787,4,False,85,https://i.scdn.co/image/ab67616d0000b273f46b9d202509a8f7384b90de,85092610.0,91.0,https://i.scdn.co/image/ab6761610000e5ebaf20f7db5288bce9beede034
1036,Justin Bieber,What Do You Mean?,4B0JvthVoAAuygILe3n4Bs,77,2015,pop,0.845,0.567,5,-8.118,0,0.0956,0.59,0.00142,0.0811,0.793,125.02,205680,4,False,82,https://i.scdn.co/image/ab67616d0000b273f46b9d202509a8f7384b90de,85092610.0,91.0,https://i.scdn.co/image/ab6761610000e5ebaf20f7db5288bce9beede034
1188,Justin Bieber,Company,61uyGDPJ06MkxJtHgPmuyO,68,2015,pop,0.59,0.797,4,-4.901,0,0.0614,0.132,0.0,0.0846,0.425,94.948,208120,4,False,78,https://i.scdn.co/image/ab67616d0000b273f46b9d202509a8f7384b90de,85092610.0,91.0,https://i.scdn.co/image/ab6761610000e5ebaf20f7db5288bce9beede034
1317,Justin Bieber,Purpose,2IjyFRCRn8x1bEquOM3vxg,65,2015,pop,0.481,0.285,0,-10.848,1,0.0424,0.9,0.0,0.123,0.316,130.029,210160,4,False,62,https://i.scdn.co/image/ab67616d0000b273f46b9d202509a8f7384b90de,85092610.0,91.0,https://i.scdn.co/image/ab6761610000e5ebaf20f7db5288bce9beede034
2345,Justin Bieber,Friends (with BloodPop®),7iNIg7XDEaYECfWD5dJ9Va,68,2017,pop,0.743,0.735,8,-5.337,1,0.0382,0.00389,0.0,0.304,0.631,104.979,189467,4,False,68,https://i.scdn.co/image/ab67616d0000b2735e8213c6183630b7d1931bdf,85092610.0,91.0,https://i.scdn.co/image/ab6761610000e5ebaf20f7db5288bce9beede034
3607,Justin Bieber,Intentions (feat. Quavo),4umIPjkehX1r7uhmGvXiSV,74,2020,pop,0.806,0.546,9,-6.637,1,0.0575,0.3,0.0,0.102,0.874,147.986,212867,4,False,75,https://i.scdn.co/image/ab67616d0000b2737fe4a82a08c4f0decbeddbc6,85092610.0,91.0,https://i.scdn.co/image/ab6761610000e5ebaf20f7db5288bce9beede034
3740,Justin Bieber,Holy (feat. Chance The Rapper),5u1n1kITHCxxp8twBcZxWy,70,2020,pop,0.673,0.704,6,-8.056,1,0.36,0.196,0.0,0.0898,0.372,86.919,212093,4,False,66,https://i.scdn.co/image/ab67616d0000b273572c68f79b356c21202e248c,85092610.0,91.0,https://i.scdn.co/image/ab6761610000e5ebaf20f7db5288bce9beede034
3742,Justin Bieber,Intentions,364dI1bYnvamSnBJ8JcNzN,70,2020,pop,0.811,0.553,9,-6.644,1,0.0552,0.317,0.0,0.105,0.86,148.014,212869,4,False,68,https://i.scdn.co/image/ab67616d0000b27308e30ab6a058429303d75876,85092610.0,91.0,https://i.scdn.co/image/ab6761610000e5ebaf20f7db5288bce9beede034
3743,Justin Bieber,Lonely (with benny blanco),4y4spB9m0Q6026KfkAvy9Q,70,2020,pop,0.631,0.239,11,-7.071,0,0.0398,0.864,0.0,0.116,0.0927,79.859,149297,4,True,66,https://i.scdn.co/image/ab67616d0000b27383b22beb73e2014b20159685,85092610.0,91.0,https://i.scdn.co/image/ab6761610000e5ebaf20f7db5288bce9beede034
3876,Justin Bieber,Yummy,16wAOAZ2OkqoIDN7TpChjR,68,2020,pop,0.676,0.506,9,-6.652,0,0.0958,0.345,0.0,0.118,0.497,145.842,208520,4,False,67,https://i.scdn.co/image/ab67616d0000b2737fe4a82a08c4f0decbeddbc6,85092610.0,91.0,https://i.scdn.co/image/ab6761610000e5ebaf20f7db5288bce9beede034
4004,Justin Bieber,Ghost,6I3mqTwhRpn34SLVafSH7G,85,2021,pop,0.601,0.741,2,-5.569,1,0.0478,0.185,2.91e-05,0.415,0.441,153.96,153190,4,False,83,https://i.scdn.co/image/ab67616d0000b273e6f407c7f3a0ec98845e4431,85092610.0,91.0,https://i.scdn.co/image/ab6761610000e5ebaf20f7db5288bce9beede034
4026,Justin Bieber,Peaches (feat. Daniel Caesar & Giveon),4iJyoBOLtHqaGxP12qzhQI,82,2021,pop,0.677,0.696,0,-6.181,1,0.119,0.321,0.0,0.42,0.464,90.03,198082,4,True,80,https://i.scdn.co/image/ab67616d0000b273e6f407c7f3a0ec98845e4431,85092610.0,91.0,https://i.scdn.co/image/ab6761610000e5ebaf20f7db5288bce9beede034
4128,Justin Bieber,Off My Face,3T03rPwlL8NVk1yIaxeD8U,75,2021,pop,0.509,0.228,4,-8.68,1,0.0332,0.92,0.0,0.104,0.586,90.674,156468,4,False,71,https://i.scdn.co/image/ab67616d0000b273e6f407c7f3a0ec98845e4431,85092610.0,91.0,https://i.scdn.co/image/ab6761610000e5ebaf20f7db5288bce9beede034
