Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,song_popularity_2025,image_url_song,followers,popularity_artist_2025,image_url_artist
796,Kendrick Lamar,i,7wdzLe2Gsx1RGqbvYZHASz,63,2014,hip-hop,0.755,0.884,10,-5.296,0,0.0638,0.0208,2.97e-06,0.248,0.897,121.927,231933,4,True,67,https://i.scdn.co/image/ab67616d0000b2736d89f336fbfbdf2089701da0,44668581.0,89.0,https://i.scdn.co/image/ab6761610000e5eb39ba6dcd4355c03de0b50918
1018,Kendrick Lamar,Alright,3iVcZ5G6tvkXZkZKlMpIUs,79,2015,hip-hop,0.796,0.766,7,-5.974,1,0.238,0.0742,0.0,0.0827,0.558,110.034,219333,4,True,79,https://i.scdn.co/image/ab67616d0000b273cdb645498cd3d8a2db4d05e1,44668581.0,89.0,https://i.scdn.co/image/ab6761610000e5eb39ba6dcd4355c03de0b50918
1072,Kendrick Lamar,King Kunta,0N3W5peJUQtI4eyR6GJT5O,73,2015,hip-hop,0.884,0.657,6,-4.569,0,0.0977,0.00589,0.0,0.154,0.489,107.059,234693,4,True,72,https://i.scdn.co/image/ab67616d0000b273cdb645498cd3d8a2db4d05e1,44668581.0,89.0,https://i.scdn.co/image/ab6761610000e5eb39ba6dcd4355c03de0b50918
1174,Kendrick Lamar,Wesley's Theory,7Ks4VCY1wFebnOdJrM13t6,68,2015,hip-hop,0.509,0.787,7,-6.754,1,0.265,0.359,2.76e-05,0.26,0.507,114.449,287360,4,True,68,https://i.scdn.co/image/ab67616d0000b273cdb645498cd3d8a2db4d05e1,44668581.0,89.0,https://i.scdn.co/image/ab6761610000e5eb39ba6dcd4355c03de0b50918
1296,Kendrick Lamar,These Walls,7uWVT3UkCAZyANvv0bdyQn,65,2015,hip-hop,0.752,0.489,1,-5.233,1,0.137,0.11,3.57e-06,0.202,0.373,108.005,300973,4,True,64,https://i.scdn.co/image/ab67616d0000b273cdb645498cd3d8a2db4d05e1,44668581.0,89.0,https://i.scdn.co/image/ab6761610000e5eb39ba6dcd4355c03de0b50918
1456,Kendrick Lamar,u,1bxEpNR75Hq3T2oF9AZjt8,62,2015,hip-hop,0.406,0.798,11,-5.585,0,0.432,0.26,0.0,0.461,0.58,71.547,268493,4,True,59,https://i.scdn.co/image/ab67616d0000b273cdb645498cd3d8a2db4d05e1,44668581.0,89.0,https://i.scdn.co/image/ab6761610000e5eb39ba6dcd4355c03de0b50918
1743,Kendrick Lamar,untitled 02 | 06.23.2014.,3I0FBDc1c1BLNtXWKVjmFg,65,2016,hip-hop,0.667,0.508,5,-10.337,1,0.451,0.341,0.0,0.644,0.093,89.436,258827,3,True,63,https://i.scdn.co/image/ab67616d0000b2738c697f553a46006a5d8886b2,44668581.0,89.0,https://i.scdn.co/image/ab6761610000e5eb39ba6dcd4355c03de0b50918
1895,Kendrick Lamar,untitled 08 | 09.06.2014.,5bBUDJUfGcG7eFy3Bf4fXv,62,2016,hip-hop,0.85,0.524,11,-9.375,0,0.204,0.25,2.46e-06,0.114,0.686,120.004,235507,4,True,66,https://i.scdn.co/image/ab67616d0000b2738c697f553a46006a5d8886b2,44668581.0,89.0,https://i.scdn.co/image/ab6761610000e5eb39ba6dcd4355c03de0b50918
2012,Kendrick Lamar,HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,83,2017,hip-hop,0.908,0.621,1,-6.638,0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,177000,4,True,83,https://i.scdn.co/image/ab67616d0000b2738b52c6b9bc4e43d873869699,44668581.0,89.0,https://i.scdn.co/image/ab6761610000e5eb39ba6dcd4355c03de0b50918
2022,Kendrick Lamar,LOVE. FEAT. ZACARI.,6PGoSes0D9eUDeeAafB2As,81,2017,hip-hop,0.8,0.585,10,-7.343,1,0.0924,0.264,0.0,0.153,0.779,126.058,213400,4,False,82,https://i.scdn.co/image/ab67616d0000b2738b52c6b9bc4e43d873869699,44668581.0,89.0,https://i.scdn.co/image/ab6761610000e5eb39ba6dcd4355c03de0b50918
2023,Kendrick Lamar,PRIDE.,6IZvVAP7VPPnsGX6bvgkqg,81,2017,hip-hop,0.665,0.535,4,-7.056,0,0.0572,0.0786,1.68e-05,0.154,0.37,138.842,275253,4,True,81,https://i.scdn.co/image/ab67616d0000b2738b52c6b9bc4e43d873869699,44668581.0,89.0,https://i.scdn.co/image/ab6761610000e5eb39ba6dcd4355c03de0b50918
2051,Kendrick Lamar,DNA.,6HZILIRieu8S0iqY8kIKhj,78,2017,hip-hop,0.638,0.523,1,-6.664,1,0.357,0.00454,0.0,0.0842,0.422,139.913,185947,4,True,77,https://i.scdn.co/image/ab67616d0000b2738b52c6b9bc4e43d873869699,44668581.0,89.0,https://i.scdn.co/image/ab6761610000e5eb39ba6dcd4355c03de0b50918
2117,Kendrick Lamar,LOYALTY. FEAT. RIHANNA.,6SwRhMLwNqEi6alNPVG00n,74,2017,hip-hop,0.658,0.535,9,-8.983,0,0.0573,0.0265,0.0,0.2,0.419,110.684,227360,4,True,75,https://i.scdn.co/image/ab67616d0000b2738b52c6b9bc4e43d873869699,44668581.0,89.0,https://i.scdn.co/image/ab6761610000e5eb39ba6dcd4355c03de0b50918
2242,Kendrick Lamar,DUCKWORTH.,0y9uTzK9cNKSAEHnpeRG8C,70,2017,hip-hop,0.552,0.731,7,-6.873,1,0.615,0.0536,0.0,0.258,0.632,174.516,248613,4,True,70,https://i.scdn.co/image/ab67616d0000b2738b52c6b9bc4e43d873869699,44668581.0,89.0,https://i.scdn.co/image/ab6761610000e5eb39ba6dcd4355c03de0b50918
2243,Kendrick Lamar,ELEMENT.,1EaKU4dMbesXXd3BrLCtYG,70,2017,hip-hop,0.748,0.705,4,-4.547,0,0.485,0.204,0.0,0.246,0.483,189.891,208733,4,True,68,https://i.scdn.co/image/ab67616d0000b2738b52c6b9bc4e43d873869699,44668581.0,89.0,https://i.scdn.co/image/ab6761610000e5eb39ba6dcd4355c03de0b50918
2329,Kendrick Lamar,XXX. FEAT. U2.,4iYRa2btalAzPZoSYfROqF,68,2017,hip-hop,0.568,0.619,1,-6.899,1,0.414,0.138,1.67e-06,0.11,0.293,170.115,254200,4,True,67,https://i.scdn.co/image/ab67616d0000b2738b52c6b9bc4e43d873869699,44668581.0,89.0,https://i.scdn.co/image/ab6761610000e5eb39ba6dcd4355c03de0b50918
2381,Kendrick Lamar,FEEL.,2LTlO3NuNVN70lp2ZbVswF,67,2017,hip-hop,0.746,0.798,0,-8.382,1,0.349,0.137,0.0,0.139,0.553,109.968,214827,4,True,66,https://i.scdn.co/image/ab67616d0000b2738b52c6b9bc4e43d873869699,44668581.0,89.0,https://i.scdn.co/image/ab6761610000e5eb39ba6dcd4355c03de0b50918
2508,Kendrick Lamar,All The Stars (with SZA),3GCdLUSnKSMJhs4Tj6CV3s,83,2018,hip-hop,0.698,0.633,8,-4.946,1,0.0597,0.0605,0.000194,0.0926,0.552,96.924,232187,4,True,89,https://i.scdn.co/image/ab67616d0000b273c027ad28821777b00dcaa888,44668581.0,89.0,https://i.scdn.co/image/ab6761610000e5eb39ba6dcd4355c03de0b50918
4672,Kendrick Lamar,N95,0fX4oNGBWO3dSGUZcVdVV2,79,2022,hip-hop,0.79,0.67,1,-5.527,1,0.105,0.377,2.32e-06,0.119,0.408,139.956,195950,4,True,72,https://i.scdn.co/image/ab67616d0000b2732e02117d76426a08ac7c174f,44668581.0,89.0,https://i.scdn.co/image/ab6761610000e5eb39ba6dcd4355c03de0b50918
4730,Kendrick Lamar,Die Hard,2g6tReTlM2Akp41g0HaeXN,77,2022,hip-hop,0.775,0.736,1,-8.072,0,0.247,0.319,0.00116,0.127,0.362,100.988,239027,4,True,74,https://i.scdn.co/image/ab67616d0000b2732e02117d76426a08ac7c174f,44668581.0,89.0,https://i.scdn.co/image/ab6761610000e5eb39ba6dcd4355c03de0b50918
4775,Kendrick Lamar,Rich Spirit,1QPreu0BNOrUfEb8HTd2qG,76,2022,hip-hop,0.852,0.421,10,-9.153,0,0.208,0.428,2.28e-06,0.106,0.457,95.977,202285,4,True,71,https://i.scdn.co/image/ab67616d0000b2732e02117d76426a08ac7c174f,44668581.0,89.0,https://i.scdn.co/image/ab6761610000e5eb39ba6dcd4355c03de0b50918
4823,Kendrick Lamar,Count Me Out,6BU1RZexmvJcBjgagVVt3M,75,2022,hip-hop,0.776,0.431,4,-7.544,0,0.091,0.671,0.0,0.153,0.495,133.999,283642,4,True,76,https://i.scdn.co/image/ab67616d0000b2732e02117d76426a08ac7c174f,44668581.0,89.0,https://i.scdn.co/image/ab6761610000e5eb39ba6dcd4355c03de0b50918
4879,Kendrick Lamar,United In Grief,5Gt9bxniM1SxN61yRzRhXL,74,2022,hip-hop,0.529,0.845,8,-8.142,1,0.404,0.244,0.0,0.143,0.331,85.63,255378,3,True,74,https://i.scdn.co/image/ab67616d0000b2732e02117d76426a08ac7c174f,44668581.0,89.0,https://i.scdn.co/image/ab6761610000e5eb39ba6dcd4355c03de0b50918
4937,Kendrick Lamar,Father Time (feat. Sampha),28qA8y1sz0FTuSapsCxNOG,73,2022,hip-hop,0.514,0.779,10,-4.365,0,0.344,0.181,0.0,0.099,0.517,152.869,222497,4,True,68,https://i.scdn.co/image/ab67616d0000b2732e02117d76426a08ac7c174f,44668581.0,89.0,https://i.scdn.co/image/ab6761610000e5eb39ba6dcd4355c03de0b50918
