Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,song_popularity_2025,image_url_song,followers,popularity_artist_2025,image_url_artist
2010,Lil Baby,Freestyle,5BbdKBZO0TH0GhfxUfyhL9,83,2017,hip-hop,0.877,0.517,2,-5.426,0,0.0706,0.217,0.0,0.143,0.255,119.996,162053,4,True,77,https://i.scdn.co/image/ab67616d0000b2735067cc9332e2fdc69ea7b7a9,21680878.0,85.0,https://i.scdn.co/image/ab6761610000e5eb514da623c55dc9d2155705dd
2511,Lil Baby,Drip Too Hard (Lil Baby & Gunna),78QR3Wp35dqAhFEc2qAGjE,82,2018,hip-hop,0.897,0.662,1,-6.903,0,0.292,0.0852,0.0,0.534,0.389,112.511,145543,4,True,79,https://i.scdn.co/image/ab67616d0000b273ce159a3ba2096e13fa9d4b4c,21680878.0,85.0,https://i.scdn.co/image/ab6761610000e5eb514da623c55dc9d2155705dd
2522,Lil Baby,Pure Cocaine,577YBGuskWkVDCxZrLRB4v,81,2018,hip-hop,0.964,0.487,10,-6.071,0,0.421,0.00127,6.57e-06,0.115,0.107,127.05,154024,4,True,78,https://i.scdn.co/image/ab67616d0000b2737cb0c4f7761f6dd66aaca065,21680878.0,85.0,https://i.scdn.co/image/ab6761610000e5eb514da623c55dc9d2155705dd
2527,Lil Baby,Yes Indeed,6vN77lE9LK6HP2DewaN6HZ,80,2018,hip-hop,0.963,0.346,5,-9.309,0,0.53,0.0355,0.0,0.108,0.562,119.957,142273,4,True,75,https://i.scdn.co/image/ab67616d0000b2736cab41f8c84d6164976400d4,21680878.0,85.0,https://i.scdn.co/image/ab6761610000e5eb514da623c55dc9d2155705dd
2614,Lil Baby,Life Goes On,2bSk87AVkCIIC3Bcligq1z,74,2018,hip-hop,0.716,0.541,1,-7.909,1,0.149,0.0021,0.0,0.115,0.387,139.978,247055,4,True,74,https://i.scdn.co/image/ab67616d0000b2736cab41f8c84d6164976400d4,21680878.0,85.0,https://i.scdn.co/image/ab6761610000e5eb514da623c55dc9d2155705dd
2645,Lil Baby,Close Friends (Lil Baby & Gunna),5nzhL67GpF9szXWg5y509A,73,2018,hip-hop,0.676,0.578,10,-4.669,0,0.375,0.0509,0.0,0.0796,0.698,158.896,203881,4,True,73,https://i.scdn.co/image/ab67616d0000b273ce159a3ba2096e13fa9d4b4c,21680878.0,85.0,https://i.scdn.co/image/ab6761610000e5eb514da623c55dc9d2155705dd
2676,Lil Baby,Ready (feat. Gunna),4F6yN5FsFW10Ucx7cLCzBh,72,2018,hip-hop,0.793,0.395,1,-5.578,1,0.385,0.277,1.4e-05,0.109,0.129,77.027,213287,4,True,70,https://i.scdn.co/image/ab67616d0000b2737cb0c4f7761f6dd66aaca065,21680878.0,85.0,https://i.scdn.co/image/ab6761610000e5eb514da623c55dc9d2155705dd
2853,Lil Baby,"Never Recover (Lil Baby & Gunna, Drake)",6wWaVoUOzLQJHd3bWAUpdZ,68,2018,hip-hop,0.753,0.686,1,-5.415,0,0.284,0.0677,0.0,0.193,0.886,132.055,194732,4,True,72,https://i.scdn.co/image/ab67616d0000b273ce159a3ba2096e13fa9d4b4c,21680878.0,85.0,https://i.scdn.co/image/ab6761610000e5eb514da623c55dc9d2155705dd
3574,Lil Baby,On Me,4Iedi94TIaB2GGb1nMB68v,75,2020,hip-hop,0.856,0.564,6,-6.295,0,0.392,0.00327,0.0,0.134,0.483,77.972,135960,4,True,71,https://i.scdn.co/image/ab67616d0000b2738de3ce24866dcc8ffddbebac,21680878.0,85.0,https://i.scdn.co/image/ab6761610000e5eb514da623c55dc9d2155705dd
3650,Lil Baby,We Paid (feat. 42 Dugg),6gxKUmycQX7uyMwJcweFjp,72,2020,hip-hop,0.926,0.542,1,-5.064,1,0.293,0.135,0.0,0.0877,0.564,135.14,181929,4,True,72,https://i.scdn.co/image/ab67616d0000b27376a4577dd654bf457a4ad1f8,21680878.0,85.0,https://i.scdn.co/image/ab6761610000e5eb514da623c55dc9d2155705dd
