Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,song_popularity_2025,image_url_song,followers,popularity_artist_2025,image_url_artist
2048,Luke Combs,When It Rains It Pours,1mMLMZYXkMueg65jRRWG1l,78,2017,country,0.551,0.801,6,-5.069,1,0.0303,0.013,6.03e-06,0.265,0.625,128.027,240760,4,False,80,https://i.scdn.co/image/ab67616d0000b273b7578013decfa174e30dc298,13414530.0,83.0,https://i.scdn.co/image/ab6761610000e5eb584e28452f46640852c2aed4
2082,Luke Combs,Hurricane,6xHI9KjUjYT0FPtGO8Mxa1,75,2017,country,0.464,0.813,10,-6.185,1,0.0416,0.0153,0.0,0.254,0.515,75.977,222533,4,False,75,https://i.scdn.co/image/ab67616d0000b273b7578013decfa174e30dc298,13414530.0,83.0,https://i.scdn.co/image/ab6761610000e5eb584e28452f46640852c2aed4
2231,Luke Combs,One Number Away,4gB7HrYHbJVJ5RFOjxmoq4,70,2017,country,0.544,0.781,6,-6.16,0,0.0311,0.00585,0.0,0.191,0.527,144.075,221800,4,False,76,https://i.scdn.co/image/ab67616d0000b273b7578013decfa174e30dc298,13414530.0,83.0,https://i.scdn.co/image/ab6761610000e5eb584e28452f46640852c2aed4
2535,Luke Combs,Beautiful Crazy,2rxQMGVafnNaRaXlRMWPde,79,2018,country,0.551,0.402,11,-7.431,1,0.0262,0.676,0.0,0.0928,0.382,103.313,193200,4,False,78,https://i.scdn.co/image/ab67616d0000b273ccba76fad1c624c09e72bc78,13414530.0,83.0,https://i.scdn.co/image/ab6761610000e5eb584e28452f46640852c2aed4
2576,Luke Combs,She Got the Best of Me,698eQRku24PIYPQPHItKlA,76,2018,country,0.533,0.907,11,-3.793,1,0.0406,0.0292,0.0,0.386,0.7,150.99,183160,4,False,77,https://i.scdn.co/image/ab67616d0000b273ccba76fad1c624c09e72bc78,13414530.0,83.0,https://i.scdn.co/image/ab6761610000e5eb584e28452f46640852c2aed4
2781,Luke Combs,Dive - Recorded At Sound Stage Nashville,2VWBdFsDJVGlRTdz4PvYwy,69,2018,country,0.742,0.363,1,-8.188,1,0.0282,0.671,1.43e-06,0.145,0.351,130.921,260863,3,False,69,https://i.scdn.co/image/ab67616d0000b273cbcea9a401b5cf8fdb6fbff2,13414530.0,83.0,https://i.scdn.co/image/ab6761610000e5eb584e28452f46640852c2aed4
2838,Luke Combs,Must've Never Met You,6ojicjDYUUoeE1tdSvfFo4,68,2018,country,0.455,0.892,6,-3.218,1,0.0564,0.00951,0.0,0.143,0.641,75.218,198880,4,False,69,https://i.scdn.co/image/ab67616d0000b273ccba76fad1c624c09e72bc78,13414530.0,83.0,https://i.scdn.co/image/ab6761610000e5eb584e28452f46640852c2aed4
2894,Luke Combs,"Houston, We Got a Problem",6guWjUuNYziyNXgjFo1IpF,67,2018,country,0.521,0.762,9,-5.059,1,0.0362,0.0961,6.15e-06,0.395,0.486,143.866,191987,4,False,66,https://i.scdn.co/image/ab67616d0000b273ccba76fad1c624c09e72bc78,13414530.0,83.0,https://i.scdn.co/image/ab6761610000e5eb584e28452f46640852c2aed4
3065,Luke Combs,Beer Never Broke My Heart,7aEtlGHoiPAfRB084NiDmx,76,2019,country,0.538,0.863,1,-4.483,1,0.0481,0.0139,0.0,0.0874,0.637,77.001,186733,4,False,75,https://i.scdn.co/image/ab67616d0000b273429d8ec28f865acf2a927c2d,13414530.0,83.0,https://i.scdn.co/image/ab6761610000e5eb584e28452f46640852c2aed4
3171,Luke Combs,Better Together,6gdLyYNuhWBzqwlOFSsXC7,72,2019,country,0.552,0.225,0,-11.501,1,0.0477,0.827,0.0,0.111,0.67,138.002,219573,4,False,70,https://i.scdn.co/image/ab67616d0000b273429d8ec28f865acf2a927c2d,13414530.0,83.0,https://i.scdn.co/image/ab6761610000e5eb584e28452f46640852c2aed4
3250,Luke Combs,"1, 2 Many",226le7T3p82reYWzsi9Hsz,70,2019,country,0.54,0.821,6,-3.789,1,0.0873,0.0397,0.0,0.423,0.685,148.798,180907,4,False,69,https://i.scdn.co/image/ab67616d0000b273429d8ec28f865acf2a927c2d,13414530.0,83.0,https://i.scdn.co/image/ab6761610000e5eb584e28452f46640852c2aed4
3347,Luke Combs,Lovin' On You,0nYvjcSlCgjcwogQAwIwNp,68,2019,country,0.572,0.949,4,-4.865,1,0.06,0.00165,0.000195,0.163,0.53,118.974,194867,4,False,66,https://i.scdn.co/image/ab67616d0000b273429d8ec28f865acf2a927c2d,13414530.0,83.0,https://i.scdn.co/image/ab6761610000e5eb584e28452f46640852c2aed4
3348,Luke Combs,Even Though I'm Leaving,5Fhe63YOMZsGdB3CgCDuBi,68,2019,country,0.554,0.755,2,-6.04,1,0.0319,0.225,0.0,0.301,0.624,77.962,225253,4,False,67,https://i.scdn.co/image/ab67616d0000b273429d8ec28f865acf2a927c2d,13414530.0,83.0,https://i.scdn.co/image/ab6761610000e5eb584e28452f46640852c2aed4
3473,Luke Combs,Does To Me (feat. Eric Church),0nGXi46VcQQ56ZJR428MKS,66,2019,country,0.616,0.849,0,-4.897,1,0.0373,0.311,0.0,0.311,0.638,113.065,223320,4,False,66,https://i.scdn.co/image/ab67616d0000b273429d8ec28f865acf2a927c2d,13414530.0,83.0,https://i.scdn.co/image/ab6761610000e5eb584e28452f46640852c2aed4
3546,Luke Combs,Forever After All,6IBcOGPsniK3Pso1wHIhew,77,2020,country,0.487,0.65,0,-5.195,1,0.0253,0.191,0.0,0.0933,0.456,151.964,232533,4,False,79,https://i.scdn.co/image/ab67616d0000b273433fa8ed8901569b606a715e,13414530.0,83.0,https://i.scdn.co/image/ab6761610000e5eb584e28452f46640852c2aed4
3763,Luke Combs,Cold As You,7IWV29mryrqtO0JVgnPtfv,69,2020,country,0.598,0.846,6,-4.956,1,0.0355,0.0527,0.0,0.113,0.328,144.04,186107,4,False,64,https://i.scdn.co/image/ab67616d0000b273433fa8ed8901569b606a715e,13414530.0,83.0,https://i.scdn.co/image/ab6761610000e5eb584e28452f46640852c2aed4
4661,Luke Combs,The Kind of Love We Make,48UKTR66uUOT9LaUvooTNx,79,2022,country,0.608,0.745,1,-4.13,1,0.0277,0.0226,6.47e-06,0.0942,0.464,102.025,224427,4,False,74,https://i.scdn.co/image/ab67616d0000b27387459a563f92e336d282ca59,13414530.0,83.0,https://i.scdn.co/image/ab6761610000e5eb584e28452f46640852c2aed4
4719,Luke Combs,"Going, Going, Gone",67AdiJcurlf6gocGobfaXs,77,2022,country,0.565,0.56,6,-6.034,1,0.0275,0.538,0.0,0.0961,0.325,159.931,177267,4,False,72,https://i.scdn.co/image/ab67616d0000b27387459a563f92e336d282ca59,13414530.0,83.0,https://i.scdn.co/image/ab6761610000e5eb584e28452f46640852c2aed4
5036,Luke Combs,Love You Anyway,3qXsX3mYSsD1DmAvc3PE3N,81,2023,country,0.532,0.489,4,-7.419,1,0.0311,0.149,0.0,0.237,0.32,139.807,229627,4,False,57,https://i.scdn.co/image/ab67616d0000b27345ee9371b4c857c1aaaa0395,13414530.0,83.0,https://i.scdn.co/image/ab6761610000e5eb584e28452f46640852c2aed4
5122,Luke Combs,Growin' Up and Gettin' Old,6DdPacpAdYkxV8MCzsjaXu,75,2023,country,0.511,0.6,2,-5.699,1,0.0268,0.16,5.25e-06,0.114,0.269,146.051,233667,4,False,50,https://i.scdn.co/image/ab67616d0000b2738b3f92255e18a5a43dbcc2ae,13414530.0,83.0,https://i.scdn.co/image/ab6761610000e5eb584e28452f46640852c2aed4
5163,Luke Combs,Joe,5epEhWhXug9oAjJZVgIMVS,73,2023,country,0.583,0.658,2,-6.62,1,0.0296,0.0149,0.0,0.374,0.437,76.004,218533,4,False,44,https://i.scdn.co/image/ab67616d0000b2737415606a875bff4c13d774f3,13414530.0,83.0,https://i.scdn.co/image/ab6761610000e5eb584e28452f46640852c2aed4
5217,Luke Combs,5 Leaf Clover,2RbIoEQeXBoJzWt09eitEI,71,2023,country,0.423,0.58,1,-4.959,1,0.0243,0.0554,2.92e-06,0.168,0.336,82.755,211053,3,False,49,https://i.scdn.co/image/ab67616d0000b273148a5392633511040278ac03,13414530.0,83.0,https://i.scdn.co/image/ab6761610000e5eb584e28452f46640852c2aed4
