Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,song_popularity_2025,image_url_song,followers,popularity_artist_2025,image_url_artist
188,Mac Miller,Objects in the Mirror,64gyqTtDDel7B2NoEkOa0A,65,2013,hip-hop,0.645,0.658,1,-6.625,1,0.0532,0.623,2.02e-05,0.107,0.19,77.021,259144,4,True,0,https://i.scdn.co/image/ab67616d0000b273d4300bedba646965fa7e1953,12185343.0,81.0,https://i.scdn.co/image/ab6761610000e5ebed3b89aa602145fde71a163a
1049,Mac Miller,Weekend (feat. Miguel),6GnhWMhgJb7uyiiPEiEkDA,75,2015,hip-hop,0.843,0.435,8,-8.442,1,0.178,0.47,0.0,0.147,0.19,120.058,208080,4,True,75,https://i.scdn.co/image/ab67616d0000b273ee0f38410382a255e4fb15f4,12185343.0,81.0,https://i.scdn.co/image/ab6761610000e5ebed3b89aa602145fde71a163a
1293,Mac Miller,ROS,388jD8ko9cvFM9cd9TYDrl,65,2015,hip-hop,0.535,0.448,1,-8.919,0,0.175,0.601,0.0,0.376,0.284,120.554,343213,4,True,66,https://i.scdn.co/image/ab67616d0000b273ee0f38410382a255e4fb15f4,12185343.0,81.0,https://i.scdn.co/image/ab6761610000e5ebed3b89aa602145fde71a163a
1454,Mac Miller,100 Grandkids,4z0PnuB07fxtVZZRWsCfxb,62,2015,hip-hop,0.735,0.749,10,-3.766,0,0.0874,0.371,0.0,0.47,0.373,93.718,278507,4,True,61,https://i.scdn.co/image/ab67616d0000b273ee0f38410382a255e4fb15f4,12185343.0,81.0,https://i.scdn.co/image/ab6761610000e5ebed3b89aa602145fde71a163a
1585,Mac Miller,Dang! (feat. Anderson .Paak),5iUQMwxUPdJBFeGkePtM66,71,2016,hip-hop,0.836,0.67,5,-6.907,0,0.23,0.00826,0.000355,0.0837,0.556,107.018,305350,4,True,69,https://i.scdn.co/image/ab67616d0000b2732e92f776279eaf45d14a33fd,12185343.0,81.0,https://i.scdn.co/image/ab6761610000e5ebed3b89aa602145fde71a163a
1586,Mac Miller,My Favorite Part,66wkCYWlXzSTQAfnsPBptt,71,2016,hip-hop,0.861,0.33,6,-7.194,1,0.0526,0.627,1.93e-06,0.14,0.718,95.016,216000,4,False,70,https://i.scdn.co/image/ab67616d0000b2732e92f776279eaf45d14a33fd,12185343.0,81.0,https://i.scdn.co/image/ab6761610000e5ebed3b89aa602145fde71a163a
1740,Mac Miller,Cinderella (feat. Ty Dolla $ign),2lpygKqzPFtItQ4ss3cgfb,65,2016,hip-hop,0.545,0.534,8,-6.874,0,0.047,0.235,0.0,0.345,0.24,140.021,480187,4,True,69,https://i.scdn.co/image/ab67616d0000b2732e92f776279eaf45d14a33fd,12185343.0,81.0,https://i.scdn.co/image/ab6761610000e5ebed3b89aa602145fde71a163a
1741,Mac Miller,Donald Trump,5oMkgWZqmKjaJHrsXcsZZy,65,2016,hip-hop,0.716,0.936,1,-4.968,0,0.123,0.0318,0.0,0.367,0.799,81.508,164523,4,True,2,https://i.scdn.co/image/ab67616d0000b273caed626d0cb2f60220977db8,12185343.0,81.0,https://i.scdn.co/image/ab6761610000e5ebed3b89aa602145fde71a163a
1846,Mac Miller,Soulmate,2puHJmjL4jvO19aEA7kzcb,63,2016,hip-hop,0.606,0.534,1,-6.904,1,0.512,0.132,1.1e-06,0.148,0.561,111.044,272973,4,False,63,https://i.scdn.co/image/ab67616d0000b2732e92f776279eaf45d14a33fd,12185343.0,81.0,https://i.scdn.co/image/ab6761610000e5ebed3b89aa602145fde71a163a
1848,Mac Miller,Stay,4brX8MJs5hxErgq48f9REO,63,2016,hip-hop,0.742,0.561,6,-7.017,1,0.139,0.566,0.000135,0.641,0.55,134.01,326427,4,True,62,https://i.scdn.co/image/ab67616d0000b2732e92f776279eaf45d14a33fd,12185343.0,81.0,https://i.scdn.co/image/ab6761610000e5ebed3b89aa602145fde71a163a
1900,Mac Miller,"God Is Fair, Sexy Nasty (feat. Kendrick Lamar)",6hzbRKhJHo6cfCHSnNaDS8,62,2016,hip-hop,0.467,0.41,2,-12.028,1,0.185,0.328,4.28e-05,0.113,0.136,95.931,500960,4,True,63,https://i.scdn.co/image/ab67616d0000b2732e92f776279eaf45d14a33fd,12185343.0,81.0,https://i.scdn.co/image/ab6761610000e5ebed3b89aa602145fde71a163a
2564,Mac Miller,Self Care,5bJ1DrEM4hNCafcDd1oxHx,77,2018,hip-hop,0.52,0.538,1,-8.109,1,0.206,0.367,0.00187,0.119,0.177,141.894,345133,4,True,74,https://i.scdn.co/image/ab67616d0000b273175c577a61aa13d4fb4b6534,12185343.0,81.0,https://i.scdn.co/image/ab6761610000e5ebed3b89aa602145fde71a163a
2566,Mac Miller,Small Worlds,4gT3mNJA8lnlkYFqGZ8IA2,77,2018,hip-hop,0.516,0.546,5,-9.105,1,0.249,0.814,4.5e-06,0.0995,0.515,78.267,271733,4,True,74,https://i.scdn.co/image/ab67616d0000b273175c577a61aa13d4fb4b6534,12185343.0,81.0,https://i.scdn.co/image/ab6761610000e5ebed3b89aa602145fde71a163a
2753,Mac Miller,Ladders,39NDBdU5Xkm5pCFGa5kZtI,70,2018,hip-hop,0.802,0.463,8,-8.379,1,0.162,0.236,0.00531,0.105,0.291,103.961,287040,4,True,71,https://i.scdn.co/image/ab67616d0000b273175c577a61aa13d4fb4b6534,12185343.0,81.0,https://i.scdn.co/image/ab6761610000e5ebed3b89aa602145fde71a163a
2804,Mac Miller,Hurt Feelings,5p7GiBZNL1afJJDUrOA6C8,69,2018,hip-hop,0.69,0.462,8,-8.054,1,0.13,0.343,0.00218,0.113,0.325,157.655,245640,4,True,67,https://i.scdn.co/image/ab67616d0000b273175c577a61aa13d4fb4b6534,12185343.0,81.0,https://i.scdn.co/image/ab6761610000e5ebed3b89aa602145fde71a163a
2808,Mac Miller,What's the Use?,2dgrYdgguVZKeCsrVb9XEs,69,2018,hip-hop,0.759,0.492,1,-10.338,0,0.12,0.736,0.00989,0.107,0.561,104.974,288640,4,True,69,https://i.scdn.co/image/ab67616d0000b273175c577a61aa13d4fb4b6534,12185343.0,81.0,https://i.scdn.co/image/ab6761610000e5ebed3b89aa602145fde71a163a
2913,Mac Miller,Jet Fuel,2JmFRXaJrkAUD2cs6U20KG,67,2018,hip-hop,0.791,0.557,7,-9.622,0,0.0698,0.54,0.0,0.103,0.284,119.973,345213,4,True,67,https://i.scdn.co/image/ab67616d0000b273175c577a61aa13d4fb4b6534,12185343.0,81.0,https://i.scdn.co/image/ab6761610000e5ebed3b89aa602145fde71a163a
2917,Mac Miller,2009,6dFn6my1sHK2bcf23GlHwM,67,2018,hip-hop,0.533,0.496,6,-9.363,0,0.517,0.77,0.000164,0.0969,0.173,155.158,347987,4,True,67,https://i.scdn.co/image/ab67616d0000b273175c577a61aa13d4fb4b6534,12185343.0,81.0,https://i.scdn.co/image/ab6761610000e5ebed3b89aa602145fde71a163a
3623,Mac Miller,Blue World,2hwOoMtWPtTSSn6WHV7Vp5,73,2020,hip-hop,0.742,0.553,8,-8.98,1,0.419,0.389,0.0,0.0694,0.508,84.931,209440,4,True,72,https://i.scdn.co/image/ab67616d0000b27326b7dd89810cc1a40ada642c,12185343.0,81.0,https://i.scdn.co/image/ab6761610000e5ebed3b89aa602145fde71a163a
3920,Mac Miller,Woods,3Qa944OTMZkg8DHjET8JQv,67,2020,hip-hop,0.779,0.362,0,-10.847,1,0.0474,0.135,0.206,0.111,0.46,85.011,286387,4,False,71,https://i.scdn.co/image/ab67616d0000b27326b7dd89810cc1a40ada642c,12185343.0,81.0,https://i.scdn.co/image/ab6761610000e5ebed3b89aa602145fde71a163a
4824,Mac Miller,Love Lost,0N9C80kcgL0xXGduKnYKWi,75,2022,hip-hop,0.735,0.812,2,-4.417,1,0.151,0.528,0.0,0.186,0.584,109.835,162876,4,True,4,https://i.scdn.co/image/ab67616d0000b2732e8e9d480a55d914e1c5ff3b,12185343.0,81.0,https://i.scdn.co/image/ab6761610000e5ebed3b89aa602145fde71a163a
