Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,song_popularity_2025,image_url_song,followers,popularity_artist_2025,image_url_artist
11,Miley Cyrus,Wrecking Ball,2vwlzO0Qp8kfEtzTsCXfyE,80,2013,pop,0.53,0.422,5,-6.262,1,0.0342,0.407,0.0,0.107,0.349,119.964,221360,4,False,80,https://i.scdn.co/image/ab67616d0000b2736b18d0490878750cd69abf2c,26580169.0,81.0,https://i.scdn.co/image/ab6761610000e5ebf4cccd14ec026038d713e353
22,Miley Cyrus,We Can't Stop,2y4lAQpi5VTNLu2ldeTdUH,78,2013,pop,0.613,0.622,1,-5.794,0,0.0334,0.00882,0.0,0.37,0.484,80.003,231240,4,False,80,https://i.scdn.co/image/ab67616d0000b2736b18d0490878750cd69abf2c,26580169.0,81.0,https://i.scdn.co/image/ab6761610000e5ebf4cccd14ec026038d713e353
104,Miley Cyrus,Adore You,5AnCLGg35ziFOloEnXK4uu,69,2013,pop,0.583,0.655,0,-5.407,1,0.0315,0.111,3.57e-06,0.113,0.201,119.759,278747,4,False,78,https://i.scdn.co/image/ab67616d0000b2736b18d0490878750cd69abf2c,26580169.0,81.0,https://i.scdn.co/image/ab6761610000e5ebf4cccd14ec026038d713e353
358,Miley Cyrus,FU (feat. French Montana),6dDIOU6AqgLkrjFNPgvKY6,61,2013,pop,0.548,0.833,7,-3.294,1,0.0497,0.199,0.0,0.305,0.467,190.029,229693,3,True,53,https://i.scdn.co/image/ab67616d0000b2736b18d0490878750cd69abf2c,26580169.0,81.0,https://i.scdn.co/image/ab6761610000e5ebf4cccd14ec026038d713e353
2079,Miley Cyrus,Malibu,1UZOjK1BwmwWU14Erba9CZ,76,2017,pop,0.573,0.781,8,-6.406,1,0.0555,0.0767,2.64e-05,0.0813,0.343,139.934,231907,4,False,70,https://i.scdn.co/image/ab67616d0000b2739012e092ad8ed4731ea11134,26580169.0,81.0,https://i.scdn.co/image/ab6761610000e5ebf4cccd14ec026038d713e353
3276,Miley Cyrus,Slide Away,44ADyYoY5liaRa3EOAl4uf,70,2019,pop,0.53,0.538,5,-6.672,1,0.0335,0.17,2.83e-06,0.248,0.288,148.051,233654,4,False,1,https://i.scdn.co/image/ab67616d0000b2732bba357383c6f9dbb5112392,26580169.0,81.0,https://i.scdn.co/image/ab6761610000e5ebf4cccd14ec026038d713e353
3278,Miley Cyrus,Mother's Daughter,4C5iYZMmSYeIUCtX3uShA7,70,2019,pop,0.682,0.866,6,-4.132,0,0.0588,0.00461,0.00147,0.149,0.527,91.017,219080,4,True,0,https://i.scdn.co/image/ab67616d0000b2730d110a9634607f114a9c97c1,26580169.0,81.0,https://i.scdn.co/image/ab6761610000e5ebf4cccd14ec026038d713e353
3529,Miley Cyrus,Prisoner (feat. Dua Lipa),2Oycxb8QbPkpHTo8ZrmG0B,80,2020,pop,0.781,0.67,3,-3.912,0,0.0452,0.0103,0.0,0.0761,0.595,127.99,169333,4,False,70,https://i.scdn.co/image/ab67616d0000b2738cffb7c6c40759eaf8a5a142,26580169.0,81.0,https://i.scdn.co/image/ab6761610000e5ebf4cccd14ec026038d713e353
3530,Miley Cyrus,Angels Like You,1daDRI9ahBonbWD8YcxOIB,80,2020,pop,0.672,0.642,5,-4.035,1,0.0313,0.0981,0.0,0.1,0.494,121.981,196453,4,False,81,https://i.scdn.co/image/ab67616d0000b2738cffb7c6c40759eaf8a5a142,26580169.0,81.0,https://i.scdn.co/image/ab6761610000e5ebf4cccd14ec026038d713e353
3542,Miley Cyrus,Midnight Sky,4i2qxFEVVUi8yOYoxB8TCX,78,2020,pop,0.699,0.805,4,-5.535,0,0.0345,0.00161,0.00177,0.249,0.232,109.976,223280,4,False,69,https://i.scdn.co/image/ab67616d0000b2738cffb7c6c40759eaf8a5a142,26580169.0,81.0,https://i.scdn.co/image/ab6761610000e5ebf4cccd14ec026038d713e353
