Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,song_popularity_2025,image_url_song,followers,popularity_artist_2025,image_url_artist
1109,NF,Paralyzed,5DHQKZCOZhGNTbYBCekWx0,71,2015,hip-hop,0.51,0.643,0,-6.602,1,0.0485,0.214,3.22e-06,0.101,0.0397,130.081,270453,4,False,68,https://i.scdn.co/image/ab67616d0000b27395d5d85909d5deb5cee9f311,11177374.0,76.0,https://i.scdn.co/image/ab6761610000e5eb8fcc5c49d2116d7251ecbd65
1346,NF,Mansion,3nKRYKbGxhzv4BbwlLOcWU,64,2015,hip-hop,0.446,0.84,10,-4.539,0,0.313,0.567,0.0,0.0967,0.433,150.686,323267,4,False,61,https://i.scdn.co/image/ab67616d0000b27395d5d85909d5deb5cee9f311,11177374.0,76.0,https://i.scdn.co/image/ab6761610000e5eb8fcc5c49d2116d7251ecbd65
1404,NF,Can You Hold Me,1isXdpzFMO6EIkgdWjV2D8,63,2015,hip-hop,0.571,0.656,4,-6.211,0,0.0516,0.207,5.62e-05,0.0731,0.0847,132.005,221200,3,False,59,https://i.scdn.co/image/ab67616d0000b27395d5d85909d5deb5cee9f311,11177374.0,76.0,https://i.scdn.co/image/ab6761610000e5eb8fcc5c49d2116d7251ecbd65
1672,NF,Warm Up,7Gr8gb3hqKr4zEbFlrVYPQ,67,2016,hip-hop,0.588,0.474,1,-7.206,1,0.141,0.144,0.0,0.112,0.108,127.986,180506,3,False,57,https://i.scdn.co/image/ab67616d0000b273b3a25dfcc3372aeb76927c64,11177374.0,76.0,https://i.scdn.co/image/ab6761610000e5eb8fcc5c49d2116d7251ecbd65
1700,NF,Lost In The Moment,3qEg6xYffvuvwpq4U6FRrK,66,2016,hip-hop,0.511,0.629,0,-7.755,1,0.151,0.41,0.0,0.162,0.0442,129.924,242680,4,False,62,https://i.scdn.co/image/ab67616d0000b27314c95b3975386061f46f3983,11177374.0,76.0,https://i.scdn.co/image/ab6761610000e5eb8fcc5c49d2116d7251ecbd65
1744,NF,How Could You Leave Us,10bt2wAkFgCWRCEOyAyWT9,65,2016,hip-hop,0.536,0.708,6,-7.882,1,0.758,0.513,0.0,0.0951,0.09,78.33,322587,4,False,61,https://i.scdn.co/image/ab67616d0000b27314c95b3975386061f46f3983,11177374.0,76.0,https://i.scdn.co/image/ab6761610000e5eb8fcc5c49d2116d7251ecbd65
1789,NF,Therapy Session,6WKk8l8EXiwPBYlmSlhZWx,64,2016,hip-hop,0.704,0.778,8,-6.722,1,0.156,0.275,0.0,0.401,0.465,109.963,331480,4,False,60,https://i.scdn.co/image/ab67616d0000b27314c95b3975386061f46f3983,11177374.0,76.0,https://i.scdn.co/image/ab6761610000e5eb8fcc5c49d2116d7251ecbd65
1844,NF,Oh Lord,1ISsiC4Fw6f96kZQegLGiJ,63,2016,hip-hop,0.493,0.738,5,-6.921,1,0.262,0.407,0.0,0.13,0.219,176.071,198253,4,False,61,https://i.scdn.co/image/ab67616d0000b27314c95b3975386061f46f3983,11177374.0,76.0,https://i.scdn.co/image/ab6761610000e5eb8fcc5c49d2116d7251ecbd65
1847,NF,Grindin',3m6HMeFX6GIlGPMBcLEN6t,63,2016,hip-hop,0.677,0.732,1,-6.86,1,0.171,0.194,0.0,0.0907,0.32,110.085,277293,4,False,57,https://i.scdn.co/image/ab67616d0000b27314c95b3975386061f46f3983,11177374.0,76.0,https://i.scdn.co/image/ab6761610000e5eb8fcc5c49d2116d7251ecbd65
1951,NF,Real,0ZFayEwoO5qqYjsOi8YDjO,61,2016,hip-hop,0.714,0.861,1,-6.078,1,0.189,0.268,0.0,0.21,0.16,135.033,263040,4,False,57,https://i.scdn.co/image/ab67616d0000b27314c95b3975386061f46f3983,11177374.0,76.0,https://i.scdn.co/image/ab6761610000e5eb8fcc5c49d2116d7251ecbd65
