Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,song_popularity_2025,image_url_song,followers,popularity_artist_2025,image_url_artist
7,One Direction,Story of My Life,4nVBt6MZDDP6tRVdQTgxJg,81,2013,pop,0.6,0.663,3,-5.802,1,0.0477,0.225,0.0,0.119,0.286,121.07,245493,4,False,84,https://i.scdn.co/image/ab67616d0000b2732f76b797c382bedcafdf45e1,40288722.0,83.0,https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8
12,One Direction,Right Now,1dQQ2QlnvXUehsRUrukKmf,80,2013,pop,0.645,0.78,8,-5.165,1,0.0319,0.218,0.0,0.0919,0.372,120.008,200400,4,False,76,https://i.scdn.co/image/ab67616d0000b2732f76b797c382bedcafdf45e1,40288722.0,83.0,https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8
43,One Direction,Best Song Ever,5T7ZFtCcOgkpjxcuaeZbw0,75,2013,pop,0.652,0.877,1,-2.986,1,0.0465,0.0227,0.0,0.0789,0.486,118.491,200107,4,False,76,https://i.scdn.co/image/ab67616d0000b2732f76b797c382bedcafdf45e1,40288722.0,83.0,https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8
44,One Direction,You & I,2afCBiru10AFckfOa49wIa,75,2013,pop,0.574,0.329,1,-6.829,1,0.0274,0.22,0.0,0.0986,0.356,130.993,237933,4,False,79,https://i.scdn.co/image/ab67616d0000b2732f76b797c382bedcafdf45e1,40288722.0,83.0,https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8
46,One Direction,Strong,3cKM7UXBZmgjEgEBTkaIlU,75,2013,pop,0.741,0.663,0,-7.308,1,0.0434,0.0608,0.0,0.0931,0.338,115.013,184373,4,False,73,https://i.scdn.co/image/ab67616d0000b2732f76b797c382bedcafdf45e1,40288722.0,83.0,https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8
140,One Direction,Midnight Memories,5wjmqUGN7vrAqFqDWrywlZ,67,2013,pop,0.432,0.868,6,-2.01,0,0.0882,0.00725,0.0,0.233,0.567,156.128,176320,4,False,66,https://i.scdn.co/image/ab67616d0000b2732f76b797c382bedcafdf45e1,40288722.0,83.0,https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8
160,One Direction,Happily,5Lf9rCqReE9Ri4tZvLRLuy,66,2013,pop,0.623,0.89,9,-4.783,1,0.0394,0.0426,0.0,0.153,0.824,117.0,175480,4,False,62,https://i.scdn.co/image/ab67616d0000b2732f76b797c382bedcafdf45e1,40288722.0,83.0,https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8
193,One Direction,Half a Heart,6nIE1oCE4udqMGv3bqVNVb,65,2013,pop,0.515,0.714,0,-4.516,1,0.0348,0.286,0.0,0.118,0.495,155.954,188547,4,False,61,https://i.scdn.co/image/ab67616d0000b2732f76b797c382bedcafdf45e1,40288722.0,83.0,https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8
196,One Direction,One Way or Another (Teenage Kicks),3jZomvOBa5qfTo5HkqI1p5,65,2013,pop,0.489,0.867,4,-3.121,0,0.071,0.025,0.0,0.586,0.409,162.131,157293,4,False,64,https://i.scdn.co/image/ab67616d0000b2732288e51936a9fdde73d22904,40288722.0,83.0,https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8
266,One Direction,Diana,6twW4ma6w0mOeejejPK0nY,63,2013,pop,0.549,0.868,2,-4.319,1,0.0614,0.0604,0.0,0.137,0.755,171.96,184667,4,False,63,https://i.scdn.co/image/ab67616d0000b2732f76b797c382bedcafdf45e1,40288722.0,83.0,https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8
309,One Direction,Through the Dark,1a0PcmEJAOEp4ZT3YtSLkM,62,2013,pop,0.568,0.691,9,-5.225,1,0.0306,0.188,0.0,0.0861,0.396,131.007,221733,4,False,62,https://i.scdn.co/image/ab67616d0000b2732f76b797c382bedcafdf45e1,40288722.0,83.0,https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8
359,One Direction,Don't Forget Where You Belong,3yhVmOZSpZqnhRrEiYI0EJ,61,2013,pop,0.54,0.711,7,-5.717,1,0.0255,0.103,0.0,0.0827,0.292,92.014,241000,4,False,60,https://i.scdn.co/image/ab67616d0000b2732f76b797c382bedcafdf45e1,40288722.0,83.0,https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8
469,One Direction,Little Black Dress,4lxaurdMyGkt1tOrdwRoVO,59,2013,pop,0.63,0.881,4,-3.506,1,0.0433,0.000467,0.0,0.0405,0.54,121.468,157653,4,False,58,https://i.scdn.co/image/ab67616d0000b2732f76b797c382bedcafdf45e1,40288722.0,83.0,https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8
501,One Direction,Night Changes,5O2P9iiztwhomNh8xkR9lJ,86,2014,pop,0.672,0.52,8,-7.747,1,0.0353,0.859,0.0,0.115,0.37,120.001,226600,4,False,87,https://i.scdn.co/image/ab67616d0000b273d304ba2d71de306812eebaf4,40288722.0,83.0,https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8
518,One Direction,18,3JjnGLK8IxkNLvo8Lb3KOM,80,2014,pop,0.681,0.582,6,-7.76,0,0.0313,0.22,0.0,0.119,0.221,124.038,248360,4,False,79,https://i.scdn.co/image/ab67616d0000b273d304ba2d71de306812eebaf4,40288722.0,83.0,https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8
528,One Direction,Steal My Girl,2Bs4jQEGMycglOfWPBqrVG,78,2014,pop,0.536,0.768,10,-5.948,0,0.0347,0.00433,0.0,0.114,0.545,77.217,228133,4,False,82,https://i.scdn.co/image/ab67616d0000b273d304ba2d71de306812eebaf4,40288722.0,83.0,https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8
606,One Direction,No Control,4JaLkM90MJutDAl5jD9BZX,69,2014,pop,0.558,0.916,1,-3.145,0,0.0839,0.0278,0.0,0.0296,0.85,142.984,199720,4,False,68,https://i.scdn.co/image/ab67616d0000b273d304ba2d71de306812eebaf4,40288722.0,83.0,https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8
655,One Direction,Fool's Gold,0L5gFNrzHyh4OhMwEz6DGS,67,2014,pop,0.515,0.773,6,-4.848,1,0.0479,0.23,1.29e-06,0.0938,0.379,128.001,210893,4,False,65,https://i.scdn.co/image/ab67616d0000b273d304ba2d71de306812eebaf4,40288722.0,83.0,https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8
680,One Direction,Stockholm Syndrome,6AzCBeiDuUXGXjznBufswB,66,2014,pop,0.678,0.933,2,-4.959,1,0.14,0.0734,0.0,0.0863,0.336,120.572,214720,4,False,67,https://i.scdn.co/image/ab67616d0000b273d304ba2d71de306812eebaf4,40288722.0,83.0,https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8
682,One Direction,Fireproof,34aYkYrY3sXhEU9O4VQgtB,66,2014,pop,0.681,0.864,3,-3.276,1,0.0301,0.00477,0.0,0.122,0.921,132.929,174080,4,False,66,https://i.scdn.co/image/ab67616d0000b273d304ba2d71de306812eebaf4,40288722.0,83.0,https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8
722,One Direction,Where Do Broken Hearts Go,6HFywc5eQYRRYHYTatCb5Y,65,2014,pop,0.565,0.862,4,-3.715,1,0.0326,0.0014,0.0,0.105,0.647,122.994,229040,4,False,67,https://i.scdn.co/image/ab67616d0000b273d304ba2d71de306812eebaf4,40288722.0,83.0,https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8
767,One Direction,Ready to Run,7GtGeeChOx4NS77bqK8SUx,64,2014,pop,0.524,0.831,2,-4.174,1,0.036,0.00229,0.0,0.171,0.299,115.067,196053,4,False,64,https://i.scdn.co/image/ab67616d0000b273d304ba2d71de306812eebaf4,40288722.0,83.0,https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8
810,One Direction,Girl Almighty,5UgsZiYk1lkEobuPHmRtWm,63,2014,pop,0.508,0.895,9,-3.745,1,0.0414,0.0424,0.0,0.198,0.495,168.941,201853,4,False,62,https://i.scdn.co/image/ab67616d0000b273d304ba2d71de306812eebaf4,40288722.0,83.0,https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8
1025,One Direction,Drag Me Down,2K87XMYnUMqLcX3zvtAF4G,78,2015,pop,0.73,0.703,0,-5.672,0,0.0369,0.109,0.0,0.0657,0.595,138.113,192120,4,False,78,https://i.scdn.co/image/ab67616d0000b273241e4fe75732c9c4b49b94c3,40288722.0,83.0,https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8
1037,One Direction,Perfect,3NLnwwAQbbFKcEcV8hDItk,77,2015,pop,0.647,0.823,2,-5.231,1,0.0762,0.0598,0.0,0.119,0.396,99.933,230333,4,False,81,https://i.scdn.co/image/ab67616d0000b273241e4fe75732c9c4b49b94c3,40288722.0,83.0,https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8
1098,One Direction,History,0HMjXBAZmSYOTTi33WpMso,72,2015,pop,0.655,0.699,11,-4.421,1,0.0493,0.0352,0.0,0.064,0.802,86.704,187427,4,False,72,https://i.scdn.co/image/ab67616d0000b273241e4fe75732c9c4b49b94c3,40288722.0,83.0,https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8
1159,One Direction,Olivia,5dONhl6aXFuN86UBdayF6W,69,2015,pop,0.64,0.681,6,-5.362,1,0.0334,0.0438,0.0,0.166,0.676,118.062,177973,4,False,64,https://i.scdn.co/image/ab67616d0000b273241e4fe75732c9c4b49b94c3,40288722.0,83.0,https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8
1189,One Direction,If I Could Fly,5CRVwXGikmqzoRO6q7FeAg,68,2015,pop,0.565,0.245,5,-9.132,1,0.0262,0.781,0.0,0.0998,0.307,75.055,230320,4,False,64,https://i.scdn.co/image/ab67616d0000b273241e4fe75732c9c4b49b94c3,40288722.0,83.0,https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8
1263,One Direction,Walking in the Wind,1ZycJRpLOazlLcoFGxGROO,66,2015,pop,0.687,0.447,8,-6.586,1,0.0486,0.0829,0.0,0.0878,0.501,114.578,202640,4,False,64,https://i.scdn.co/image/ab67616d0000b273241e4fe75732c9c4b49b94c3,40288722.0,83.0,https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8
1314,One Direction,Infinity,6N5xh0tYYLTQRiCCaNbAUt,65,2015,pop,0.537,0.705,4,-6.073,1,0.0337,0.0687,0.0,0.0842,0.32,131.965,249480,4,False,64,https://i.scdn.co/image/ab67616d0000b273241e4fe75732c9c4b49b94c3,40288722.0,83.0,https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8
1315,One Direction,Love You Goodbye,1ZWLWVqeEMWMKTlteS0yLH,65,2015,pop,0.546,0.657,1,-4.787,1,0.0332,0.0928,0.0,0.119,0.361,133.188,196933,4,False,63,https://i.scdn.co/image/ab67616d0000b273241e4fe75732c9c4b49b94c3,40288722.0,83.0,https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8
1362,One Direction,What a Feeling,0iSWAT0EL8TwmzcgBjKMh6,64,2015,pop,0.678,0.869,0,-4.345,0,0.0461,0.149,0.0,0.0593,0.882,123.964,200533,4,False,64,https://i.scdn.co/image/ab67616d0000b273241e4fe75732c9c4b49b94c3,40288722.0,83.0,https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8
1363,One Direction,Temporary Fix,2Xcvt8NRLw0xbB3ClfW8MI,64,2015,pop,0.556,0.902,4,-5.143,1,0.0449,9.17e-05,0.0,0.0888,0.96,145.914,175013,4,False,61,https://i.scdn.co/image/ab67616d0000b273241e4fe75732c9c4b49b94c3,40288722.0,83.0,https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8
1366,One Direction,End of the Day,5AezhHjX3R1bmxcAEgrFpS,64,2015,pop,0.502,0.594,11,-5.031,1,0.0365,0.0256,0.0,0.0834,0.349,153.687,194973,5,False,61,https://i.scdn.co/image/ab67616d0000b273241e4fe75732c9c4b49b94c3,40288722.0,83.0,https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8
1413,One Direction,A.M.,5omYVLodGmaxnhua99xIE8,63,2015,pop,0.586,0.527,3,-4.905,1,0.0309,0.227,0.0,0.0963,0.506,141.839,209040,4,False,62,https://i.scdn.co/image/ab67616d0000b273241e4fe75732c9c4b49b94c3,40288722.0,83.0,https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8
1481,One Direction,Wolves,4hJfmMjy3wFIOknfYwhouY,62,2015,pop,0.627,0.818,5,-4.243,1,0.057,0.114,0.0,0.0504,0.527,123.456,241533,4,False,61,https://i.scdn.co/image/ab67616d0000b273241e4fe75732c9c4b49b94c3,40288722.0,83.0,https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8
