Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,song_popularity_2025,image_url_song,followers,popularity_artist_2025,image_url_artist
2063,Playboi Carti,Magnolia,1e1JKLEDKP7hEQzJfNAgPl,77,2017,hip-hop,0.791,0.582,11,-7.323,0,0.286,0.0114,0.0,0.35,0.443,162.991,181812,4,True,77,https://i.scdn.co/image/ab67616d0000b273e31a279d267f3b3d8912e6f1,15052969.0,86.0,https://i.scdn.co/image/ab6761610000e5ebba50ca67ffc3097f6ea1710a
2085,Playboi Carti,Location,3yk7PJnryiJ8mAPqsrujzf,75,2017,hip-hop,0.717,0.79,11,-4.213,1,0.2,0.33,0.000125,0.518,0.371,125.985,168784,4,True,79,https://i.scdn.co/image/ab67616d0000b273e31a279d267f3b3d8912e6f1,15052969.0,86.0,https://i.scdn.co/image/ab6761610000e5ebba50ca67ffc3097f6ea1710a
2175,Playboi Carti,wokeuplikethis*,59J5nzL1KniFHnU120dQzt,72,2017,hip-hop,0.785,0.62,8,-6.667,1,0.254,0.0138,0.0,0.15,0.478,78.477,235535,4,True,72,https://i.scdn.co/image/ab67616d0000b273e31a279d267f3b3d8912e6f1,15052969.0,86.0,https://i.scdn.co/image/ab6761610000e5ebba50ca67ffc3097f6ea1710a
2375,Playboi Carti,Flex,2xyBvir9n474qfsOkxXMgx,67,2017,hip-hop,0.75,0.596,0,-5.569,0,0.282,0.478,0.0,0.166,0.27,130.104,240460,4,True,69,https://i.scdn.co/image/ab67616d0000b273e31a279d267f3b3d8912e6f1,15052969.0,86.0,https://i.scdn.co/image/ab6761610000e5ebba50ca67ffc3097f6ea1710a
2562,Playboi Carti,Shoota (feat. Lil Uzi Vert),2BJSMvOGABRxokHKB0OI8i,77,2018,hip-hop,0.673,0.649,1,-8.433,0,0.196,0.188,0.0,0.122,0.47,153.075,153800,4,True,76,https://i.scdn.co/image/ab67616d0000b273a1e867d40e7bb29ced5c0194,15052969.0,86.0,https://i.scdn.co/image/ab6761610000e5ebba50ca67ffc3097f6ea1710a
2583,Playboi Carti,R.I.P.,3L0IKstjUgDFVQAbQIRZRv,76,2018,hip-hop,0.725,0.725,8,-6.067,0,0.159,0.0119,0.0,0.086,0.515,140.003,192027,4,True,71,https://i.scdn.co/image/ab67616d0000b273a1e867d40e7bb29ced5c0194,15052969.0,86.0,https://i.scdn.co/image/ab6761610000e5ebba50ca67ffc3097f6ea1710a
2599,Playboi Carti,Fell In Luv (feat. Bryson Tiller),1s9DTymg5UQrdorZf43JQm,75,2018,hip-hop,0.657,0.668,2,-6.208,1,0.136,0.0273,0.0,0.32,0.227,162.997,206333,4,True,74,https://i.scdn.co/image/ab67616d0000b273a1e867d40e7bb29ced5c0194,15052969.0,86.0,https://i.scdn.co/image/ab6761610000e5ebba50ca67ffc3097f6ea1710a
2641,Playboi Carti,Long Time - Intro,4IO2X2YoXoUMv0M2rwomLC,73,2018,hip-hop,0.472,0.861,4,-3.966,0,0.0447,0.283,0.0,0.83,0.358,144.077,211773,4,True,75,https://i.scdn.co/image/ab67616d0000b273a1e867d40e7bb29ced5c0194,15052969.0,86.0,https://i.scdn.co/image/ab6761610000e5ebba50ca67ffc3097f6ea1710a
2707,Playboi Carti,Foreign,500l6Cwe40hkPqS7Sf7ufY,71,2018,hip-hop,0.762,0.705,6,-5.195,0,0.164,0.0906,0.0,0.17,0.264,122.955,142893,4,True,68,https://i.scdn.co/image/ab67616d0000b273a1e867d40e7bb29ced5c0194,15052969.0,86.0,https://i.scdn.co/image/ab6761610000e5ebba50ca67ffc3097f6ea1710a
2855,Playboi Carti,FlatBed Freestyle,5nayhWICkQGMTkisxVMbRw,68,2018,hip-hop,0.755,0.552,9,-5.604,1,0.288,0.0967,0.0,0.158,0.402,153.157,193973,4,True,66,https://i.scdn.co/image/ab67616d0000b273a1e867d40e7bb29ced5c0194,15052969.0,86.0,https://i.scdn.co/image/ab6761610000e5ebba50ca67ffc3097f6ea1710a
2991,Playboi Carti,R.I.P. Fredo (feat. Young Nudy) - Notice Me,45Ln3F9PRPYTXBcMFkZMzS,66,2018,hip-hop,0.912,0.755,2,-5.394,1,0.141,0.102,0.0,0.179,0.625,140.051,161200,4,True,63,https://i.scdn.co/image/ab67616d0000b273a1e867d40e7bb29ced5c0194,15052969.0,86.0,https://i.scdn.co/image/ab6761610000e5ebba50ca67ffc3097f6ea1710a
2996,Playboi Carti,Lean 4 Real (feat. Skepta),1JgkiUg9mSXSwcb5Gbi4Ur,66,2018,hip-hop,0.754,0.775,7,-5.077,1,0.066,0.0302,0.0,0.362,0.159,76.01,177027,4,True,65,https://i.scdn.co/image/ab67616d0000b273a1e867d40e7bb29ced5c0194,15052969.0,86.0,https://i.scdn.co/image/ab6761610000e5ebba50ca67ffc3097f6ea1710a
3515,Playboi Carti,Sky,29TPjc8wxfz4XMn21O7VsZ,81,2020,hip-hop,0.785,0.903,2,-4.184,1,0.21,0.258,0.0,0.169,0.565,139.98,193234,4,True,79,https://i.scdn.co/image/ab67616d0000b27398ea0e689c91f8fea726d9bb,15052969.0,86.0,https://i.scdn.co/image/ab6761610000e5ebba50ca67ffc3097f6ea1710a
3552,Playboi Carti,Vamp Anthem,4CzhtKifG867Lu5DNQVBSA,77,2020,hip-hop,0.642,0.69,11,-5.101,1,0.261,0.00599,1.3e-06,0.322,0.641,164.075,124094,4,True,69,https://i.scdn.co/image/ab67616d0000b27398ea0e689c91f8fea726d9bb,15052969.0,86.0,https://i.scdn.co/image/ab6761610000e5ebba50ca67ffc3097f6ea1710a
3563,Playboi Carti,ILoveUIHateU,1BpKJw4RZxaFB88NE5uxXf,76,2020,hip-hop,0.684,0.693,4,-6.651,0,0.0339,0.00534,0.0,0.506,0.108,134.988,135122,4,True,76,https://i.scdn.co/image/ab67616d0000b27398ea0e689c91f8fea726d9bb,15052969.0,86.0,https://i.scdn.co/image/ab6761610000e5ebba50ca67ffc3097f6ea1710a
3620,Playboi Carti,New Tank,4txKMpsSfZRV6durPuHVq0,73,2020,hip-hop,0.819,0.638,10,-4.831,0,0.226,0.031,0.000116,0.152,0.167,150.993,89741,4,True,67,https://i.scdn.co/image/ab67616d0000b27398ea0e689c91f8fea726d9bb,15052969.0,86.0,https://i.scdn.co/image/ab6761610000e5ebba50ca67ffc3097f6ea1710a
3621,Playboi Carti,Stop Breathing,2lLG56qpLP3UbcLuzMvkWX,73,2020,hip-hop,0.856,0.57,9,-4.486,1,0.286,0.00637,0.0,0.0984,0.155,154.967,218943,4,True,68,https://i.scdn.co/image/ab67616d0000b27398ea0e689c91f8fea726d9bb,15052969.0,86.0,https://i.scdn.co/image/ab6761610000e5ebba50ca67ffc3097f6ea1710a
3723,Playboi Carti,On That Time,3dl8bSF08LQfCf4T6CCksf,70,2020,hip-hop,0.598,0.476,0,-3.673,1,0.0333,0.00584,0.0,0.265,0.0545,150.078,102422,4,True,65,https://i.scdn.co/image/ab67616d0000b27398ea0e689c91f8fea726d9bb,15052969.0,86.0,https://i.scdn.co/image/ab6761610000e5ebba50ca67ffc3097f6ea1710a
3724,Playboi Carti,Rockstar Made,3cWmqvMwVQKDigWLSZ3w9h,70,2020,hip-hop,0.773,0.612,8,-5.73,1,0.232,0.0398,0.0,0.142,0.381,149.999,193575,4,True,67,https://i.scdn.co/image/ab67616d0000b27398ea0e689c91f8fea726d9bb,15052969.0,86.0,https://i.scdn.co/image/ab6761610000e5ebba50ca67ffc3097f6ea1710a
3845,Playboi Carti,Go2DaMoon (feat. Kanye West),0F13K9dwYH2zpTWiR8d628,68,2020,hip-hop,0.693,0.434,4,-8.786,0,0.385,0.204,0.0,0.277,0.542,147.066,119738,4,True,63,https://i.scdn.co/image/ab67616d0000b27398ea0e689c91f8fea726d9bb,15052969.0,86.0,https://i.scdn.co/image/ab6761610000e5ebba50ca67ffc3097f6ea1710a
3918,Playboi Carti,Meh,15JRvf02KKGHKgC31jrpuh,67,2020,hip-hop,0.764,0.512,1,-6.814,1,0.3,0.00158,0.0,0.0899,0.586,81.541,118500,4,True,63,https://i.scdn.co/image/ab67616d0000b27398ea0e689c91f8fea726d9bb,15052969.0,86.0,https://i.scdn.co/image/ab6761610000e5ebba50ca67ffc3097f6ea1710a
