Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,song_popularity_2025,image_url_song,followers,popularity_artist_2025,image_url_artist
52,Pritam,Kabira,4bD9z9qa4qg9BhryvYWB7c,74,2013,indian,0.59,0.555,2,-6.861,1,0.0271,0.481,0.0,0.192,0.191,84.027,223460,4,False,76,https://i.scdn.co/image/ab67616d0000b273707ea5b8023ac77d31756ed4,60262636.0,88.0,https://i.scdn.co/image/ab6761610000e5ebcb6926f44f620555ba444fca
75,Pritam,Subhanallah,0GQngE2rOYvlKwEQjTAsP8,71,2013,indian,0.302,0.493,9,-5.038,1,0.0451,0.455,0.0,0.134,0.457,88.904,249707,4,False,75,https://i.scdn.co/image/ab67616d0000b273707ea5b8023ac77d31756ed4,60262636.0,88.0,https://i.scdn.co/image/ab6761610000e5ebcb6926f44f620555ba444fca
117,Pritam,Balam Pichkari,18e3XXYCv4Tx8uUl1mP3CN,68,2013,indian,0.732,0.944,0,-4.115,1,0.09,0.209,0.0,0.401,0.957,120.02,288903,4,False,66,https://i.scdn.co/image/ab67616d0000b273707ea5b8023ac77d31756ed4,60262636.0,88.0,https://i.scdn.co/image/ab6761610000e5ebcb6926f44f620555ba444fca
154,Pritam,Ilahi,5cgKosPPj5Cs9a2JQufUc1,66,2013,indian,0.593,0.967,9,-5.767,1,0.0907,0.166,2.54e-05,0.105,0.452,131.988,228982,4,False,74,https://i.scdn.co/image/ab67616d0000b273707ea5b8023ac77d31756ed4,60262636.0,88.0,https://i.scdn.co/image/ab6761610000e5ebcb6926f44f620555ba444fca
155,Pritam,Ye Tune Kya Kiya,2cPUB8EOT6AfJ8oxhyoNXL,66,2013,indian,0.578,0.798,7,-6.01,1,0.0699,0.58,0.0,0.111,0.728,91.96,314240,4,False,80,https://i.scdn.co/image/ab67616d0000b273fe77bd21eb38ff74b5f21524,60262636.0,88.0,https://i.scdn.co/image/ab6761610000e5ebcb6926f44f620555ba444fca
225,Pritam,Badtameez Dil,4eu27jAU2bbnyHUC3G75U8,64,2013,indian,0.806,0.932,2,-2.228,0,0.0684,0.24,0.0,0.216,0.792,106.021,252760,4,False,69,https://i.scdn.co/image/ab67616d0000b273707ea5b8023ac77d31756ed4,60262636.0,88.0,https://i.scdn.co/image/ab6761610000e5ebcb6926f44f620555ba444fca
226,Pritam,Teri Jhuki Nazar,3beYHVCFKzbdNjJqjKeYpM,64,2013,indian,0.386,0.815,11,-3.395,1,0.0417,0.707,0.0,0.159,0.349,124.293,279187,4,False,71,https://i.scdn.co/image/ab67616d0000b273947e9127982f21bf5504e1f8,60262636.0,88.0,https://i.scdn.co/image/ab6761610000e5ebcb6926f44f620555ba444fca
306,Pritam,Dilliwaali Girlfriend,3W1XPf7mvuQcWQB7U7MbTM,62,2013,indian,0.687,0.941,6,-5.23,0,0.0583,0.0811,2.93e-06,0.0697,0.909,138.048,260552,4,False,69,https://i.scdn.co/image/ab67616d0000b273707ea5b8023ac77d31756ed4,60262636.0,88.0,https://i.scdn.co/image/ab6761610000e5ebcb6926f44f620555ba444fca
404,Pritam,Kabira (Encore),3jJ5HgLRNydtLRghjWVaCG,60,2013,indian,0.611,0.612,2,-7.978,1,0.114,0.441,0.0,0.18,0.898,171.841,270439,4,False,62,https://i.scdn.co/image/ab67616d0000b273707ea5b8023ac77d31756ed4,60262636.0,88.0,https://i.scdn.co/image/ab6761610000e5ebcb6926f44f620555ba444fca
1214,Pritam,Janam Janam,4km0RUkMMFdx8iDuq36o2w,67,2015,indian,0.301,0.581,11,-7.324,0,0.0422,0.602,0.0,0.0757,0.235,132.051,237897,3,False,71,https://i.scdn.co/image/ab67616d0000b27323b8831524517331aa80b877,60262636.0,88.0,https://i.scdn.co/image/ab6761610000e5ebcb6926f44f620555ba444fca
