Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,song_popularity_2025,image_url_song,followers,popularity_artist_2025,image_url_artist
3112,Rauw Alejandro,El Efecto,4SJHHpKhcuXwDsCsPqshXj,75,2019,pop,0.849,0.781,0,-4.635,0,0.159,0.406,0.0,0.0801,0.893,84.041,217143,4,False,82,https://i.scdn.co/image/ab67616d0000b273976be14b5e8f1e7b5d8e340c,31150099.0,89.0,https://i.scdn.co/image/ab6761610000e5eb43ea45ccf08451d2511d33fa
3200,Rauw Alejandro,Fantasias,6mAN61JH0dzyZpWslS11jy,72,2019,pop,0.879,0.703,1,-4.219,1,0.0701,0.143,0.0,0.0569,0.788,94.004,199711,4,False,71,https://i.scdn.co/image/ab67616d0000b273ca6183e9d0bfb66f996eefce,31150099.0,89.0,https://i.scdn.co/image/ab6761610000e5eb43ea45ccf08451d2511d33fa
3395,Rauw Alejandro,El Efecto - Remix,74j34STf8L6uADnTN69ohv,68,2019,pop,0.771,0.769,0,-3.504,0,0.0694,0.18,1.57e-05,0.345,0.931,167.969,289899,4,True,71,https://i.scdn.co/image/ab67616d0000b2739ebb3103889bd70d30d65bdc,31150099.0,89.0,https://i.scdn.co/image/ab6761610000e5eb43ea45ccf08451d2511d33fa
3805,Rauw Alejandro,Dile a El,13Tbv4nflNxg9kYBIbJnd9,69,2020,pop,0.784,0.587,4,-3.572,0,0.0767,0.375,0.00109,0.111,0.261,90.032,209540,4,True,76,https://i.scdn.co/image/ab67616d0000b2733926e048d839e1173fe17326,31150099.0,89.0,https://i.scdn.co/image/ab6761610000e5eb43ea45ccf08451d2511d33fa
3806,Rauw Alejandro,Elegí (feat. Dímelo Flow),50ZC4PM7hywH27RcCfViau,69,2020,pop,0.824,0.631,0,-2.791,1,0.0809,0.237,0.000116,0.0531,0.678,171.965,197721,4,False,71,https://i.scdn.co/image/ab67616d0000b2739796bc09f870e95795ae863c,31150099.0,89.0,https://i.scdn.co/image/ab6761610000e5eb43ea45ccf08451d2511d33fa
3874,Rauw Alejandro,Reloj,4loQgPwJHocL3dFwLfjb1J,68,2020,pop,0.823,0.537,8,-2.627,1,0.211,0.176,3.75e-06,0.124,0.608,175.965,231595,4,True,74,https://i.scdn.co/image/ab67616d0000b2733926e048d839e1173fe17326,31150099.0,89.0,https://i.scdn.co/image/ab6761610000e5eb43ea45ccf08451d2511d33fa
3878,Rauw Alejandro,Tattoo - Remix with Camilo,4ZRrLHqzhGRXYj2qcB4s5S,68,2020,pop,0.848,0.637,9,-5.132,1,0.156,0.0413,0.0,0.0521,0.698,96.988,222680,4,False,64,https://i.scdn.co/image/ab67616d0000b273bbbcca8d3647640ce972d327,31150099.0,89.0,https://i.scdn.co/image/ab6761610000e5eb43ea45ccf08451d2511d33fa
3949,Rauw Alejandro,Algo Mágico,0zlnHTHiBQ68ZCAmTw5ozm,67,2020,pop,0.68,0.613,11,-4.368,1,0.0818,0.758,0.0,0.161,0.609,100.127,261603,4,False,67,https://i.scdn.co/image/ab67616d0000b2738d475e8cf8415d1c2587497f,31150099.0,89.0,https://i.scdn.co/image/ab6761610000e5eb43ea45ccf08451d2511d33fa
4049,Rauw Alejandro,Desesperados,6mmPpaltUZK7xjNlBPQQ0p,80,2021,pop,0.869,0.694,1,-3.35,0,0.0783,0.356,0.00125,0.0878,0.511,90.02,224997,4,True,78,https://i.scdn.co/image/ab67616d0000b273d9525f27b0a9e25b1fa21230,31150099.0,89.0,https://i.scdn.co/image/ab6761610000e5eb43ea45ccf08451d2511d33fa
4058,Rauw Alejandro,Todo De Ti,4fSIb4hdOQ151TILNsSEaF,79,2021,pop,0.78,0.718,3,-3.605,0,0.0506,0.31,0.000163,0.0932,0.342,127.949,199604,4,True,72,https://i.scdn.co/image/ab67616d0000b2734801828052a610b910cff795,31150099.0,89.0,https://i.scdn.co/image/ab6761610000e5eb43ea45ccf08451d2511d33fa
