Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,song_popularity_2025,image_url_song,followers,popularity_artist_2025,image_url_artist
1462,Rels B,Mary Jane,5Azz3iAd6Ptzs5LvGuYQBK,62,2015,hip-hop,0.756,0.631,7,-9.04,0,0.259,0.39,0.0,0.161,0.592,140.089,262060,4,True,64,https://i.scdn.co/image/ab67616d0000b273c5976668618b76d446eccbfa,10009902.0,81.0,https://i.scdn.co/image/ab6761610000e5ebbf0eba7a7a19be9e0a5b2315
1751,Rels B,Baila Más,4x8RH1VeL7S74kr7bh5STo,65,2016,hip-hop,0.835,0.388,6,-9.275,0,0.361,0.757,0.000224,0.124,0.367,121.94,186927,4,True,69,https://i.scdn.co/image/ab67616d0000b273168c3da3f609849c956d2747,10009902.0,81.0,https://i.scdn.co/image/ab6761610000e5ebbf0eba7a7a19be9e0a5b2315
1798,Rels B,3: 45,3GvDCvfTvXB4cp8wwh7Y3k,64,2016,hip-hop,0.661,0.526,2,-9.398,1,0.308,0.428,4.69e-05,0.21,0.309,82.106,205500,4,True,64,https://i.scdn.co/image/ab67616d0000b273dd4cfb2d704769f2bbb9a928,10009902.0,81.0,https://i.scdn.co/image/ab6761610000e5ebbf0eba7a7a19be9e0a5b2315
2476,Rels B,Tienes el Don,2Jy1ib8MqDe2BoOoHvFxa6,66,2017,spanish,0.699,0.403,5,-9.483,0,0.128,0.867,8.63e-05,0.155,0.35,73.586,241972,4,True,68,https://i.scdn.co/image/ab67616d0000b273990bcd9e62b1abe267106cff,10009902.0,81.0,https://i.scdn.co/image/ab6761610000e5ebbf0eba7a7a19be9e0a5b2315
2834,Rels B,Buenos Genes,76NtMPMpA6fuUH4euMYZoD,69,2018,spanish,0.804,0.535,4,-8.603,0,0.143,0.486,0.0,0.108,0.628,151.957,245191,4,True,68,https://i.scdn.co/image/ab67616d0000b2730579a9f20ec52281f4447c73,10009902.0,81.0,https://i.scdn.co/image/ab6761610000e5ebbf0eba7a7a19be9e0a5b2315
2883,Rels B,Lejos de Tí,30pCOQE19RvNmHq78Svlkm,68,2018,spanish,0.795,0.238,5,-20.338,1,0.369,0.487,0.000106,0.137,0.399,100.996,194851,4,True,66,https://i.scdn.co/image/ab67616d0000b2730579a9f20ec52281f4447c73,10009902.0,81.0,https://i.scdn.co/image/ab6761610000e5ebbf0eba7a7a19be9e0a5b2315
2952,Rels B,Love It,5u3FdkhdizFMMagxjbS53C,67,2018,spanish,0.824,0.467,11,-9.802,1,0.162,0.457,5.22e-05,0.135,0.474,116.01,189591,4,True,68,https://i.scdn.co/image/ab67616d0000b2730579a9f20ec52281f4447c73,10009902.0,81.0,https://i.scdn.co/image/ab6761610000e5ebbf0eba7a7a19be9e0a5b2315
3034,Rels B,A Mí,7MmrcXVA7A5zZ2CbDuGHNa,79,2019,hip-hop,0.846,0.548,1,-6.397,1,0.256,0.241,0.0713,0.0419,0.516,94.925,209680,4,False,80,https://i.scdn.co/image/ab67616d0000b273e75742385df2e0a026001e0d,10009902.0,81.0,https://i.scdn.co/image/ab6761610000e5ebbf0eba7a7a19be9e0a5b2315
3343,Rels B,SIN MIRAR LAS SEÑALES,7fM24rKaYCTGf85Lj8U2pk,69,2019,spanish,0.754,0.481,0,-7.91,1,0.444,0.387,0.0,0.35,0.289,83.907,180000,4,True,67,https://i.scdn.co/image/ab67616d0000b2733046d628d0d482c79c33ab72,10009902.0,81.0,https://i.scdn.co/image/ab6761610000e5ebbf0eba7a7a19be9e0a5b2315
3400,Rels B,Mejor No Nos Vemos,6NT4RZ6CF6qFJqslGdqaRM,68,2019,spanish,0.554,0.652,9,-4.874,1,0.425,0.208,0.000201,0.104,0.346,184.012,189187,4,False,68,https://i.scdn.co/image/ab67616d0000b27393a5bf32ec82bd99d8e0ca22,10009902.0,81.0,https://i.scdn.co/image/ab6761610000e5ebbf0eba7a7a19be9e0a5b2315
