Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,song_popularity_2025,image_url_song,followers,popularity_artist_2025,image_url_artist
1303,TWICE,Like Ooh-Ahh,3c0CJ0DBgsGZ7I79lyx02Z,65,2015,k-pop,0.721,0.875,6,-1.166,1,0.0783,0.241,0.000105,0.382,0.692,141.994,215080,4,False,66,https://i.scdn.co/image/ab67616d0000b273ce17f432c79c5e45ce88688f,23378174.0,83.0,https://i.scdn.co/image/ab6761610000e5eb3d8820046fd455b38d644864
1677,TWICE,TT,60jFaQV7Z4boGC4ob5B5c6,67,2016,k-pop,0.708,0.852,2,-4.398,1,0.0851,0.0525,0.00016,0.399,0.396,129.946,212987,4,False,67,https://i.scdn.co/image/ab67616d0000b273387444ab2fc1f08dfe7915ab,23378174.0,83.0,https://i.scdn.co/image/ab6761610000e5eb3d8820046fd455b38d644864
1707,TWICE,CHEER UP,7lB4rxNVc7vm33ZSZXVRAQ,66,2016,k-pop,0.551,0.885,6,-1.489,1,0.124,0.139,0.0,0.114,0.509,172.95,208853,4,False,68,https://i.scdn.co/image/ab67616d0000b273acf4830dde5e17d356b80ae8,23378174.0,83.0,https://i.scdn.co/image/ab6761610000e5eb3d8820046fd455b38d644864
2389,TWICE,Likey,0IEVKWduAaMcZepZQVr80T,67,2017,k-pop,0.723,0.903,4,-1.262,0,0.033,0.413,0.000377,0.118,0.443,132.006,207813,4,False,67,https://i.scdn.co/image/ab67616d0000b2736034eda385497f614778f457,23378174.0,83.0,https://i.scdn.co/image/ab6761610000e5eb3d8820046fd455b38d644864
2605,TWICE,What is Love,3zhbXKFjUDw40pTYyCgt1Y,75,2018,k-pop,0.574,0.909,8,-1.573,1,0.0658,0.0987,0.0,0.264,0.569,169.966,208240,4,False,77,https://i.scdn.co/image/ab67616d0000b27340d7efd2594a2b6bda60ea18,23378174.0,83.0,https://i.scdn.co/image/ab6761610000e5eb3d8820046fd455b38d644864
2934,TWICE,YES or YES,26OVhEqFDQH0Ij77QtmGP9,67,2018,k-pop,0.702,0.913,11,-2.977,1,0.0374,0.0514,3.72e-06,0.166,0.735,137.981,237680,4,False,68,https://i.scdn.co/image/ab67616d0000b273140ba24506e300382e08e6ec,23378174.0,83.0,https://i.scdn.co/image/ab6761610000e5eb3d8820046fd455b38d644864
2935,TWICE,Dance The Night Away,4DYIDSMIB5y2UmZFv9fxeX,67,2018,k-pop,0.709,0.861,0,-2.905,1,0.0941,0.106,4.73e-05,0.113,0.779,118.089,180800,4,False,67,https://i.scdn.co/image/ab67616d0000b27340d7efd2594a2b6bda60ea18,23378174.0,83.0,https://i.scdn.co/image/ab6761610000e5eb3d8820046fd455b38d644864
3128,TWICE,FANCY,2qQpFbqqkLOGySgNK8wBXt,74,2019,k-pop,0.697,0.874,5,-2.15,0,0.0449,0.0122,0.0,0.627,0.775,132.018,213880,4,False,75,https://i.scdn.co/image/ab67616d0000b273ff7c2dfd0ed9b2cf6bf9c818,23378174.0,83.0,https://i.scdn.co/image/ab6761610000e5eb3d8820046fd455b38d644864
3230,TWICE,Feel Special,3Hz3tTQwOdM6XkA0ALB2G9,71,2019,k-pop,0.708,0.959,1,-1.338,1,0.0604,0.0296,0.00188,0.107,0.644,128.981,206867,4,False,72,https://i.scdn.co/image/ab67616d0000b273a6b5e9128d7029ebb48bcf2b,23378174.0,83.0,https://i.scdn.co/image/ab6761610000e5eb3d8820046fd455b38d644864
3629,TWICE,I CAN'T STOP ME,37ZtpRBkHcaq6hHy0X98zn,73,2020,k-pop,0.657,0.88,10,-3.672,0,0.102,0.121,0.0,0.463,0.769,150.084,205493,4,False,73,https://i.scdn.co/image/ab67616d0000b2736570fd05bcff5edcb16e617d,23378174.0,83.0,https://i.scdn.co/image/ab6761610000e5eb3d8820046fd455b38d644864
3660,TWICE,CRY FOR ME,2xtP8RNbo2BEMzLX7tK7aq,72,2020,k-pop,0.702,0.692,10,-5.405,1,0.0539,0.0542,0.0,0.0877,0.419,144.896,204168,4,False,67,https://i.scdn.co/image/ab67616d0000b2738ae9084b7cfa8281932d9cb9,23378174.0,83.0,https://i.scdn.co/image/ab6761610000e5eb3d8820046fd455b38d644864
4144,TWICE,The Feels,308Ir17KlNdlrbVLHWhlLe,74,2021,k-pop,0.808,0.903,9,-2.179,1,0.0729,0.0899,0.0,0.0816,0.922,120.044,198053,4,False,73,https://i.scdn.co/image/ab67616d0000b273d1961ecb307c9e05ec8f7e82,23378174.0,83.0,https://i.scdn.co/image/ab6761610000e5eb3d8820046fd455b38d644864
4394,TWICE,Alcohol-Free,0BTaaKT4RMbs5M73tOHX5Y,69,2021,k-pop,0.688,0.909,8,-1.992,1,0.0624,0.0474,1.35e-06,0.0674,0.702,97.097,210573,4,False,65,https://i.scdn.co/image/ab67616d0000b273feede28e85bb57807a272a2b,23378174.0,83.0,https://i.scdn.co/image/ab6761610000e5eb3d8820046fd455b38d644864
4454,TWICE,SCIENTIST,0BJMgVrnWIvgYsjq8KaPeh,68,2021,k-pop,0.786,0.858,11,-3.74,1,0.0675,0.0487,0.0,0.126,0.649,112.999,194600,4,False,60,https://i.scdn.co/image/ab67616d0000b273d1961ecb307c9e05ec8f7e82,23378174.0,83.0,https://i.scdn.co/image/ab6761610000e5eb3d8820046fd455b38d644864
4710,TWICE,Talk that Talk,0RDqNCRBGrSegk16Avfzuq,78,2022,k-pop,0.772,0.907,3,-2.438,0,0.124,0.136,0.0,0.334,0.783,119.973,177467,4,False,68,https://i.scdn.co/image/ab67616d0000b273c3040848e6ef0e132c5c8340,23378174.0,83.0,https://i.scdn.co/image/ab6761610000e5eb3d8820046fd455b38d644864
5040,TWICE,MOONLIGHT SUNRISE,5NcLyVjUgG0yfwHgr5t81w,81,2023,k-pop,0.749,0.781,1,-3.265,1,0.0578,0.392,2.12e-06,0.086,0.606,125.09,180320,4,False,61,https://i.scdn.co/image/ab67616d0000b2736887b017d077dfc5787a3e23,23378174.0,83.0,https://i.scdn.co/image/ab6761610000e5eb3d8820046fd455b38d644864
5075,TWICE,SET ME FREE,4OtVQ2ZxS7yigIjGz5yKg1,78,2023,k-pop,0.756,0.831,5,-2.536,0,0.141,0.0966,0.0,0.0499,0.703,113.025,181680,4,False,64,https://i.scdn.co/image/ab67616d0000b27359f57a5ca507a3d3fed81ea6,23378174.0,83.0,https://i.scdn.co/image/ab6761610000e5eb3d8820046fd455b38d644864
5176,TWICE,SET ME FREE (ENG),6bkTxw6m6vl8Oc3xtKBXN0,73,2023,k-pop,0.748,0.826,5,-2.489,0,0.207,0.127,0.0,0.0632,0.731,113.139,181680,4,False,47,https://i.scdn.co/image/ab67616d0000b27359f57a5ca507a3d3fed81ea6,23378174.0,83.0,https://i.scdn.co/image/ab6761610000e5eb3d8820046fd455b38d644864
5266,TWICE,WALLFLOWER,6EGkbPJrb88STcdfMu1j1y,70,2023,k-pop,0.797,0.838,10,-3.111,0,0.0617,0.294,1.02e-06,0.112,0.648,111.999,176067,4,False,49,https://i.scdn.co/image/ab67616d0000b27359f57a5ca507a3d3fed81ea6,23378174.0,83.0,https://i.scdn.co/image/ab6761610000e5eb3d8820046fd455b38d644864
5267,TWICE,GOT THE THRILLS,1RVsbqAP1WFFXPiBXQYIah,70,2023,k-pop,0.712,0.924,4,-1.549,0,0.121,0.21,0.0,0.202,0.73,122.037,173760,4,False,48,https://i.scdn.co/image/ab67616d0000b27359f57a5ca507a3d3fed81ea6,23378174.0,83.0,https://i.scdn.co/image/ab6761610000e5eb3d8820046fd455b38d644864
5268,TWICE,CRAZY STUPID LOVE,0jn8sYeWOdYHjdF2cBmF75,70,2023,k-pop,0.716,0.748,9,-0.824,1,0.0316,0.393,0.0,0.07,0.681,139.964,169613,4,False,52,https://i.scdn.co/image/ab67616d0000b27359f57a5ca507a3d3fed81ea6,23378174.0,83.0,https://i.scdn.co/image/ab6761610000e5eb3d8820046fd455b38d644864
5304,TWICE,BLAME IT ON ME,2hQdmjAhYEuMuqNWZCsz1J,69,2023,k-pop,0.483,0.681,7,-3.119,1,0.0481,0.198,0.0,0.255,0.724,177.713,160893,4,False,46,https://i.scdn.co/image/ab67616d0000b27359f57a5ca507a3d3fed81ea6,23378174.0,83.0,https://i.scdn.co/image/ab6761610000e5eb3d8820046fd455b38d644864
