Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,song_popularity_2025,image_url_song,followers,popularity_artist_2025,image_url_artist
47,The Neighbourhood,Afraid,7brQHA2CgQpcMBiOlfiXYb,74,2013,alt-rock,0.464,0.701,6,-5.693,0,0.0411,0.00892,0.309,0.335,0.356,83.996,251187,4,True,76,https://i.scdn.co/image/ab67616d0000b2738265a736a1eb838ad5a0b921,21649006.0,83.0,https://i.scdn.co/image/ab6761610000e5ebdf0b5ac84376a0a4b2166816
106,The Neighbourhood,Flawless,2Kt1XplPBQBsDKQDa6TssB,68,2013,alt-rock,0.568,0.871,0,-3.453,1,0.0308,0.0553,0.51,0.303,0.374,119.99,246493,4,True,68,https://i.scdn.co/image/ab67616d0000b2738265a736a1eb838ad5a0b921,21649006.0,83.0,https://i.scdn.co/image/ab6761610000e5ebdf0b5ac84376a0a4b2166816
167,The Neighbourhood,W.D.Y.W.F.M?,3vooOYHU0Fi3ViCG7Ozh0Y,65,2013,alt-rock,0.557,0.845,8,-2.926,0,0.0346,0.0303,0.00851,0.354,0.508,123.997,259413,4,True,66,https://i.scdn.co/image/ab67616d0000b2738265a736a1eb838ad5a0b921,21649006.0,83.0,https://i.scdn.co/image/ab6761610000e5ebdf0b5ac84376a0a4b2166816
427,The Neighbourhood,Alleyways,4V37tyDu9CtqYshvrgLke4,59,2013,alt-rock,0.622,0.831,5,-4.819,0,0.0273,0.00102,0.803,0.119,0.363,101.03,267853,4,True,60,https://i.scdn.co/image/ab67616d0000b2738265a736a1eb838ad5a0b921,21649006.0,83.0,https://i.scdn.co/image/ab6761610000e5ebdf0b5ac84376a0a4b2166816
597,The Neighbourhood,Unfair,0xD23i0X1WjqMSYIxRfO80,69,2014,alt-rock,0.477,0.572,8,-7.328,1,0.0319,0.00708,0.784,0.144,0.0414,194.033,146867,4,False,64,https://i.scdn.co/image/ab67616d0000b273dc55b97e9bb9f1c0addc6d57,21649006.0,83.0,https://i.scdn.co/image/ab6761610000e5ebdf0b5ac84376a0a4b2166816
825,The Neighbourhood,#icanteven (feat. French Montana),0xSfELjbi6QwmprLDu4Nrx,62,2014,alt-rock,0.359,0.625,6,-9.387,0,0.146,0.114,1.9e-05,0.0787,0.154,111.866,234480,4,True,63,https://i.scdn.co/image/ab67616d0000b273dc55b97e9bb9f1c0addc6d57,21649006.0,83.0,https://i.scdn.co/image/ab6761610000e5ebdf0b5ac84376a0a4b2166816
1001,The Neighbourhood,Daddy Issues,5E30LdtzQTGqRvNd7l6kG5,84,2015,alt-rock,0.588,0.521,10,-9.461,1,0.0329,0.0678,0.149,0.123,0.337,85.012,260173,4,False,84,https://i.scdn.co/image/ab67616d0000b2733066581d697fbdee4303d685,21649006.0,83.0,https://i.scdn.co/image/ab6761610000e5ebdf0b5ac84376a0a4b2166816
1044,The Neighbourhood,The Beach,2u0CelO5c81XS7z3dGpHbS,75,2015,alt-rock,0.245,0.64,2,-7.426,0,0.0608,0.131,8.11e-06,0.0766,0.105,135.739,255133,4,False,76,https://i.scdn.co/image/ab67616d0000b2733066581d697fbdee4303d685,21649006.0,83.0,https://i.scdn.co/image/ab6761610000e5ebdf0b5ac84376a0a4b2166816
1066,The Neighbourhood,Cry Baby,0EfsDEYaSjGYd66Pr881nq,73,2015,alt-rock,0.581,0.656,4,-4.891,0,0.0294,0.00269,2.78e-06,0.101,0.338,108.033,235160,4,False,76,https://i.scdn.co/image/ab67616d0000b2733066581d697fbdee4303d685,21649006.0,83.0,https://i.scdn.co/image/ab6761610000e5ebdf0b5ac84376a0a4b2166816
1101,The Neighbourhood,Daddy Issues (Remix) feat. Syd,5Q6fh8OEhBYepJaORz9lxe,71,2015,alt-rock,0.623,0.533,10,-8.164,1,0.0653,0.245,0.00717,0.112,0.247,84.982,181187,4,False,69,https://i.scdn.co/image/ab67616d0000b2738b6204ac018967b6388c703d,21649006.0,83.0,https://i.scdn.co/image/ab6761610000e5ebdf0b5ac84376a0a4b2166816
1196,The Neighbourhood,Baby Came Home 2 / Valentines,40gvh6jP5qxMJuMmF9lG9A,67,2015,alt-rock,0.21,0.499,2,-9.754,0,0.0485,0.0687,0.00315,0.773,0.108,74.094,390493,4,False,74,https://i.scdn.co/image/ab67616d0000b2733066581d697fbdee4303d685,21649006.0,83.0,https://i.scdn.co/image/ab6761610000e5ebdf0b5ac84376a0a4b2166816
1240,The Neighbourhood,R.I.P. 2 My Youth,07VBqWH6NG8L2ad3l84UKk,66,2015,alt-rock,0.353,0.686,7,-5.704,0,0.0534,0.00216,0.0,0.123,0.177,94.47,205280,4,False,64,https://i.scdn.co/image/ab67616d0000b2733066581d697fbdee4303d685,21649006.0,83.0,https://i.scdn.co/image/ab6761610000e5ebdf0b5ac84376a0a4b2166816
1377,The Neighbourhood,Prey,38kjFXYgPvtuXCPbHPMGte,63,2015,alt-rock,0.517,0.779,9,-5.005,0,0.0477,0.0258,0.0,0.0622,0.197,115.206,282640,4,False,64,https://i.scdn.co/image/ab67616d0000b2733066581d697fbdee4303d685,21649006.0,83.0,https://i.scdn.co/image/ab6761610000e5ebdf0b5ac84376a0a4b2166816
2504,The Neighbourhood,Softcore,2K7xn816oNHJZ0aVqdQsha,84,2018,alt-rock,0.575,0.568,9,-5.509,0,0.03,0.0484,0.000417,0.286,0.37,93.986,206280,4,False,85,https://i.scdn.co/image/ab67616d0000b2739b6ac98a52f62d5cb473da40,21649006.0,83.0,https://i.scdn.co/image/ab6761610000e5ebdf0b5ac84376a0a4b2166816
2516,The Neighbourhood,You Get Me So High,7zwn1eykZtZ5LODrf7c0tS,81,2018,alt-rock,0.551,0.881,7,-6.099,0,0.0542,0.186,0.0791,0.152,0.387,88.036,153000,4,False,80,https://i.scdn.co/image/ab67616d0000b2739b6ac98a52f62d5cb473da40,21649006.0,83.0,https://i.scdn.co/image/ab6761610000e5ebdf0b5ac84376a0a4b2166816
2553,The Neighbourhood,Reflections,2xql0pid3EUwW38AsywxhV,77,2018,alt-rock,0.648,0.594,11,-7.027,0,0.0293,0.114,0.0462,0.116,0.544,113.983,244013,4,False,83,https://i.scdn.co/image/ab67616d0000b2739b6ac98a52f62d5cb473da40,21649006.0,83.0,https://i.scdn.co/image/ab6761610000e5ebdf0b5ac84376a0a4b2166816
2778,The Neighbourhood,Compass,0YNtAadZvKBBEFARtfoCV8,69,2018,alt-rock,0.7,0.82,5,-5.499,0,0.0329,0.238,0.318,0.658,0.667,109.998,167960,4,False,67,https://i.scdn.co/image/ab67616d0000b2739b6ac98a52f62d5cb473da40,21649006.0,83.0,https://i.scdn.co/image/ab6761610000e5ebdf0b5ac84376a0a4b2166816
2887,The Neighbourhood,Nervous,113xf7t4qNM7038YJvauik,67,2018,alt-rock,0.589,0.614,0,-7.528,0,0.0426,0.0213,0.165,0.31,0.318,119.837,245000,4,False,75,https://i.scdn.co/image/ab67616d0000b2739b6ac98a52f62d5cb473da40,21649006.0,83.0,https://i.scdn.co/image/ab6761610000e5ebdf0b5ac84376a0a4b2166816
2953,The Neighbourhood,Void,2wXioTynVwrEWYRv6R6vEj,66,2018,alt-rock,0.534,0.582,5,-7.912,1,0.0401,0.047,0.0328,0.0883,0.346,84.183,203667,4,False,69,https://i.scdn.co/image/ab67616d0000b2739b6ac98a52f62d5cb473da40,21649006.0,83.0,https://i.scdn.co/image/ab6761610000e5ebdf0b5ac84376a0a4b2166816
3571,The Neighbourhood,Pretty Boy,7IL8PSVwLOJxqYne6azxQv,75,2020,alt-rock,0.578,0.386,6,-11.464,1,0.0278,0.208,0.0453,0.307,0.569,154.902,234093,4,False,76,https://i.scdn.co/image/ab67616d0000b2731a721f3757e5b67f87e1acd3,21649006.0,83.0,https://i.scdn.co/image/ab6761610000e5ebdf0b5ac84376a0a4b2166816
3640,The Neighbourhood,Stargazing,0VF7YLIxSQKyNiFL3X6MmN,72,2020,alt-rock,0.512,0.483,0,-7.798,1,0.0298,0.00304,0.0011,0.12,0.367,160.009,217027,4,False,70,https://i.scdn.co/image/ab67616d0000b2733552d3f419afe41cf9b0bd0a,21649006.0,83.0,https://i.scdn.co/image/ab6761610000e5ebdf0b5ac84376a0a4b2166816
3819,The Neighbourhood,Devil's Advocate,4XfI7M5gLwEY84gYiH4RDD,68,2020,alt-rock,0.662,0.681,11,-8.152,0,0.0315,0.0321,0.139,0.508,0.864,98.004,186307,4,False,66,https://i.scdn.co/image/ab67616d0000b2731a721f3757e5b67f87e1acd3,21649006.0,83.0,https://i.scdn.co/image/ab6761610000e5ebdf0b5ac84376a0a4b2166816
4418,The Neighbourhood,Fallen Star,60F6pgM6H6miNr5AmjxwjL,68,2021,alt-rock,0.603,0.551,10,-6.259,0,0.0304,0.0696,0.0976,0.192,0.439,75.001,224939,4,False,70,https://i.scdn.co/image/ab67616d0000b27350125cb4e0932908b81e1d89,21649006.0,83.0,https://i.scdn.co/image/ab6761610000e5ebdf0b5ac84376a0a4b2166816
