Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,song_popularity_2025,image_url_song,followers,popularity_artist_2025,image_url_artist
467,The Weeknd,Kiss Land,5idmfDT06TjCQ1SPDsa5qh,59,2013,pop,0.324,0.852,11,-6.675,0,0.109,0.0415,0.0,0.061,0.4,121.881,455333,4,True,65,https://i.scdn.co/image/ab67616d0000b273e4860d5331509e2c9ee4de10,113169828.0,94.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae
546,The Weeknd,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",2PIvq1pGrUjY007X5y1UpM,75,2014,pop,0.659,0.381,2,-5.922,0,0.0304,0.385,0.0,0.0972,0.426,119.844,252227,3,False,72,https://i.scdn.co/image/ab67616d0000b27364bd23d64f90b1910ead95a1,113169828.0,94.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae
1000,The Weeknd,The Hills,7fBv7CLKzipRk6EC6TWHOB,86,2015,pop,0.585,0.564,0,-7.063,0,0.0515,0.0671,0.0,0.135,0.137,113.003,242253,4,True,86,https://i.scdn.co/image/ab67616d0000b2737fcead687e99583072cc217b,113169828.0,94.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae
1010,The Weeknd,Can't Feel My Face,22VdIZQfgXJea34mQxlt81,81,2015,pop,0.705,0.769,9,-5.526,0,0.0425,0.113,0.0,0.105,0.583,107.949,213520,4,False,83,https://i.scdn.co/image/ab67616d0000b2737fcead687e99583072cc217b,113169828.0,94.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae
1015,The Weeknd,Often,4PhsKqMdgMEUSstTDAmMpg,80,2015,pop,0.572,0.631,7,-9.836,0,0.0476,0.222,0.0,0.135,0.0713,134.078,249040,4,True,80,https://i.scdn.co/image/ab67616d0000b2737fcead687e99583072cc217b,113169828.0,94.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae
1062,The Weeknd,Acquainted,7uJH0YdSZL6psjxI6Xy08b,74,2015,pop,0.372,0.478,7,-9.835,0,0.0503,0.482,0.0,0.0844,0.254,101.102,348853,4,True,73,https://i.scdn.co/image/ab67616d0000b2737fcead687e99583072cc217b,113169828.0,94.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae
1063,The Weeknd,In The Night,25KybV9BOUlvcnv7nN3Pyo,74,2015,pop,0.505,0.68,7,-4.993,1,0.0714,0.0796,0.0,0.0465,0.539,168.022,235653,3,True,72,https://i.scdn.co/image/ab67616d0000b2737fcead687e99583072cc217b,113169828.0,94.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae
1077,The Weeknd,Earned It (Fifty Shades Of Grey),4frLb7nWtsz2ymBE6k2GRP,73,2015,pop,0.659,0.291,2,-8.275,0,0.0348,0.405,0.0,0.0771,0.406,119.829,277680,3,True,74,https://i.scdn.co/image/ab67616d0000b2737fcead687e99583072cc217b,113169828.0,94.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae
1131,The Weeknd,Tell Your Friends,1mhVXWduD8ReDwusfaHNwU,70,2015,pop,0.583,0.454,1,-11.091,0,0.0425,0.265,0.0,0.181,0.309,74.64,334333,4,True,66,https://i.scdn.co/image/ab67616d0000b2737fcead687e99583072cc217b,113169828.0,94.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae
1260,The Weeknd,Prisoner,1gZADNt16Oh23jWyMYRk4p,66,2015,pop,0.551,0.405,0,-12.756,0,0.0398,0.443,0.000217,0.11,0.341,135.017,274960,4,True,65,https://i.scdn.co/image/ab67616d0000b2737fcead687e99583072cc217b,113169828.0,94.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae
1310,The Weeknd,Shameless,6C6fHTuFUxVtJpBOOaMvJr,65,2015,pop,0.603,0.563,6,-8.313,1,0.027,0.147,0.0,0.109,0.234,100.06,253507,4,True,66,https://i.scdn.co/image/ab67616d0000b2737fcead687e99583072cc217b,113169828.0,94.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae
1311,The Weeknd,As You Are,3H3qBumaYj67PT3aMEBvAP,65,2015,pop,0.377,0.329,0,-9.67,0,0.0569,0.131,0.00654,0.279,0.0528,173.663,340493,4,True,65,https://i.scdn.co/image/ab67616d0000b2737fcead687e99583072cc217b,113169828.0,94.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae
1316,The Weeknd,Often - Kygo Remix,27NV2KxoQ8WuLMqlTDI61F,65,2015,pop,0.523,0.491,7,-9.876,0,0.0491,0.123,0.0,0.331,0.408,80.156,234400,4,True,63,https://i.scdn.co/image/ab67616d0000b273cc453150b04581f1295e1e36,113169828.0,94.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae
1477,The Weeknd,Angel,0wzPHTgOtFIDhk2rD3Au4x,62,2015,pop,0.626,0.583,10,-7.574,0,0.0435,0.105,0.0,0.115,0.335,127.966,377347,4,True,61,https://i.scdn.co/image/ab67616d0000b2737fcead687e99583072cc217b,113169828.0,94.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae
1478,The Weeknd,Dark Times,6J7PIkhtHwmFjPLq0SyuPj,62,2015,pop,0.501,0.403,7,-9.611,1,0.0747,0.116,1.03e-05,0.124,0.27,132.608,260640,3,True,60,https://i.scdn.co/image/ab67616d0000b2737fcead687e99583072cc217b,113169828.0,94.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae
2500,The Weeknd,I Was Never There,1cKHdTo9u0ZymJdPGSh6nq,88,2018,pop,0.323,0.737,10,-4.008,1,0.0338,0.142,0.000162,0.163,0.155,113.26,241067,4,False,83,https://i.scdn.co/image/ab67616d0000b2731f6a2a40bb692936879db730,113169828.0,94.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae
2501,The Weeknd,Call Out My Name,09mEdoA6zrmBPgTEN5qXmN,87,2018,pop,0.461,0.593,1,-4.954,1,0.0356,0.17,0.0,0.307,0.175,134.17,228373,3,False,85,https://i.scdn.co/image/ab67616d0000b2731f6a2a40bb692936879db730,113169828.0,94.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae
2623,The Weeknd,Hurt You,6QdnKD1zwEgyOWtkrdzlOF,74,2018,pop,0.476,0.718,5,-7.227,0,0.149,0.263,0.00261,0.109,0.361,183.932,230027,4,True,70,https://i.scdn.co/image/ab67616d0000b2731f6a2a40bb692936879db730,113169828.0,94.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae
2624,The Weeknd,Try Me,4ppTAJUbNXELZcoUaL90wo,74,2018,pop,0.456,0.679,8,-5.778,0,0.064,0.596,0.000573,0.129,0.107,92.026,221107,4,False,69,https://i.scdn.co/image/ab67616d0000b2731f6a2a40bb692936879db730,113169828.0,94.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae
2687,The Weeknd,Wasted Times,7DKS0rX27cCEPsK0R6tFWS,72,2018,pop,0.56,0.678,10,-6.167,0,0.0581,0.61,1.42e-05,0.111,0.29,122.585,220293,4,True,66,https://i.scdn.co/image/ab67616d0000b2731f6a2a40bb692936879db730,113169828.0,94.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae
2718,The Weeknd,Pray For Me (with Kendrick Lamar),77UjLW8j5UAGAGVGhR5oUK,71,2018,pop,0.735,0.677,2,-4.979,1,0.093,0.0762,2.17e-05,0.111,0.188,100.584,211440,4,True,67,https://i.scdn.co/image/ab67616d0000b273c027ad28821777b00dcaa888,113169828.0,94.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae
2946,The Weeknd,Privilege,0Nwar8rweBUyfyuoyjjUvk,67,2018,pop,0.404,0.564,11,-7.013,0,0.0344,0.915,0.00252,0.134,0.371,93.631,170573,4,True,63,https://i.scdn.co/image/ab67616d0000b2731f6a2a40bb692936879db730,113169828.0,94.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae
3500,The Weeknd,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,90,2020,pop,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,200040,4,False,90,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36,113169828.0,94.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae
3501,The Weeknd,Save Your Tears,5QO79kh1waicV47BqGRL3g,87,2020,pop,0.68,0.826,0,-5.487,1,0.0309,0.0212,1.24e-05,0.543,0.644,118.051,215627,4,True,86,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36,113169828.0,94.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae
3503,The Weeknd,After Hours,2p8IUWQDrpjuFltbdgLOag,85,2020,pop,0.664,0.572,5,-6.099,0,0.0305,0.0811,0.00604,0.121,0.143,108.959,361027,4,False,81,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36,113169828.0,94.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae
3508,The Weeknd,Heartless,6bnF93Rx87YqUBLSgjiMU8,84,2020,pop,0.537,0.746,10,-5.507,0,0.15,0.0236,1.01e-06,0.156,0.252,170.062,198267,4,True,78,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36,113169828.0,94.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae
3522,The Weeknd,Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,1oFAF1hdPOickyHgbuRjyX,81,2020,pop,0.65,0.825,0,-4.645,1,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091,191014,4,False,83,https://i.scdn.co/image/ab67616d0000b273b5097b81179824803664aaaf,113169828.0,94.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae
3543,The Weeknd,In Your Eyes,7szuecWAPwGoV1e5vGu8tl,78,2020,pop,0.667,0.719,7,-5.371,0,0.0346,0.00285,8.1e-05,0.0736,0.717,100.021,237520,4,True,76,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36,113169828.0,94.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae
3800,The Weeknd,Escape From LA,1sOW4PuG5X3Ie3EXUhAopJ,69,2020,pop,0.404,0.524,5,-8.996,0,0.0593,0.0456,0.00316,0.199,0.168,145.74,355960,4,True,65,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36,113169828.0,94.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae
3801,The Weeknd,Alone Again,6b5P51m8xx2XA6U7sdNZ5E,69,2020,pop,0.218,0.652,4,-7.953,0,0.0641,0.033,0.111,0.172,0.0599,65.375,250053,4,True,65,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36,113169828.0,94.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae
3804,The Weeknd,Faith,3orEOtd8CPL8GFlpRpKuoE,69,2020,pop,0.375,0.605,0,-7.268,0,0.0729,0.612,0.0448,0.147,0.128,175.946,283227,4,True,68,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36,113169828.0,94.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae
3871,The Weeknd,Too Late,2K9Ovn1o2bTGqbsABGC6m3,68,2020,pop,0.638,0.863,4,-5.221,0,0.132,0.052,5.46e-05,0.685,0.226,120.077,239973,4,True,65,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36,113169828.0,94.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae
3872,The Weeknd,Hardest To Love,6kWxIqQDsKFYCJGbU4AjCX,68,2020,pop,0.467,0.608,10,-7.847,1,0.0707,0.0909,8.83e-05,0.125,0.108,80.957,211400,4,True,65,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36,113169828.0,94.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae
3940,The Weeknd,Missed You - Bonus Track,5SGEPm9ge10bD4j3ec9UHV,67,2020,pop,0.689,0.374,5,-10.038,0,0.0851,0.115,0.000132,0.111,0.321,151.98,144540,4,True,57,https://i.scdn.co/image/ab67616d0000b273ef017e899c0547766997d874,113169828.0,94.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae
4036,The Weeknd,Save Your Tears (with Ariana Grande) (Remix),37BZB0z9T8Xu7U3e65qxFy,81,2021,pop,0.65,0.825,0,-4.645,1,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091,191014,4,False,78,https://i.scdn.co/image/ab67616d0000b273c6af5ffa661a365b77df6ef6,113169828.0,94.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae
4057,The Weeknd,Pray For Me,6huNf4dutXRjJyGn7f5BPS,79,2021,pop,0.732,0.678,2,-4.977,1,0.0886,0.0867,2.41e-05,0.112,0.196,100.626,211421,4,True,76,https://i.scdn.co/image/ab67616d0000b27312a76d1b13ef07188f7dfbc9,113169828.0,94.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae
4554,The Weeknd,Is There Someone Else?,0mL82sxCRjrs3br407IdJh,84,2022,pop,0.702,0.586,9,-7.83,0,0.0313,0.0388,7.27e-05,0.156,0.608,134.951,199111,4,False,81,https://i.scdn.co/image/ab67616d0000b2734ab2520c2c77a1d66b9ee21d,113169828.0,94.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae
4604,The Weeknd,Out of Time,2SLwbpExuoBDZBpjfefCtV,81,2022,pop,0.65,0.76,0,-4.422,0,0.0446,0.255,0.0,0.339,0.838,93.057,214194,4,False,76,https://i.scdn.co/image/ab67616d0000b2734ab2520c2c77a1d66b9ee21d,113169828.0,94.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae
4741,The Weeknd,Less Than Zero,2D4dV2KXDTszzJ3p3cFqhA,77,2022,pop,0.535,0.791,0,-5.55,1,0.0327,0.00096,0.000155,0.0788,0.5,142.981,211814,4,False,72,https://i.scdn.co/image/ab67616d0000b2734ab2520c2c77a1d66b9ee21d,113169828.0,94.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae
4742,The Weeknd,Sacrifice,1nH2PkJL1XoUq8oE6tBZoU,77,2022,pop,0.735,0.795,11,-6.523,0,0.113,0.0296,3.18e-05,0.0678,0.905,122.0,188918,4,True,70,https://i.scdn.co/image/ab67616d0000b2734ab2520c2c77a1d66b9ee21d,113169828.0,94.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae
4840,The Weeknd,Nothing Is Lost (You Give Me Strength),1DzJbVkBELu6jDu6q0T0tk,75,2022,pop,0.52,0.693,5,-7.704,1,0.0331,0.0002,2.2e-05,0.122,0.12,126.985,267505,4,False,56,https://i.scdn.co/image/ab67616d0000b273c8044633efdd0e991224e197,113169828.0,94.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae
4952,The Weeknd,Take My Breath,2vgUijXOTRMnWXDtvgMp2b,73,2022,pop,0.698,0.769,8,-7.154,1,0.0368,0.0128,0.00166,0.238,0.354,121.02,339023,4,False,71,https://i.scdn.co/image/ab67616d0000b2734ab2520c2c77a1d66b9ee21d,113169828.0,94.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae
5002,The Weeknd,Die For You - Remix,7oDd86yk8itslrA9HRP2ki,95,2023,pop,0.531,0.525,1,-6.5,0,0.0671,0.232,0.0,0.441,0.502,66.9,232857,4,False,72,https://i.scdn.co/image/ab67616d0000b2738de12a274f6e1df6634f57ec,113169828.0,94.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae
5203,The Weeknd,Die For You (with Ariana Grande) - Remix,4W4fNrZYkobj539TOWsLO2,72,2023,pop,0.575,0.5,1,-7.594,0,0.0707,0.227,0.0,0.335,0.506,67.033,232857,4,False,74,https://i.scdn.co/image/ab67616d0000b2738ad8f5243d6534e03b656c8b,113169828.0,94.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae
