Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,song_popularity_2025,image_url_song,followers,popularity_artist_2025,image_url_artist
855,Travis Scott,Mamacita (feat. Rich Homie Quan & Young Thug),3SEd8nPd8MpGwk6ZZ8tk2j,62,2014,house,0.823,0.768,11,-6.21,1,0.0819,0.0146,1.03e-06,0.127,0.216,115.021,274320,4,True,57,https://i.scdn.co/image/ab67616d0000b273a53a4cb046216d7ac049b5bf,41181077.0,90.0,https://i.scdn.co/image/ab6761610000e5eb19c2790744c792d05570bb71
1111,Travis Scott,Antidote,1wHZx0LgzFHyeIZkUydNXq,71,2015,house,0.713,0.526,1,-5.046,1,0.032,0.00767,0.000148,0.124,0.131,131.05,262693,4,True,71,https://i.scdn.co/image/ab67616d0000b2736cfd9a7353f98f5165ea6160,41181077.0,90.0,https://i.scdn.co/image/ab6761610000e5eb19c2790744c792d05570bb71
1213,Travis Scott,Maria I'm Drunk (feat. Justin Bieber & Young Thug),6Yqmv7XJLCrQEauMbPGZSw,67,2015,house,0.648,0.631,4,-5.662,0,0.103,0.377,0.0,0.12,0.142,105.989,349933,4,True,70,https://i.scdn.co/image/ab67616d0000b2736cfd9a7353f98f5165ea6160,41181077.0,90.0,https://i.scdn.co/image/ab6761610000e5eb19c2790744c792d05570bb71
1255,Travis Scott,Nightcrawler (feat. Swae Lee & Chief Keef),3xby7fOyqmeON8jsnom0AT,66,2015,house,0.522,0.728,3,-3.801,0,0.0323,0.00134,0.0,0.132,0.18,124.045,321560,4,True,77,https://i.scdn.co/image/ab67616d0000b2736cfd9a7353f98f5165ea6160,41181077.0,90.0,https://i.scdn.co/image/ab6761610000e5eb19c2790744c792d05570bb71
1350,Travis Scott,3500 (feat. Future & 2 Chainz),1SGt65i9AnXYdDQt1AtDRH,64,2015,house,0.773,0.595,8,-6.062,0,0.161,0.114,2.47e-06,0.13,0.338,123.968,461840,4,True,67,https://i.scdn.co/image/ab67616d0000b2736cfd9a7353f98f5165ea6160,41181077.0,90.0,https://i.scdn.co/image/ab6761610000e5eb19c2790744c792d05570bb71
1463,Travis Scott,Apple Pie,6scpNkWEmUxmKY7nYjVLsX,62,2015,house,0.655,0.496,3,-4.139,0,0.0364,0.0335,0.0,0.156,0.28,137.945,219360,4,True,68,https://i.scdn.co/image/ab67616d0000b2736cfd9a7353f98f5165ea6160,41181077.0,90.0,https://i.scdn.co/image/ab6761610000e5eb19c2790744c792d05570bb71
1464,Travis Scott,Pray 4 Love (feat. The Weeknd),2dJ4rGtsOHOgvTQawsCRtg,62,2015,house,0.629,0.578,1,-4.704,1,0.0428,0.2,0.0,0.151,0.211,79.94,307000,4,True,64,https://i.scdn.co/image/ab67616d0000b2736cfd9a7353f98f5165ea6160,41181077.0,90.0,https://i.scdn.co/image/ab6761610000e5eb19c2790744c792d05570bb71
1509,Travis Scott,goosebumps,6gBFPUFcJLzWGx4lenP6h2,82,2016,house,0.841,0.728,7,-3.37,1,0.0484,0.0847,0.0,0.149,0.43,130.049,243837,4,True,84,https://i.scdn.co/image/ab67616d0000b273f54b99bf27cda88f4a7403ce,41181077.0,90.0,https://i.scdn.co/image/ab6761610000e5eb19c2790744c792d05570bb71
1674,Travis Scott,beibs in the trap,0ESJlaM8CE1jRWaNtwSNj8,67,2016,house,0.743,0.571,7,-6.054,0,0.145,0.24,0.0,0.291,0.495,119.054,213863,4,True,66,https://i.scdn.co/image/ab67616d0000b273f54b99bf27cda88f4a7403ce,41181077.0,90.0,https://i.scdn.co/image/ab6761610000e5eb19c2790744c792d05570bb71
1752,Travis Scott,through the late night,1Ci4wASMY4xtKVMeHA6Sd5,65,2016,house,0.744,0.589,5,-1.218,0,0.0359,0.36,0.0,0.119,0.242,127.051,286236,4,True,63,https://i.scdn.co/image/ab67616d0000b273f54b99bf27cda88f4a7403ce,41181077.0,90.0,https://i.scdn.co/image/ab6761610000e5eb19c2790744c792d05570bb71
