Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,song_popularity_2025,image_url_song,followers,popularity_artist_2025,image_url_artist
88,"Tyler, The Creator",IFHY (feat. Pharrell),0NjW4SKY3gbfl2orl1p8hr,70,2013,hip-hop,0.358,0.715,7,-6.181,1,0.331,0.197,0.0,0.581,0.275,85.478,319253,4,True,75,https://i.scdn.co/image/ab67616d0000b27322007a4aa8a55fe7b1de5632,24482421.0,87.0,https://i.scdn.co/image/ab6761610000e5ebdf2728294ff77dd11eeb18fb
342,"Tyler, The Creator",Colossus,5AnVuHLmgipXkFmBvj2Q6H,61,2013,hip-hop,0.442,0.6,2,-9.087,1,0.357,0.267,0.0,0.31,0.725,82.462,213320,1,True,60,https://i.scdn.co/image/ab67616d0000b27322007a4aa8a55fe7b1de5632,24482421.0,87.0,https://i.scdn.co/image/ab6761610000e5ebdf2728294ff77dd11eeb18fb
1252,"Tyler, The Creator",SMUCKERS (feat. Lil Wayne & Kanye West),078C2jXg7XsMgW78Gfx1JA,66,2015,hip-hop,0.427,0.849,7,-2.945,1,0.348,0.015,0.00373,0.153,0.55,79.155,334363,4,True,63,https://i.scdn.co/image/ab67616d0000b273e4bf0d3d9e0224a30ca5f665,24482421.0,87.0,https://i.scdn.co/image/ab6761610000e5ebdf2728294ff77dd11eeb18fb
2011,"Tyler, The Creator",See You Again (feat. Kali Uchis),7KA4W4McWYRpgf0fWsJZWB,83,2017,hip-hop,0.558,0.559,6,-9.222,1,0.0959,0.371,7.49e-06,0.109,0.62,78.558,180387,4,True,88,https://i.scdn.co/image/ab67616d0000b2738940ac99f49e44f59e6f7fb3,24482421.0,87.0,https://i.scdn.co/image/ab6761610000e5ebdf2728294ff77dd11eeb18fb
2177,"Tyler, The Creator",911 / Mr. Lonely (feat. Frank Ocean & Steve Lacy),4bEcoz1OcfMgUbp2ft8ieQ,72,2017,hip-hop,0.48,0.61,0,-7.042,1,0.305,0.0456,0.0,0.313,0.297,90.034,255653,4,True,70,https://i.scdn.co/image/ab67616d0000b2738940ac99f49e44f59e6f7fb3,24482421.0,87.0,https://i.scdn.co/image/ab6761610000e5ebdf2728294ff77dd11eeb18fb
2276,"Tyler, The Creator",Glitter,0qtK3XwbuG153dmwB8iepL,69,2017,hip-hop,0.449,0.434,1,-11.777,1,0.243,0.306,2.76e-06,0.633,0.371,78.57,224893,5,True,65,https://i.scdn.co/image/ab67616d0000b2738940ac99f49e44f59e6f7fb3,24482421.0,87.0,https://i.scdn.co/image/ab6761610000e5ebdf2728294ff77dd11eeb18fb
2323,"Tyler, The Creator",Where This Flower Blooms (feat. Frank Ocean),6KuXb26rHuRy3ZDse1VRmx,68,2017,hip-hop,0.686,0.429,8,-10.402,0,0.15,0.71,3.41e-06,0.166,0.27,130.09,194933,4,True,69,https://i.scdn.co/image/ab67616d0000b2738940ac99f49e44f59e6f7fb3,24482421.0,87.0,https://i.scdn.co/image/ab6761610000e5ebdf2728294ff77dd11eeb18fb
2327,"Tyler, The Creator",Boredom (feat. Rex Orange County & Anna of the North),5WNYg3usc6H8N3MBEp4zVk,68,2017,hip-hop,0.559,0.578,8,-9.54,1,0.151,0.79,0.000522,0.324,0.239,79.938,320720,4,True,66,https://i.scdn.co/image/ab67616d0000b2738940ac99f49e44f59e6f7fb3,24482421.0,87.0,https://i.scdn.co/image/ab6761610000e5ebdf2728294ff77dd11eeb18fb
2439,"Tyler, The Creator",Who Dat Boy (feat. A$AP Rocky),21yRtB6B8EMounImAfHRCP,66,2017,hip-hop,0.706,0.485,8,-9.671,1,0.331,0.337,0.0,0.122,0.144,115.414,205093,4,True,63,https://i.scdn.co/image/ab67616d0000b2738940ac99f49e44f59e6f7fb3,24482421.0,87.0,https://i.scdn.co/image/ab6761610000e5ebdf2728294ff77dd11eeb18fb
2751,"Tyler, The Creator",Potato Salad,1jzIJcHCXneHw7ojC6LXiF,70,2018,hip-hop,0.538,0.612,2,-6.02,1,0.424,0.308,0.0,0.213,0.684,168.197,182493,4,True,65,https://i.scdn.co/image/ab67616d0000b273215cac8c30b47bb1bfb9d2d1,24482421.0,87.0,https://i.scdn.co/image/ab6761610000e5ebdf2728294ff77dd11eeb18fb
